aashtocl,rvindicator,chkey,chaashtokey
A-2-4,Yes,51721005,84501096
A-3,No ,51721005,84501097
A-2-4,Yes,51721006,84501098
A-3,No ,51721006,84501099
A-2-4,No ,51721007,84501100
A-4,Yes,51721007,84501101
A-2-4,Yes,51721008,84501102
A-3,No ,51721008,84501103
A-4,Yes,51721009,84501104
A-6,No ,51721009,84501105
A-2-4,Yes,51721010,84501106
A-4,No ,51721010,84501107
A-2-4,No ,51721011,84501108
A-4,Yes,51721011,84501109
A-6,No ,51721011,84501110
A-7-6,No ,51721011,84501111
A-1-b,No ,51721012,84501112
A-2-4,No ,51721012,84501113
A-4,Yes,51721012,84501114
A-2-4,Yes,51721013,84501115
A-7-5,Yes,51721185,84501466
A-2-4,Yes,51721186,84501467
A-7-5,Yes,51721187,84501468
A-2-4,Yes,51720892,84500890
A-4,No ,51720892,84500891
A-2-4,Yes,51720893,84500892
A-3,No ,51720893,84500893
A-2-4,Yes,51720894,84500894
A-4,No ,51720894,84500895
A-2-4,Yes,51720895,84500896
A-3,No ,51720895,84500897
A-2-4,Yes,51720896,84500898
A-3,No ,51720896,84500899
A-2-4,Yes,51720897,84500900
A-3,No ,51720897,84500901
A-2-4,No ,51720898,84500902
A-1-b,No ,51720898,84500903
A-3,Yes,51720898,84500904
A-2-4,Yes,51720899,84500905
A-2-4,No ,51720900,84500906
A-4,No ,51720900,84500907
A-3,Yes,51720900,84500908
A-1-b,No ,51720900,84500909
A-2-4,No ,51720901,84500910
A-3,Yes,51720901,84500911
A-1-b,No ,51720901,84500912
A-1-b,No ,51720902,84500913
A-2-4,No ,51720902,84500914
A-3,Yes,51720902,84500915
A-1-b,No ,51720903,84500916
A-2-4,No ,51720903,84500917
A-3,Yes,51720903,84500918
A-2-4,Yes,51720904,84500919
A-3,No ,51720904,84500920
A-2-4,Yes,51720905,84500921
A-3,No ,51720905,84500922
A-2-4,No ,51720906,84500923
A-4,Yes,51720906,84500924
A-2-4,Yes,51720907,84500925
A-2-4,No ,51721014,84501116
A-3,Yes,51721014,84501117
A-2-4,No ,51721015,84501118
A-3,Yes,51721015,84501119
A-2-4,Yes,51721016,84501120
A-3,No ,51721016,84501121
A-4,Yes,51720932,84500970
A-2-4,Yes,51720933,84500971
A-4,No ,51720933,84500972
A-2-4,Yes,51720934,84500973
A-3,No ,51720934,84500974
A-2-4,Yes,51720935,84500975
A-3,No ,51720935,84500976
A-2-4,Yes,51720936,84500977
A-2-4,No ,51720937,84500978
A-2-6,No ,51720937,84500979
A-4,No ,51720937,84500980
A-6,Yes,51720937,84500981
A-2-4,Yes,51720938,84500982
A-2-4,Yes,51720939,84500983
A-2-4,Yes,51720940,84500984
A-4,No ,51720940,84500985
A-2-4,Yes,51720941,84500986
A-2-4,Yes,51720942,84500987
A-2-4,Yes,51720943,84500988
A-4,No ,51721098,84501283
A-6,Yes,51721098,84501284
A-2-4,Yes,51721099,84501285
A-4,No ,51721099,84501286
A-2-4,No ,51721100,84501287
A-4,No ,51721100,84501288
A-6,Yes,51721100,84501289
A-7-6,No ,51721100,84501290
A-4,No ,51721101,84501291
A-6,Yes,51721101,84501292
A-3,Yes,51721087,84501265
A-3,Yes,51721088,84501266
A-4,Yes,51720944,84500989
A-4,Yes,51720945,84500990
A-6,No ,51720945,84500991
A-7-6,No ,51720945,84500992
A-8,Yes,51720946,84500993
A-6,Yes,51721102,84501293
A-2-4,Yes,51721103,84501294
A-2-4,No ,51721104,84501295
A-5,Yes,51721104,84501296
A-8,Yes,51721105,84501297
A-6,Yes,51721106,84501298
A-7-6,No ,51721107,84501299
A-6,Yes,51721107,84501300
A-6,Yes,51721108,84501301
A-5,Yes,51721109,84501302
A-4,Yes,51721110,84501303
A-2-4,Yes,51721111,84501304
A-5,Yes,51721112,84501305
A-3,Yes,51720973,84501041
A-3,Yes,51720974,84501042
A-2-4,No ,51720975,84501043
A-3,Yes,51720975,84501044
A-2-4,No ,51720976,84501045
A-3,Yes,51720976,84501046
A-2-4,No ,51720977,84501047
A-3,Yes,51720977,84501048
A-2-4,No ,51720978,84501049
A-3,Yes,51720978,84501050
A-3,Yes,51720979,84501051
A-2-4,No ,51720980,84501052
A-3,Yes,51720980,84501053
A-2-4,No ,51720981,84501054
A-3,Yes,51720981,84501055
A-3,Yes,51720982,84501056
A-8,Yes,51720879,84500866
A-8,Yes,51720880,84500867
A-2-4,Yes,51720881,84500868
A-4,No ,51720881,84500869
A-2-4,No ,51720908,84500926
A-3,Yes,51720908,84500927
A-3,Yes,51720909,84500928
A-3,Yes,51720910,84500929
A-3,Yes,51720911,84500930
A-2-4,Yes,51721017,84501122
A-2-4,Yes,51721018,84501123
A-2-4,Yes,51721019,84501124
A-2-4,Yes,51721020,84501125
A-4,No ,51721021,84501126
A-2-4,No ,51721021,84501127
A-7-6,No ,51721021,84501128
A-6,Yes,51721021,84501129
A-2-4,Yes,51721022,84501130
A-1-b,No ,51721023,84501131
A-2-4,Yes,51721023,84501132
A-4,No ,51721023,84501133
A-1-b,No ,51721024,84501134
A-2-4,Yes,51721024,84501135
A-4,No ,51721024,84501136
A-1-b,No ,51721025,84501137
A-2-4,Yes,51721025,84501138
A-4,No ,51721025,84501139
A-1-b,No ,51721026,84501140
A-2-4,Yes,51721026,84501141
A-4,No ,51721026,84501142
A-7-6,Yes,51721113,84501306
A-2-4,No ,51721114,84501307
A-4,Yes,51721114,84501308
A-4,Yes,51721115,84501309
A-2-4,No ,51721115,84501310
A-6,Yes,51721116,84501311
A-7-6,No ,51721116,84501312
A-4,Yes,51721117,84501313
A-6,No ,51721118,84501314
A-4,Yes,51721118,84501315
A-2-4,No ,51721119,84501316
A-4,No ,51721119,84501317
A-6,Yes,51721119,84501318
A-4,Yes,51721120,84501319
A-6,Yes,51721121,84501320
A-4,No ,51721121,84501321
A-2-6,No ,51721122,84501322
A-4,Yes,51721122,84501323
A-2-4,No ,51721123,84501324
A-6,Yes,51721123,84501325
A-4,No ,51721123,84501326
A-7-6,No ,51721123,84501327
A-4,No ,51721124,84501328
A-6,Yes,51721124,84501329
A-2-4,No ,51721124,84501330
A-7-6,No ,51721124,84501331
A-4,Yes,51721125,84501332
A-2-4,Yes,51720955,84501014
A-4,No ,51720955,84501015
A-2-4,Yes,51720956,84501016
A-4,No ,51720956,84501017
A-4,No ,51720957,84501018
A-6,Yes,51720957,84501019
A-2-4,Yes,51720958,84501020
A-2-4,Yes,51720959,84501021
A-2-4,Yes,51720960,84501022
A-2-4,Yes,51720961,84501023
A-2-4,Yes,51720962,84501024
A-4,No ,51720962,84501025
A-2-4,Yes,51720963,84501026
A-4,No ,51720963,84501027
A-4,No ,51720964,84501028
A-6,Yes,51720964,84501029
A-2-4,Yes,51720882,84500870
A-2-4,Yes,51720883,84500871
A-4,No ,51720883,84500872
A-6,Yes,51720884,84500873
A-2-4,Yes,51720885,84500874
A-4,Yes,51720886,84500875
A-2-4,No ,51720886,84500876
A-6,No ,51720886,84500877
A-7-6,No ,51720886,84500878
A-2-4,Yes,51720887,84500879
A-4,No ,51720887,84500880
A-2-4,No ,51720888,84500881
A-4,Yes,51720888,84500882
A-4,Yes,51720889,84500883
A-2-4,No ,51720889,84500884
A-3,Yes,51721044,84501183
A-3,Yes,51721045,84501184
A-3,Yes,51721046,84501185
A-2-4,Yes,51721047,84501186
A-2-4,No ,51721048,84501187
A-1-b,No ,51721048,84501188
A-3,Yes,51721048,84501189
A-2-4,No ,51721049,84501190
A-4,No ,51721049,84501191
A-3,Yes,51721049,84501192
A-1-b,No ,51721049,84501193
A-2-4,No ,51721050,84501194
A-3,Yes,51721050,84501195
A-1-b,No ,51721050,84501196
A-1-b,No ,51721051,84501197
A-2-4,No ,51721051,84501198
A-3,Yes,51721051,84501199
A-1-b,No ,51721052,84501200
A-2-4,No ,51721052,84501201
A-3,Yes,51721052,84501202
A-2-4,No ,51721053,84501203
A-3,Yes,51721053,84501204
A-3,Yes,51721054,84501205
A-2,No ,51721054,84501206
A-2,No ,51721055,84501207
A-3,Yes,51721055,84501208
A-8,Yes,51720929,84500967
A-3,Yes,51720912,84500931
A-2-4,No ,51720912,84500932
A-3,Yes,51720913,84500933
A-2-4,No ,51720913,84500934
A-2-4,Yes,51720914,84500935
A-3,Yes,51720915,84500936
A-2-4,No ,51720915,84500937
A-3,Yes,51720916,84500938
A-2-4,No ,51720916,84500939
A-2-4,No ,51720917,84500940
A-3,Yes,51720917,84500941
A-2,No ,51720918,84500942
A-3,Yes,51720918,84500943
A-2,No ,51720919,84500944
A-3,Yes,51720919,84500945
A-2-4,No ,51720947,84500994
A-4,Yes,51720947,84500995
A-4,Yes,51720948,84500996
A-2-4,No ,51720948,84500997
A-4,Yes,51720949,84500998
A-2-4,No ,51720949,84500999
A-6,No ,51720949,84501000
A-7-6,No ,51720949,84501001
A-2-4,Yes,51720950,84501002
A-4,No ,51720950,84501003
A-2-4,No ,51720951,84501004
A-4,Yes,51720951,84501005
A-4,Yes,51720952,84501006
A-2-4,No ,51720952,84501007
A-4,Yes,51720953,84501008
A-2-4,No ,51720953,84501009
A-6,No ,51720953,84501010
A-7-6,No ,51720953,84501011
A-2-4,Yes,51720954,84501012
A-4,No ,51720954,84501013
A-4,Yes,51721130,84501342
A-6,No ,51721130,84501343
A-2-4,No ,51721130,84501344
A-4,Yes,51721131,84501345
A-2-4,No ,51721131,84501346
,No ,51721131,84501347
A-4,Yes,51721132,84501348
A-2-4,No ,51721132,84501349
A-6,No ,51721132,84501350
A-2-4,No ,51721133,84501351
A-6,Yes,51721133,84501352
A-7-6,No ,51721133,84501353
A-2-4,No ,51721134,84501354
A-6,Yes,51721134,84501355
A-7-6,No ,51721134,84501356
A-6,Yes,51721135,84501357
A-2-4,No ,51721135,84501358
A-7-6,No ,51721135,84501359
A-2-4,No ,51721136,84501360
A-6,Yes,51721136,84501361
A-7-6,No ,51721136,84501362
A-2-4,No ,51721137,84501363
A-4,Yes,51721137,84501364
A-6,No ,51721137,84501365
A-2-4,No ,51721138,84501366
A-4,Yes,51721138,84501367
A-6,No ,51721138,84501368
A-6,Yes,51721139,84501369
A-6,No ,51721139,84501370
A-2-4,No ,51721139,84501371
A-4,Yes,51721140,84501372
A-2-4,No ,51721140,84501373
A-6,No ,51721140,84501374
A-2-6,No ,51721141,84501375
A-6,Yes,51721141,84501376
A-7-6,No ,51721141,84501377
A-6,Yes,51721142,84501378
A-7-6,No ,51721142,84501379
A-2-6,No ,51721142,84501380
A-2-6,No ,51721143,84501381
A-6,Yes,51721143,84501382
A-7-6,No ,51721143,84501383
A-4,Yes,51721144,84501384
A-2-4,No ,51721144,84501385
A-6,No ,51721144,84501386
A-4,Yes,51721145,84501387
A-6,No ,51721145,84501388
A-2-4,No ,51721145,84501389
A-2-4,No ,51721146,84501390
A-4,Yes,51721146,84501391
A-6,No ,51721146,84501392
A-6,Yes,51721147,84501393
A-2-4,No ,51721147,84501394
A-6,Yes,51721148,84501395
A-2-4,No ,51721148,84501396
A-7-6,No ,51721148,84501397
A-2-4,No ,51721149,84501398
A-6,Yes,51721149,84501399
A-7-6,No ,51721149,84501400
A-3,Yes,51721073,84501235
A-3,Yes,51721074,84501236
A-2-4,No ,51721075,84501237
A-3,Yes,51721075,84501238
A-3,Yes,51721076,84501239
A-2-4,No ,51721077,84501240
A-3,Yes,51721077,84501241
A-2-4,No ,51721078,84501242
A-3,Yes,51721078,84501243
A-2,No ,51721079,84501244
A-3,Yes,51721079,84501245
A-2,No ,51721080,84501246
A-3,Yes,51721080,84501247
A-2-4,Yes,51721081,84501248
A-2-4,No ,51721082,84501249
A-1-b,No ,51721082,84501250
A-3,Yes,51721082,84501251
A-2-4,No ,51721083,84501252
A-4,No ,51721083,84501253
A-3,Yes,51721083,84501254
A-1-b,No ,51721083,84501255
A-2-4,No ,51721084,84501256
A-3,Yes,51721084,84501257
A-1-b,No ,51721084,84501258
A-1-b,No ,51721085,84501259
A-2-4,No ,51721085,84501260
A-3,Yes,51721085,84501261
A-1-b,No ,51721086,84501262
A-2-4,No ,51721086,84501263
A-3,Yes,51721086,84501264
A-4,Yes,51721056,84501209
A-2-4,Yes,51721057,84501210
A-4,No ,51721057,84501211
A-2-4,Yes,51721095,84501277
A-3,No ,51721095,84501278
A-2-4,Yes,51721096,84501279
