desgnsuffix,chkey,chdesgnsfxkey
e,51720879,20456507
a,51720880,20456508
g,51720881,20456509
p,51720882,20456511
t,51720884,20456367
g,51720885,20456409
g,51720886,20456370
t,51720886,20456371
g,51720887,20456418
g,51720892,20456470
g,51720893,20456471
h,51720895,20456365
h,51720900,20456504
h,51720903,20456505
h,51720905,20456383
t,51720906,20456427
g,51720909,20456515
b,51720910,20456516
g,51720911,20456416
h,51720913,20456351
h,51720916,20456500
h,51720918,20456472
g,51720922,20456424
t,51720922,20456425
g,51720923,20456380
p,51720924,20456463
t,51720925,20456374
g,51720927,20456451
g,51720933,20456434
p,51720934,20456473
t,51720936,20456474
t,51720937,20456385
g,51720937,20456386
h,51720940,20456501
h,51720943,20456502
g,51720945,20456452
a,51720946,20456366
g,51720949,20456453
t,51720949,20456454
g,51720950,20456410
p,51720951,20456530
g,51720953,20456531
t,51720953,20456532
g,51720954,20456419
g,51720956,20456405
g,51720957,20456362
t,51720957,20456363
g,51720958,20456406
g,51720959,20456445
g,51720960,20456529
g,51720961,20456373
p,51720962,20456525
g,51720963,20456526
g,51720964,20456527
t,51720964,20456528
h,51720971,20456358
g,51720973,20456450
g,51720976,20456520
b,51720977,20456521
g,51720978,20456522
g,51720979,20456369
b,51720982,20456415
t,51720985,20456498
g,51720985,20456499
t,51720986,20456458
g,51720986,20456459
g,51720987,20456460
g,51720989,20456417
t,51720990,20456456
g,51720990,20456457
t,51720993,20456464
g,51720993,20456465
g,51720994,20456421
h,51720996,20456446
t,51720997,20456447
g,51720998,20456448
g,51720999,20456514
g,51721000,20456414
p,51721002,20456517
g,51721003,20456518
g,51721004,20456519
h,51721006,20456398
t,51721007,20456435
g,51721010,20456449
h,51721016,20456364
t,51721019,20456466
g,51721021,20456376
t,51721021,20456377
g,51721025,20456467
t,51721025,20456468
g,51721026,20456469
p,51721031,20456477
g,51721032,20456478
g,51721033,20456481
t,51721034,20456479
g,51721034,20456480
g,51721035,20456430
t,51721037,20456437
g,51721038,20456438
t,51721038,20456439
g,51721039,20456387
g,51721040,20456429
p,51721041,20456494
g,51721042,20456495
t,51721043,20456496
g,51721043,20456497
h,51721046,20456411
h,51721049,20456378
h,51721052,20456536
h,51721054,20456426
g,51721057,20456433
h,51721061,20456372
g,51721065,20456407
h,51721068,20456382
t,51721070,20456461
g,51721070,20456462
h,51721075,20456475
h,51721077,20456476
h,51721079,20456381
h,51721083,20456537
h,51721086,20456379
g,51721087,20456408
g,51721088,20456513
g,51721089,20456524
g,51721091,20456523
b,51721092,20456510
h,51721096,20456512
p,51721099,20456444
g,51721102,20456542
g,51721103,20456543
g,51721104,20456541
a,51721105,20456394
t,51721107,20456544
g,51721107,20456545
g,51721108,20456546
g,51721110,20456492
g,51721111,20456493
g,51721113,20456442
p,51721114,20456403
t,51721116,20456440
g,51721116,20456441
p,51721118,20456506
t,51721119,20456402
g,51721121,20456359
t,51721121,20456360
p,51721122,20456443
t,51721123,20456361
t,51721124,20456404
t,51721127,20456400
g,51721127,20456401
g,51721128,20456436
p,51721129,20456399
p,51721130,20456388
t,51721133,20456538
g,51721134,20456539
t,51721134,20456540
g,51721135,20456432
g,51721136,20456393
p,51721137,20456390
g,51721138,20456431
t,51721139,20456391
g,51721139,20456392
p,51721140,20456482
t,51721141,20456484
g,51721142,20456485
t,51721142,20456486
g,51721143,20456483
p,51721145,20456389
g,51721146,20456487
t,51721147,20456488
g,51721147,20456489
g,51721148,20456490
g,51721149,20456491
g,51721152,20456352
t,51721152,20456353
g,51721153,20456396
h,51721156,20456395
h,51721157,20456503
b,51721160,20456412
h,51721160,20456413
p,51721161,20456455
t,51721163,20456368
t,51721166,20456356
g,51721166,20456357
g,51721167,20456397
h,51721171,20456355
h,51721172,20456354
g,51721177,20456375
g,51721180,20456422
t,51721180,20456423
p,51721181,20456533
t,51721183,20456534
g,51721183,20456535
g,51721184,20456420
g,51721185,20456428
g,51721186,20456384
