fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
0,1,1,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721005,88640378
0,1,1,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721006,88640379
0,1,1,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721007,88640380
0,1,1,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721008,88640381
0,3,6,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721009,88640382
0,2,3,Quartzite fragments,5,40,75,Nonflat,Well rounded,Indurated,51721009,88640383
0,6,11,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721010,88640384
0,2,3,Quartzite fragments,5,40,75,Nonflat,Well rounded,Indurated,51721010,88640385
0,3,6,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721011,88640386
0,2,3,Quartzite fragments,5,40,75,Nonflat,Well rounded,Indurated,51721011,88640387
0,3,6,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721012,88640388
0,2,3,Quartzite fragments,5,40,75,Nonflat,Well rounded,Indurated,51721012,88640389
0,3,6,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721013,88640390
0,2,3,Quartzite fragments,5,40,75,Nonflat,Well rounded,Indurated,51721013,88640391
0,1,1,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721185,88640534
0,1,1,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721186,88640535
0,1,1,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721187,88640536
0,2,3,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51720892,88640282
0,2,3,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51720893,88640283
0,2,3,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51720894,88640284
0,1,1,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51720904,88640285
0,1,1,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51720905,88640286
0,1,1,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51720906,88640287
0,1,1,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51720907,88640288
0,3,6,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51720932,88640309
0,2,3,Quartzite fragments,5,40,75,Nonflat,Well rounded,Indurated,51720932,88640310
0,6,11,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51720933,88640311
0,2,3,Quartzite fragments,5,40,75,Nonflat,Well rounded,Indurated,51720933,88640312
0,3,6,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51720934,88640313
0,3,6,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51720935,88640314
0,2,3,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51720936,88640315
0,2,3,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51720937,88640316
0,2,3,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721099,88640453
0,1,1,Quartzite fragments,5,40,75,Nonflat,Well rounded,Indurated,51721099,88640454
0,1,2,Quartzite fragments,75,162,250,Nonflat,Well rounded,Indurated,51721099,88640455
0,3,6,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721100,88640456
0,2,3,Quartzite fragments,5,40,75,Nonflat,Well rounded,Indurated,51721100,88640457
0,1,2,Quartzite fragments,75,162,250,Nonflat,Well rounded,Indurated,51721100,88640458
0,2,3,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721101,88640459
0,2,3,Quartzite fragments,5,40,75,Nonflat,Well rounded,Indurated,51721101,88640460
0,1,2,Quartzite fragments,75,162,250,Nonflat,Well rounded,Indurated,51721101,88640461
0,3,6,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721087,88640438
0,2,3,Quartzite fragments,5,40,75,Nonflat,Well rounded,Indurated,51721087,88640439
0,1,2,Quartzite fragments,75,162,250,Nonflat,Well rounded,Indurated,51721087,88640440
0,3,6,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721088,88640441
0,2,3,Quartzite fragments,5,40,75,Nonflat,Well rounded,Indurated,51721088,88640442
0,1,2,Quartzite fragments,75,162,250,Nonflat,Well rounded,Indurated,51721088,88640443
0,2,15,Quartzite fragments,2,39,75,Nonflat,Well rounded,Indurated,51720944,88640317
0,2,15,Quartzite fragments,2,39,75,Nonflat,Well rounded,Indurated,51720945,88640318
0,2,3,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721110,88640462
0,2,3,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721111,88640463
0,2,3,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721112,88640464
0,3,6,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51720973,88640347
0,2,3,Quartzite fragments,5,40,75,Nonflat,Well rounded,Indurated,51720973,88640348
0,1,2,Quartzite fragments,75,162,250,Nonflat,Well rounded,Indurated,51720973,88640349
0,3,6,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51720974,88640350
0,2,3,Quartzite fragments,5,40,75,Nonflat,Well rounded,Indurated,51720974,88640351
0,1,2,Quartzite fragments,75,162,250,Nonflat,Well rounded,Indurated,51720974,88640352
0,2,4,Shell fragments,2,4,5,Flat,Subangular,Indurated,51720975,88640353
0,2,4,Shell fragments,2,4,5,Flat,Subangular,Indurated,51720976,88640354
0,2,4,Shell fragments,2,4,5,Flat,Subangular,Indurated,51720977,88640355
0,2,4,Shell fragments,2,4,5,Flat,Subangular,Indurated,51720978,88640356
0,6,14,Shell fragments,2,4,5,Flat,Subangular,Indurated,51720979,88640357
0,6,14,Shell fragments,2,4,5,Flat,Subangular,Indurated,51720980,88640358
0,6,14,Shell fragments,2,4,5,Flat,Subangular,Indurated,51720981,88640359
0,6,14,Shell fragments,2,4,5,Flat,Subangular,Indurated,51720982,88640360
0,1,1,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51720881,88640270
0,2,4,Shell fragments,2,4,5,Flat,Subangular,Indurated,51720908,88640289
0,2,4,Shell fragments,2,4,5,Flat,Subangular,Indurated,51720909,88640290
0,2,4,Shell fragments,2,4,5,Flat,Subangular,Indurated,51720910,88640291
0,2,4,Shell fragments,2,4,5,Flat,Subangular,Indurated,51720911,88640292
0,1,1,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721017,88640392
0,1,1,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721018,88640393
0,1,1,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721019,88640394
0,1,1,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721020,88640395
0,1,1,Quartzite fragments,2,4,5,Nonflat,Well rounded,Indurated,51721021,88640396
