hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
A,NA,A,,NA,NA,0,NA,NA,5,NA,NA,5,NA,0,0,0,0,0,0,100,100,100,100,100,100,51,75.5,100,5,12.5,20,NA,95.4,NA,NA,0,NA,NA,1.3,NA,NA,18,NA,NA,62.1,NA,NA,14,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,0,4,8,NA,NA,NA,0.5,0.75,1,NA,NA,NA,1.6,1.68,1.75,NA,NA,NA,NA,1.76,NA,NA,42,92,141,0.02,0.04,0.06,9.9,14.8,17.4,5.6,11,14.4,0.9,4.3,7.8,31,34,37,0,1.5,2.9,6,10,14,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0.8,1.6,2.3,NA,NA,NA,4.5,5.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.9,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17728571,51721005
E/Bh,NA,E/B,,NA,NA,5,NA,NA,76,NA,NA,71,NA,0,0,0,0,0,0,100,100,100,100,100,100,51,75.5,100,5,12.5,20,NA,97.3,NA,NA,0,NA,NA,1.3,NA,NA,18.3,NA,NA,63.4,NA,NA,14.3,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,0,2,4,NA,NA,NA,0.5,0.75,1,NA,NA,NA,1.6,1.68,1.75,NA,NA,NA,NA,1.76,NA,NA,42,92,141,0.02,0.04,0.06,9.9,13.2,15.3,5.6,9.1,11.5,0.9,2.8,4.7,31,34,37,0,1.5,2.9,6,10,14,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0.8,1.6,2.3,NA,NA,NA,4.5,5.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.9,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17728571,51721006
Bt,NA,B,,NA,NA,76,NA,NA,102,NA,NA,26,NA,0,0,0,0,0,0,100,100,100,100,100,100,60,80,100,23,36,49,NA,68.5,NA,NA,0,NA,NA,2.4,NA,NA,14.8,NA,NA,34.3,NA,NA,17,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA,8,17,26,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.45,1.53,1.6,NA,NA,NA,NA,1.6,NA,NA,14,28,42,0.1,0.12,0.14,NA,NA,NA,14.8,21.1,26,5.5,11.9,18.6,37,40,43,0,1.5,2.9,0,12,24,0,5,10,0,0,1,0.24,0.24,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,0.6,1.7,2.8,NA,NA,NA,4.5,5.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.5,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17728571,51721007
C,NA,C,,NA,NA,102,NA,NA,203,NA,NA,101,NA,0,0,0,0,0,0,100,100,100,100,100,100,51,75.5,100,5,17.5,30,NA,77.9,NA,NA,0,NA,NA,1.9,NA,NA,12.7,NA,NA,38.6,NA,NA,24.7,NA,NA,16.1,NA,NA,NA,NA,NA,NA,NA,0,6,12,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.6,1.68,1.75,NA,NA,NA,NA,1.76,NA,NA,42,92,141,0.02,0.06,0.1,6.1,19.7,24.1,2.1,14.1,19.5,0.1,4.9,9.9,32,34,37,0,1.5,2.9,6,10,14,0,0,0,0,0,0,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3,0,0.9,1.7,NA,NA,NA,4.5,5.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.4,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17728571,51721008
A,NA,A,,NA,NA,0,NA,NA,61,NA,NA,61,NA,0,0,0,0,0,0,95,97.5,100,90,95,100,50,72.5,95,30,45,60,NA,43,NA,NA,4.2,NA,NA,5.8,NA,NA,7.6,NA,NA,13.3,NA,NA,12.1,NA,NA,39.5,NA,NA,NA,NA,NA,NA,NA,10,17.5,25,NA,NA,NA,2,4,6,NA,NA,NA,1.3,1.38,1.45,NA,NA,NA,NA,1.44,NA,NA,4,9,14,0.09,0.12,0.15,NA,NA,NA,21.8,28.1,33.6,7.4,14.1,21.3,37,41,46,0,1.5,2.9,0,14.5,29,0,10,10,0,4,14,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,7,13.4,19.8,5.2,10,14.8,NA,NA,NA,5.1,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,7,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17728572,51721009
Cg,NA,C,,NA,NA,61,NA,NA,203,NA,NA,142,NA,0,0,0,0,0,0,95,97.5,100,80,90,100,60,75,90,20,30,40,NA,67.9,NA,NA,4.5,NA,NA,14.5,NA,NA,18,NA,NA,20.2,NA,NA,10.7,NA,NA,19.6,NA,NA,NA,NA,NA,NA,NA,5,12.5,20,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.35,1.43,1.5,NA,NA,NA,NA,1.5,NA,NA,4,9,14,0.08,0.1,0.12,NA,NA,NA,9.8,16.2,21.8,2.6,7.2,12.7,35,40,46,0,1.5,2.9,0,10,20,0,2,4,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,1.2,3.7,6.1,0.9,2.8,4.6,NA,NA,NA,5.6,7,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17728572,51721010
H2,NA,H,,2,NA,30,NA,NA,132,NA,NA,102,NA,0,0,0,0,0,0,95,97.5,100,90,95,100,60,70,80,30,42.5,55,NA,55.8,NA,NA,1.3,NA,NA,8.2,NA,NA,14.8,NA,NA,20.2,NA,NA,11.3,NA,NA,17.7,NA,NA,NA,NA,NA,NA,NA,18,26.5,35,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.3,1.45,1.6,NA,NA,NA,NA,1.52,NA,NA,4,9,14,0.12,0.15,0.17,NA,NA,NA,18.6,23.4,28,10,15.6,21.9,34,41,48,0,1.5,2.9,24,34.5,45,3,9,15,0,1,6,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,4.5,7.2,9.9,3.4,5.4,7.4,NA,NA,NA,4.5,5.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,7.6,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17728573,51721011
H3,NA,H,,3,NA,132,NA,NA,203,NA,NA,71,NA,0,0,0,0,0,0,95,97.5,100,90,95,100,45,65,85,20,37.5,55,NA,83,NA,NA,1.1,NA,NA,12,NA,NA,26.2,NA,NA,31.6,NA,NA,12.1,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,5,8,30,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.4,1.5,1.6,NA,NA,NA,NA,1.57,NA,NA,1.4,8,14,0.07,0.11,0.14,16.2,19.7,29.8,10.9,14.5,27.4,3.1,5.5,20.9,34,39,45,0,1.5,2.9,7,13,20,0,0,2,0,0,4,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2.5,5.6,8.6,1.9,4.2,6.5,NA,NA,NA,4.5,5.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,4.4,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17728573,51721012
H1,NA,H,,1,NA,0,NA,NA,30,NA,NA,30,NA,0,0,0,0,0,0,95,97.5,100,90,95,100,50,65,80,13,21.5,30,NA,83.8,NA,NA,1.1,NA,NA,12.1,NA,NA,26.5,NA,NA,31.9,NA,NA,12.2,NA,NA,9.2,NA,NA,NA,NA,NA,NA,NA,2,7,12,NA,NA,NA,0.5,1.25,2,NA,NA,NA,1.35,1.53,1.7,NA,NA,NA,NA,1.6,NA,NA,14,40,141,0.06,0.09,0.11,14.3,20.5,25,8.9,15.5,20.6,1.9,6.3,11.2,30,37,46,0,1.5,2.9,7,13,20,0,0,2,0,0,0,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,1.6,4.6,7.5,1.2,3.4,5.6,NA,NA,NA,4.5,5.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,5,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17728573,51721013
Cg1,NA,C,,1,NA,20,NA,NA,97,NA,NA,77,NA,0,0,0,0,0,0,100,100,100,98,98,100,85,98,100,82,94,100,NA,5.5,NA,NA,0.2,NA,NA,0.3,NA,NA,0.6,NA,NA,1.7,NA,NA,2.7,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,35,47.5,60,NA,NA,NA,5,12.5,20,NA,NA,NA,1.3,1.45,1.6,NA,NA,NA,NA,1.8,NA,NA,0.01,0.2,0.42,0.02,0.04,0.06,NA,NA,NA,26.6,32.3,39.5,25.1,29.1,35.6,28,34,41,6,7.5,8.9,50,75,100,16,38,60,12,36,70,0.28,0.28,0,3,5,0,1,1,45,50,55,8,20,32,20,25,30,11,18,25,NA,NA,NA,6.1,7.3,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,15.1,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17728619,51721185
