structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
,,Massive,NA,NA,27710881,33882104
,,Massive,NA,NA,27710882,33882105
,,Massive,NA,NA,27710883,33882106
Moderate,Medium,Platy,NA,NA,27710884,33882107
,,Massive,NA,NA,27710885,33882108
Weak,Medium,Granular,NA,NA,27710886,33882109
,,Single grain,NA,NA,27710887,33882110
,,Single grain,NA,NA,27710888,33882111
,,Single grain,NA,NA,27710889,33882112
,,Single grain,NA,NA,27710890,33882113
,,Single grain,NA,NA,27710891,33882114
Weak,Medium,Granular,NA,NA,27710892,33882115
Weak,Medium,Granular,NA,NA,27710893,33882116
Weak,Fine,Granular,NA,NA,27710894,33882117
Weak,Fine,Granular,NA,NA,27710895,33882118
Weak,Medium,Granular,NA,NA,27710896,33882119
Weak,Fine,Granular,NA,NA,27710897,33882120
Weak,Fine,Subangular blocky,NA,NA,27710898,33882121
Weak,Fine,Subangular blocky,NA,NA,27710899,33882122
Weak,Medium,Granular,NA,NA,27710900,33882123
Weak,Fine,Granular,NA,NA,27710901,33882124
,,Single grain,NA,NA,27710902,33882125
Weak,Medium,Granular,NA,NA,27710903,33882126
Weak,Fine,Granular,NA,NA,27710904,33882127
Weak,Fine,Granular,NA,NA,27710905,33882128
,,Single grain,NA,NA,27710906,33882129
,,Single grain,NA,NA,27710907,33882130
,,Single grain,NA,NA,27710908,33882131
,,Single grain,NA,NA,27710909,33882132
,,Single grain,NA,NA,27710910,33882133
,,Single grain,NA,NA,27710911,33882134
Weak,Medium,Granular,NA,NA,27710912,33882135
,,Massive,NA,NA,27710913,33882136
,,Massive,NA,NA,27710914,33882137
,,Massive,NA,NA,27710915,33882138
Weak,Fine,Subangular blocky,NA,NA,27710916,33882139
,,Massive,NA,NA,27710917,33882140
Weak,Fine,Granular,NA,NA,27710918,33882141
Weak,Fine,Granular,NA,NA,27710919,33882142
Weak,Fine,Granular,NA,NA,27710920,33882143
Weak,Medium,Granular,NA,NA,27710921,33882144
Weak,Medium,Granular,NA,NA,27710922,33882145
Weak,Fine,Granular,NA,NA,27710923,33882146
Weak,Fine,Granular,NA,NA,27710924,33882147
Strong,Fine,Angular blocky,NA,NA,27710925,33882148
Weak,Medium,Granular,NA,NA,27710926,33882149
Weak,Medium,Granular,NA,NA,27710927,33882150
Weak,Medium,Granular,NA,NA,27710928,33882151
,,Single grain,NA,NA,27710929,33882152
Weak,Fine,Granular,NA,NA,27710930,33882153
,,Single grain,NA,NA,27710931,33882154
Weak,Fine,Granular,NA,NA,27710932,33882155
Weak,Medium,Granular,NA,NA,27710933,33882156
Weak,Medium,Granular,NA,NA,27710934,33882157
Weak,Fine,Granular,NA,NA,27710935,33882158
Weak,Fine,Granular,NA,NA,27710936,33882159
Weak,Medium,Subangular blocky,NA,NA,27710937,33882160
,,Massive,NA,NA,27710938,33882161
Weak,Fine,Granular,NA,NA,27710939,33882162
,,Single grain,NA,NA,27710940,33882163
,,Single grain,NA,NA,27710941,33882164
,,Single grain,NA,NA,27710942,33882165
,,Single grain,NA,NA,27710943,33882166
,,Massive,NA,NA,27710944,33882167
,,Massive,NA,NA,27710945,33882168
Weak,Medium,Granular,NA,NA,27710946,33882169
Weak,Medium,Subangular blocky,NA,NA,27710947,33882170
Moderate,Fine,Granular,NA,NA,27710948,33882171
,,Massive,NA,NA,27710949,33882172
Weak,Medium,Granular,NA,NA,27710950,33882173
Weak,Medium,Granular,NA,NA,27710951,33882174
Weak,Fine,Subangular blocky,NA,NA,27710952,33882175
Weak,Fine,Granular,NA,NA,27710953,33882176
Weak,Fine,Granular,NA,NA,27710954,33882177
,,Massive,NA,NA,27710955,33882178
Weak,Medium,Subangular blocky,NA,NA,27710956,33882179
Strong,Fine,Angular blocky,NA,NA,27710957,33882180
Weak,Medium,Granular,NA,NA,27710958,33882181
,,Single grain,NA,NA,27710959,33882182
