structgrpname,rvindicator,chkey,chstructgrpkey
massive,Yes,51720879,27710881
massive,Yes,51720880,27710882
massive,Yes,51720881,27710883
weak medium granular structure,Yes,51720882,27710921
weak medium granular structure,Yes,51720883,27711050
weak medium subangular blocky structure,Yes,51720884,27710956
single grain,Yes,51720885,27711051
weak fine granular structure,Yes,51720888,27710923
weak fine granular,Yes,51720889,27710924
single grain,Yes,51720890,27711033
single grain,Yes,51720891,27710902
weak medium granular structure,Yes,51720894,27710974
weak fine granular structure,Yes,51720897,27711034
weak fine granular structure,Yes,51720899,27711032
weak fine granular structure,Yes,51720904,27711053
single grain,Yes,51720908,27710909
single grain,Yes,51720909,27710910
single grain,Yes,51720910,27710911
single grain,Yes,51720911,27711038
weak fine granular structure,Yes,51720914,27710901
weak fine granular structure,Yes,51720917,27711003
weak medium granular structure,Yes,51720920,27710973
"weak medium granular structure, and weak fine granular structure",Yes,51720924,27710995
weak medium subangular blocky structure,Yes,51720925,27710947
weak medium subangular blocky structure,Yes,51720926,27711043
weak medium granular structure,Yes,51720928,27710966
massive,Yes,51720929,27710987
single grain,Yes,51720930,27710992
single grain,Yes,51720931,27711008
weak medium granular structure,Yes,51720932,27711001
weak fine granular structure,Yes,51720934,27711006
weak fine granular structure,Yes,51720938,27710953
massive,Yes,51720944,27711004
massive,Yes,51720945,27711005
massive,Yes,51720946,27710955
weak fine granular structure,Yes,51720947,27710988
weak fine granular,Yes,51720948,27710989
weak fine granular structure,Yes,51720951,27710894
weak fine granular,Yes,51720952,27710895
weak medium granular structure,Yes,51720955,27710946
weak medium granular structure,Yes,51720962,27710893
single grain,Yes,51720965,27711035
single grain,Yes,51720966,27710940
weak medium granular structure,Yes,51720967,27710994
weak fine granular structure,Yes,51720969,27710918
single grain,Yes,51720973,27711007
weak medium granular structure,Yes,51720974,27710958
single grain,Yes,51720975,27710888
single grain,Yes,51720976,27710889
single grain,Yes,51720977,27710890
single grain,Yes,51720978,27710891
single grain,Yes,51720979,27710942
