texcl,lieutex,chtgkey,chtkey
Loam,,103307150,105076835
Sandy loam,,103307151,105076836
Loamy sand,,103307152,105076837
Sand,,103307153,105076381
Loamy sand,,103307154,105076382
Sand,,103307155,105076383
Loamy sand,,103307156,105076868
Fine sandy loam,,103307157,105076544
Sandy clay loam,,103307158,105076869
Sandy loam,,103307159,105076545
Loamy sand,,103307160,105076708
Loamy coarse sand,,103307161,105076709
Fine sandy loam,,103307162,105076710
Sandy clay loam,,103307163,105076711
Sandy loam,,103307164,105076546
Sandy clay,,103307165,105076870
Sand,,103307166,105076684
Sand,,103307167,105077032
Sand,,103307168,105077033
Fine sand,,103307169,105077034
Loamy sand,,103307170,105077035
Sand,,103307171,105076685
Fine sand,,103307172,105077011
Sand,,103307173,105076686
Fine sand,,103307174,105077012
Sand,,103307175,105076838
Fine sand,,103307176,105076839
,Muck,103307019,105076712
,Mucky peat,103307020,105076985
,Muck,103307021,105076663
Sand,,103307022,105076520
Loamy sand,,103307023,105076521
Loam,,103307024,105076522
Sand,,103307096,105076994
Fine sand,,103307097,105076673
Sand,,103307098,105076995
Fine sand,,103307099,105076674
Sand,,103307100,105076822
Fine sand,,103307101,105076823
Fine sand,,103307102,105076824
Sand,,103307103,105076825
Sandy clay loam,,103307598,105076649
Sandy clay,,103307599,105076506
Clay,,103307600,105076507
Sandy loam,,103307601,105076646
Loam,,103307602,105076967
Fine sandy loam,,103307603,105076647
Loam,,103307604,105076968
Loamy fine sand,,103307605,105076800
Sandy loam,,103307606,105076801
Loamy sand,,103307607,105076799
Fine sandy loam,,103307608,105076802
Clay loam,,103307609,105076970
Sandy loam,,103307610,105076969
Sandy clay loam,,103307611,105076648
Fine sandy loam,,103307612,105077036
Loamy sand,,103307613,105077037
Loamy fine sand,,103307614,105077141
Sandy loam,,103307615,105076687
Fine sandy loam,,103307616,105076501
Sandy loam,,103307617,105076963
Sandy loam,,103307618,105076798
Fine sandy loam,,103307619,105076643
Sandy clay loam,,103307620,105076797
Clay loam,,103307621,105076965
Loam,,103307622,105076796
Loamy sand,,103307623,105076795
Loamy fine sand,,103307624,105076641
Sandy loam,,103307625,105076964
Fine sandy loam,,103307626,105076642
Clay,,103307627,105076966
Clay loam,,103307628,105076502
Fine sandy loam,,103307629,105076503
Sandy clay,,103307630,105076505
Sandy clay loam,,103307631,105076645
Sandy loam,,103307632,105076644
Loam,,103307633,105076504
Sandy loam,,103307634,105076508
Fine sandy loam,,103307635,105076509
Fine sandy loam,,103307636,105076803
Sandy clay loam,,103307637,105076806
Sandy loam,,103307638,105076805
Loam,,103307639,105076804
Clay loam,,103307640,105076652
Sandy clay loam,,103307641,105076973
Sandy loam,,103307642,105076974
Loam,,103307643,105076653
Fine sandy loam,,103307644,105076510
Clay loam,,103307645,105076654
Loamy sand,,103307646,105076971
Fine sandy loam,,103307647,105076651
Loamy fine sand,,103307648,105076972
Sandy loam,,103307649,105076650
Fine sandy loam,,103307664,105076445
Sandy loam,,103307665,105076914
Loamy sand,,103307666,105076919
Loamy fine sand,,103307667,105076597
Sandy loam,,103307668,105076920
Fine sandy loam,,103307669,105076596
Loamy sand,,103307670,105076916
Sandy loam,,103307671,105076915
Fine sandy loam,,103307672,105076593
Loamy fine sand,,103307673,105076592
Sandy clay loam,,103307674,105076753
Clay loam,,103307675,105076917
Loam,,103307676,105076752
Sandy loam,,103307677,105076754
Fine sandy loam,,103307678,105076755
Sandy clay loam,,103307679,105076595
Sandy loam,,103307680,105076594
Loam,,103307681,105076448
Clay loam,,103307682,105076446
Clay,,103307683,105076918
Fine sandy loam,,103307684,105076447
Sandy clay,,103307685,105076449
Sandy clay loam,,103307686,105077139
Sandy clay,,103307687,105077178
Fine sandy loam,,103307688,105077179
Loam,,103307689,105077140
Sandy loam,,103307690,105077065
Fine sandy loam,,103307691,105077068
Sandy clay loam,,103307692,105077066
Sandy clay,,103307693,105077067
Fine sandy loam,,103307694,105077138
Loamy sand,,103307695,105077105
Fine sandy loam,,103307696,105077177
Loam,,103307697,105077104
Sandy clay loam,,103307698,105077106
Clay loam,,103307699,105077107
Fine sandy loam,,103307700,105076440
Sandy clay loam,,103307701,105076912
Clay loam,,103307702,105076748
Loam,,103307703,105076749
Sandy loam,,103307704,105076590
Sandy clay loam,,103307705,105076750
Sandy loam,,103307706,105076751
Clay loam,,103307707,105076591
Loam,,103307708,105076913
Sandy clay loam,,103307709,105076441
Sandy loam,,103307710,105076442
Clay loam,,103307711,105076911
Loam,,103307712,105076589
Sandy loam,,103307713,105076443
Fine sandy loam,,103307714,105076444
Fine sandy loam,,103307715,105077101
Loamy sand,,103307716,105077135
Fine sandy loam,,103307717,105077102
Loam,,103307718,105077103
Sandy clay loam,,103307719,105077174
Clay loam,,103307720,105077136
Sandy clay loam,,103307721,105077060
Sandy clay,,103307722,105077175
Fine sandy loam,,103307723,105077061
Loam,,103307724,105077062
Sandy loam,,103307725,105077063
Sandy clay loam,,103307726,105077064
Sandy clay,,103307727,105077137
Fine sandy loam,,103307728,105077176
Loam,,103307270,105076924
Fine sandy loam,,103307271,105076828
Sandy clay loam,,103307272,105076601
