texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
FS,No ,Yes,Fine sand,51721005,103307332
S,No ,No ,Sand,51721005,103307333
FS,No ,Yes,Fine sand,51721006,103307334
S,No ,No ,Sand,51721006,103307335
FSL,No ,Yes,Fine sandy loam,51721007,103307336
SCL,No ,No ,Sandy clay loam,51721007,103307337
SL,No ,No ,Sandy loam,51721007,103307338
S,No ,No ,Sand,51721008,103307339
LFS,No ,Yes,Loamy fine sand,51721008,103307340
FS,No ,No ,Fine sand,51721008,103307341
L,No ,Yes,Loam,51721009,103307342
SL,No ,Yes,Sandy loam,51721010,103307343
LS,No ,No ,Loamy sand,51721010,103307344
SCL,No ,Yes,Sandy clay loam,51721011,103307345
SL,No ,No ,Sandy loam,51721011,103307346
LS,No ,Yes,Loamy sand,51721012,103307347
SL,No ,No ,Sandy loam,51721012,103307348
SCL,No ,No ,Sandy clay loam,51721012,103307349
LFS,No ,No ,Loamy fine sand,51721013,103307350
LS,No ,Yes,Loamy sand,51721013,103307351
SIC,No ,Yes,Silty clay,51721185,103307818
C,No ,No ,Clay,51721185,103307819
SC,No ,No ,Sandy clay,51721185,103307820
S,No ,No ,Sand,51721186,103307821
FS,No ,No ,Fine sand,51721186,103307822
LS,No ,Yes,Loamy sand,51721186,103307823
SICL,No ,Yes,Silty clay loam,51721187,103307824
SL,No ,No ,Sandy loam,51720892,103307058
FSL,No ,Yes,Fine sandy loam,51720892,103307059
LS,No ,Yes,Loamy sand,51720893,103307060
S,No ,No ,Sand,51720893,103307061
SL,No ,No ,Sandy loam,51720893,103307062
MK-FSL,No ,Yes,Mucky fine sandy loam,51720894,103307063
MK-L,No ,No ,Mucky loam,51720894,103307064
FS,No ,Yes,Fine sand,51720895,103307065
S,No ,No ,Sand,51720895,103307066
LFS,No ,No ,Loamy fine sand,51720895,103307067
FS,No ,Yes,Fine sand,51720896,103307068
S,No ,No ,Sand,51720896,103307069
LS,No ,No ,Loamy sand,51720896,103307070
SL,No ,No ,Sandy loam,51720896,103307071
FS,No ,Yes,Fine sand,51720897,103307072
S,No ,No ,Sand,51720897,103307073
LFS,No ,No ,Loamy fine sand,51720897,103307074
S,No ,Yes,Sand,51720898,103307075
S,No ,Yes,Sand,51720899,103307076
S,No ,No ,Sand,51720900,103307077
FS,No ,Yes,Fine sand,51720900,103307078
LS,No ,No ,Loamy sand,51720900,103307079
S,No ,No ,Sand,51720901,103307080
FS,No ,Yes,Fine sand,51720901,103307081
S,No ,No ,Sand,51720902,103307082
FS,No ,Yes,Fine sand,51720902,103307083
S,No ,No ,Sand,51720903,103307084
