texmod,chtkey,chtexmodkey
Mucky,105076470,29857427
Mucky,105076481,29857435
Mucky,105076538,29857431
Mucky,105076631,29857426
Mucky,105076945,29857445
Mucky,105076997,29857453
Mucky,105077004,29857440
Mucky,105077131,29857428
Mucky,105076675,29857433
Mucky,105076859,29857430
Mucky,105076924,29857444
Mucky,105077092,29857443
Mucky,105076469,29857451
Mucky,105076578,29857442
Mucky,105076623,29857436
Mucky,105076630,29857439
Mucky,105076787,29857438
Mucky,105076828,29857429
Mucky,105076996,29857432
Mucky,105077171,29857452
Mucky,105076482,29857425
Mucky,105076483,29857446
Mucky,105076484,29857437
Mucky,105076786,29857447
Mucky,105076818,29857450
Mucky,105076900,29857441
Mucky,105076950,29857448
Mucky,105076952,29857449
Gravelly,105076984,29857434
