unifiedcl,rvindicator,chkey,chunifiedkey
SM,Yes,51721005,96936738
SP-SM,No ,51721005,96936739
SM,Yes,51721006,96936740
SP-SM,No ,51721006,96936741
SM,No ,51721007,96936742
SC,No ,51721007,96936743
SC-SM,Yes,51721007,96936744
SM,Yes,51721008,96936745
SP-SM,No ,51721008,96936746
CL,Yes,51721009,96936747
CL-ML,No ,51721009,96936748
SM,No ,51721010,96936749
SC-SM,Yes,51721010,96936750
ML,No ,51721011,96936751
SM,Yes,51721011,96936752
SM,Yes,51721012,96936753
ML,No ,51721012,96936754
SM,No ,51721013,96936755
SC-SM,Yes,51721013,96936756
CH,No ,51721185,96937108
MH,Yes,51721185,96937109
OH,No ,51721185,96937110
SM,Yes,51721186,96937111
CH,No ,51721187,96937112
MH,Yes,51721187,96937113
OH,No ,51721187,96937114
SC-SM,Yes,51720892,96936497
SM,No ,51720892,96936498
SC-SM,Yes,51720893,96936499
SM,No ,51720893,96936500
SP-SM,No ,51720893,96936501
SM,No ,51720894,96936502
SC-SM,Yes,51720894,96936503
SC-SM,Yes,51720895,96936504
SM,No ,51720895,96936505
SC-SM,Yes,51720896,96936506
SC-SM,Yes,51720897,96936507
SM,No ,51720897,96936508
SM,No ,51720898,96936509
SP-SM,Yes,51720898,96936510
SM,Yes,51720899,96936511
SM,No ,51720900,96936512
SP-SM,Yes,51720900,96936513
SM,No ,51720901,96936514
SP-SM,Yes,51720901,96936515
SM,No ,51720902,96936516
SP-SM,Yes,51720902,96936517
SM,No ,51720903,96936518
SP-SM,Yes,51720903,96936519
SM,Yes,51720904,96936520
SP-SM,No ,51720904,96936521
SM,Yes,51720905,96936522
SP-SM,No ,51720905,96936523
SM,No ,51720906,96936524
SC,No ,51720906,96936525
SC-SM,Yes,51720906,96936526
SM,Yes,51720907,96936527
SP,Yes,51721014,96936757
SP-SM,No ,51721014,96936758
SM,No ,51721015,96936759
SP,No ,51721015,96936760
SP-SM,Yes,51721015,96936761
SM,No ,51721016,96936762
SC-SM,Yes,51721016,96936763
CL,Yes,51720932,96936572
CL-ML,No ,51720932,96936573
SM,No ,51720933,96936574
SC-SM,Yes,51720933,96936575
SM,Yes,51720934,96936576
SP-SM,No ,51720934,96936577
SM,Yes,51720935,96936578
SP-SM,No ,51720935,96936579
SM,Yes,51720936,96936580
SC,Yes,51720937,96936581
SC-SM,No ,51720937,96936582
SM,No ,51720937,96936583
SM,Yes,51720938,96936584
SM,No ,51720939,96936585
SP-SM,Yes,51720939,96936586
SM,No ,51720940,96936587
SP-SM,Yes,51720940,96936588
SM,No ,51720941,96936589
SP-SM,Yes,51720941,96936590
SM,No ,51720942,96936591
SP-SM,Yes,51720942,96936592
SM,No ,51720943,96936593
SP-SM,Yes,51720943,96936594
SC,Yes,51721098,96936920
SM,Yes,51721099,96936921
CL,No ,51721100,96936922
SC,Yes,51721100,96936923
SC-SM,No ,51721100,96936924
SM,No ,51721100,96936925
CL,No ,51721101,96936926
ML,No ,51721101,96936927
SC,Yes,51721101,96936928
SM,No ,51721101,96936929
SP,No ,51721087,96936896
SP-SM,Yes,51721087,96936897
SP,No ,51721088,96936898
SP-SM,Yes,51721088,96936899
SC-SM,No ,51720944,96936595
CL-ML,Yes,51720944,96936596
ML,No ,51720944,96936597
CL,No ,51720944,96936598
ML,No ,51720945,96936599
CL-ML,No ,51720945,96936600
CL,Yes,51720945,96936601
SM,No ,51720945,96936602
SC-SM,No ,51720945,96936603
PT,Yes,51720946,96936604
SC-SM,No ,51721102,96936930
SM,No ,51721102,96936931
SC,Yes,51721102,96936932
SC-SM,No ,51721103,96936933
SM,Yes,51721103,96936934
SC-SM,No ,51721104,96936935
SM,Yes,51721104,96936936
PT,Yes,51721105,96936937
SC,No ,51721106,96936938
CL,Yes,51721106,96936939
CL,Yes,51721107,96936940
CL,Yes,51721108,96936941
OH,Yes,51721109,96936942
SC-SM,Yes,51721110,96936943
SM,Yes,51721111,96936944
SM,Yes,51721112,96936945
SP,No ,51720973,96936669
SP-SM,Yes,51720973,96936670
SP,No ,51720974,96936671
SP-SM,Yes,51720974,96936672
SP,No ,51720975,96936673
SP-SM,Yes,51720975,96936674
SP,No ,51720976,96936675
SP-SM,Yes,51720976,96936676
SP,No ,51720977,96936677
SP-SM,Yes,51720977,96936678
SP,No ,51720978,96936679
SP-SM,Yes,51720978,96936680
SP,No ,51720979,96936681
SP-SM,Yes,51720979,96936682
SW,No ,51720979,96936683
SP-SM,Yes,51720980,96936684
SP-SM,Yes,51720981,96936685
SP,No ,51720982,96936686
SP-SM,Yes,51720982,96936687
SW,No ,51720982,96936688
PT,Yes,51720879,96936461
PT,Yes,51720880,96936462
SM,Yes,51720881,96936463
SP-SM,Yes,51720908,96936528
SP-SM,Yes,51720909,96936529
SP-SM,Yes,51720910,96936530
SP-SM,Yes,51720911,96936531
SM,Yes,51721017,96936764
SM,Yes,51721018,96936765
SM,Yes,51721019,96936766
SC-SM,No ,51721019,96936767
SM,Yes,51721020,96936768
SP-SM,No ,51721020,96936769
SM,No ,51721021,96936770
SC-SM,No ,51721021,96936771
SC,Yes,51721021,96936772
SM,Yes,51721022,96936773
SM,Yes,51721023,96936774
SM,Yes,51721024,96936775
SM,Yes,51721025,96936776
SM,Yes,51721026,96936777
SP-SM,No ,51721026,96936778
SW-SM,No ,51721026,96936779
CL,Yes,51721113,96936946
CH,No ,51721113,96936947
SC-SM,Yes,51721114,96936948
ML,No ,51721114,96936949
SM,No ,51721114,96936950
SM,No ,51721115,96936951
SC-SM,Yes,51721115,96936952
SC,Yes,51721116,96936953
CL,No ,51721116,96936954
SC-SM,Yes,51721117,96936955
SM,No ,51721117,96936956
SM,No ,51721118,96936957
SC-SM,Yes,51721118,96936958
SC,No ,51721118,96936959
CL,No ,51721119,96936960
CL-ML,No ,51721119,96936961
SC-SM,No ,51721119,96936962
SC,Yes,51721119,96936963
SC-SM,Yes,51721120,96936964
SM,No ,51721120,96936965
SC-SM,No ,51721121,96936966
SC,Yes,51721121,96936967
CL,No ,51721121,96936968
SM,No ,51721122,96936969
SC-SM,Yes,51721122,96936970
SC,No ,51721122,96936971
SC-SM,No ,51721123,96936972
CL-ML,No ,51721123,96936973
SC,Yes,51721123,96936974
SC-SM,No ,51721124,96936975
CL-ML,No ,51721124,96936976
SC,Yes,51721124,96936977
SC-SM,Yes,51721125,96936978
SM,No ,51721125,96936979
SM,Yes,51720955,96936639
SM,Yes,51720956,96936640
CL,No ,51720957,96936641
SC,Yes,51720957,96936642
SC-SM,No ,51720957,96936643
SM,Yes,51720958,96936644
SM,Yes,51720959,96936645
SM,Yes,51720960,96936646
SM,Yes,51720961,96936647
SM,Yes,51720962,96936648
SM,Yes,51720963,96936649
CL,No ,51720964,96936650
SC,Yes,51720964,96936651
SC-SM,No ,51720964,96936652
SM,No ,51720882,96936464
SC-SM,Yes,51720882,96936465
SC,No ,51720882,96936466
SM,No ,51720883,96936467
SC-SM,Yes,51720883,96936468
SC,No ,51720883,96936469
SC-SM,No ,51720884,96936470
SC,Yes,51720884,96936471
CL,No ,51720884,96936472
SM,Yes,51720885,96936473
SW-SM,No ,51720885,96936474
SC-SM,No ,51720885,96936475
SM,No ,51720886,96936476
SC-SM,No ,51720886,96936477
SC,Yes,51720886,96936478
ML,No ,51720886,96936479
CL,No ,51720886,96936480
SM,Yes,51720887,96936481
SW-SM,No ,51720887,96936482
SC-SM,No ,51720887,96936483
SC-SM,Yes,51720888,96936484
SC,No ,51720888,96936485
SM,No ,51720888,96936486
SM,No ,51720889,96936487
SC-SM,Yes,51720889,96936488
CL-ML,No ,51720889,96936489
ML,No ,51720889,96936490
CL,No ,51720889,96936491
SC,No ,51720889,96936492
SP-SM,Yes,51721044,96936812
SP-SM,Yes,51721045,96936813
SP-SM,Yes,51721046,96936814
SM,Yes,51721047,96936815
SM,No ,51721048,96936816
SP-SM,Yes,51721048,96936817
SM,No ,51721049,96936818
SP-SM,Yes,51721049,96936819
SM,No ,51721050,96936820
SP-SM,Yes,51721050,96936821
SM,No ,51721051,96936822
SP-SM,Yes,51721051,96936823
SM,No ,51721052,96936824
SP-SM,Yes,51721052,96936825
SM,Yes,51721053,96936826
SP-SM,No ,51721053,96936827
SM,Yes,51721054,96936828
SP-SM,No ,51721054,96936829
SP,Yes,51721055,96936830
SP-SM,No ,51721055,96936831
PT,Yes,51720929,96936567
SM,No ,51720912,96936532
SP-SM,Yes,51720912,96936533
SM,No ,51720913,96936534
SP-SM,Yes,51720913,96936535
SM,Yes,51720914,96936536
SM,No ,51720915,96936537
SP-SM,Yes,51720915,96936538
SM,No ,51720916,96936539
SP-SM,Yes,51720916,96936540
SM,Yes,51720917,96936541
SP-SM,No ,51720917,96936542
SM,Yes,51720918,96936543
SP-SM,No ,51720918,96936544
SP,Yes,51720919,96936545
SP-SM,No ,51720919,96936546
SM,No ,51720947,96936605
SC-SM,Yes,51720947,96936606
SC,No ,51720947,96936607
SC-SM,Yes,51720948,96936608
CL-ML,No ,51720948,96936609
ML,No ,51720948,96936610
