cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,cropprodindex,vasoiprdgrp,cokey,cocropyldkey
Common bermudagrass,Tons,NA,3.7,NA,NA,NA,NA,NA,NA,17728571,36569804
Corn,Bu,NA,55,NA,NA,NA,NA,NA,NA,17728571,36569805
Cotton lint,Lbs,NA,436,NA,NA,NA,NA,NA,NA,17728571,36569806
Flue-cured tobacco,Lbs,NA,1651,NA,NA,NA,NA,NA,NA,17728571,36569807
Soybeans,Bu,NA,23,NA,NA,NA,NA,NA,NA,17728571,36569808
Oats,Bu,NA,55,NA,NA,NA,NA,NA,NA,17728571,36569809
Peanuts,Lbs,NA,2018,NA,NA,NA,NA,NA,NA,17728571,36569810
Grain sorghum,Bu,NA,23,NA,NA,NA,NA,NA,NA,17728571,36569811
Wheat,Bu,NA,32,NA,NA,NA,NA,NA,NA,17728571,36569812
Improved bermudagrass,Tons,NA,4.9,NA,NA,NA,NA,NA,NA,17728571,36569813
Corn,Bu,NA,68,NA,NA,NA,NA,NA,NA,17728573,36569814
Cotton lint,Lbs,NA,632,NA,NA,NA,NA,NA,NA,17728573,36569815
Tall fescue hay,Tons,NA,2.3,NA,NA,NA,NA,NA,NA,17728573,36569816
Flue-cured tobacco,Lbs,NA,2166,NA,NA,NA,NA,NA,NA,17728573,36569817
Soybeans,Bu,NA,32,NA,NA,NA,NA,NA,NA,17728573,36569818
Improved bermudagrass,Tons,NA,4.8,NA,NA,NA,NA,NA,NA,17728573,36569819
Oats,Bu,NA,61,NA,NA,NA,NA,NA,NA,17728573,36569820
Peanuts,Lbs,NA,1805,NA,NA,NA,NA,NA,NA,17728573,36569821
Rye,Bu,NA,36,NA,NA,NA,NA,NA,NA,17728573,36569822
Grain sorghum,Bu,NA,32,NA,NA,NA,NA,NA,NA,17728573,36569823
Wheat,Bu,NA,36,NA,NA,NA,NA,NA,NA,17728573,36569824
Common bermudagrass,Tons,NA,4,NA,NA,NA,NA,NA,NA,17728573,36569825
Common bermudagrass,Tons,NA,3.7,NA,NA,NA,NA,NA,NA,17728540,36569701
Corn,Bu,NA,58,NA,NA,NA,NA,NA,NA,17728540,36569702
Cotton lint,Lbs,NA,461,NA,NA,NA,NA,NA,NA,17728540,36569703
Flue-cured tobacco,Lbs,NA,1748,NA,NA,NA,NA,NA,NA,17728540,36569704
Soybeans,Bu,NA,24,NA,NA,NA,NA,NA,NA,17728540,36569705
Oats,Bu,NA,58,NA,NA,NA,NA,NA,NA,17728540,36569706
Peanuts,Lbs,NA,2137,NA,NA,NA,NA,NA,NA,17728540,36569707
Grain sorghum,Bu,NA,24,NA,NA,NA,NA,NA,NA,17728540,36569708
Wheat,Bu,NA,34,NA,NA,NA,NA,NA,NA,17728540,36569709
Improved bermudagrass,Tons,NA,4.9,NA,NA,NA,NA,NA,NA,17728540,36569710
Watermelons,Tons,NA,12,NA,NA,NA,NA,NA,NA,17728550,36569737
