featkind,featdept.l,featdept.r,featdept.h,featdepb.l,featdepb.r,featdepb.h,featthick.l,featthick.r,featthick.h,cokey,codiagfeatkey
Ochric epipedon,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728552,8650892
Sapric soil materials,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728552,8650893
Histic epipedon,0,0,0,41,71,130,41,71,130,17728600,8650906
Umbric epipedon,0,0,0,18,36,46,18,36,46,17728601,8650907
Argillic horizon,25,58,114,122,152,203,30,94,152,17728601,8650908
Aquic conditions,0,0,10,10,203,203,10,203,203,17728602,8650909
Umbric epipedon,0,0,0,0,30,38,18,30,38,17728602,8650910
Ochric epipedon,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728562,8650895
Ochric epipedon,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728563,8650896
Ochric epipedon,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728541,8650891
Ochric epipedon,0,0,0,8,36,48,8,36,48,17728603,8650911
Argillic horizon,8,36,48,152,165,210,104,129,202,17728603,8650912
Ochric epipedon,0,0,0,13,36,38,13,36,38,17728604,8650913
Argillic horizon,13,36,38,25,160,208,30,124,185,17728604,8650914
Argillic horizon,8,38,51,110,254,255,102,216,216,17728605,8650915
Kandic horizon,8,38,51,110,254,255,102,216,216,17728605,8650916
Argillic horizon,13,36,38,25,160,208,30,124,185,17728607,8650919
Ochric epipedon,0,0,0,13,36,38,13,36,38,17728607,8650920
Aquic conditions,NA,0,NA,NA,203,NA,NA,203,NA,17728608,8650921
Ochric epipedon,NA,0,NA,NA,41,NA,NA,41,NA,17728608,8650922
Argillic horizon,NA,41,NA,NA,104,NA,NA,63,NA,17728608,8650923
Argillic horizon,NA,33,NA,NA,114,NA,NA,81,NA,17728609,8650924
Ochric epipedon,NA,0,NA,NA,15,NA,NA,15,NA,17728609,8650925
Aquic conditions,NA,0,NA,NA,203,NA,NA,203,NA,17728610,8650926
Argillic horizon,NA,41,NA,NA,104,NA,NA,63,NA,17728610,8650927
Ochric epipedon,NA,0,NA,NA,41,NA,NA,41,NA,17728610,8650928
Aquic conditions,0,0,0,0,13,203,0,13,203,17728579,8650897
Argillic horizon,13,41,46,104,104,191,63,63,168,17728579,8650898
Ochric epipedon,0,0,0,13,41,46,13,41,46,17728579,8650899
Argillic horizon,4,46,66,152,203,204,91,157,200,17728580,8650900
Umbric epipedon,0,0,0,25,46,50,25,46,50,17728580,8650901
Aquic conditions,0,0,0,0,13,203,0,13,203,17728581,8650902
Argillic horizon,13,41,46,104,104,191,63,63,168,17728581,8650903
Ochric epipedon,0,0,0,13,41,46,13,41,46,17728581,8650904
Ochric epipedon,0,0,0,8,36,48,8,36,48,17728606,8650917
Argillic horizon,8,36,48,152,165,210,104,129,202,17728606,8650918
Ochric epipedon,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728558,8650894
Ochric epipedon,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728588,8650905
