plantsym,plantsciname,plantcomname,forestunprod,rangeprod,cokey,coeplantskey
GAYLU,Gaylussacia,huckleberry,NA,NA,17728571,74764262
OXAR,Oxydendrum arboreum,sourwood,NA,NA,17728571,74764263
PAQU2,Parthenocissus quinquefolia,Virginia creeper,NA,NA,17728571,74764264
CAAM2,Callicarpa americana,American beautyberry,NA,NA,17728571,74764265
ILOP,Ilex opaca,American holly,NA,NA,17728571,74764266
MOCE2,Morella cerifera,wax myrtle,NA,NA,17728571,74764267
QUMA3,Quercus marilandica,blackjack oak,NA,NA,17728571,74764268
SAAL5,Sassafras albidum,sassafras,NA,NA,17728571,74764269
ARIST,Aristida,threeawn,NA,NA,17728571,74764270
COFL2,Cornus florida,flowering dogwood,NA,NA,17728571,74764271
DIVI5,Diospyros virginiana,common persimmon,NA,NA,17728571,74764272
VITIS,Vitis,grape,NA,NA,17728571,74764273
QULA2,Quercus laevis,turkey oak,NA,NA,17728571,74764274
TRFL2,Tridens flavus,purpletop tridens,NA,NA,17728573,74764275
COFL2,Cornus florida,flowering dogwood,NA,NA,17728573,74764276
ANVI2,Andropogon virginicus,broomsedge bluestem,NA,NA,17728573,74764277
SONU2,Sorghastrum nutans,yellow Indiangrass,NA,NA,17728573,74764278
ANGE,Andropogon gerardii,big bluestem,NA,NA,17728573,74764279
LONIC,Lonicera,honeysuckle,NA,NA,17728573,74764280
PANIC,Panicum,panicum,NA,NA,17728573,74764281
SCSC,Schizachyrium scoparium,little bluestem,NA,NA,17728573,74764282
ANGYG,Andropogon gyrans var. gyrans,Elliott's bluestem,NA,NA,17728573,74764283
UNIOL,Uniola,uniola,NA,NA,17728573,74764284
ARGIT8,Arundinaria gigantea ssp. tecta,switchcane,NA,NA,17728537,74763942
MOCE2,Morella cerifera,wax myrtle,NA,NA,17728537,74763943
VACCI,Vaccinium,blueberry,NA,NA,17728537,74763944
GAYLU,Gaylussacia,huckleberry,NA,NA,17728537,74763945
GOLA,Gordonia lasianthus,loblolly bay,NA,NA,17728537,74763946
PAQU2,Parthenocissus quinquefolia,Virginia creeper,NA,NA,17728537,74763947
ILGL,Ilex glabra,inkberry,NA,NA,17728537,74763948
LYLU3,Lyonia lucida,fetterbush lyonia,NA,NA,17728537,74763949
MYRCI,Myrcia,bayberry,NA,NA,17728537,74763950
OSCI,Osmunda cinnamomea,cinnamon fern,NA,NA,17728537,74763951
PEBO,Persea borbonia,redbay,NA,NA,17728537,74763952
SMILA2,Smilax,greenbrier,NA,NA,17728537,74763953
SYMPL2,Symplocos,sweetleaf,NA,NA,17728537,74763954
ZENOB,Zenobia,honeycup,NA,NA,17728537,74763955
CLAL3,Clethra alnifolia,coastal sweetpepperbush,NA,NA,17728537,74763956
CYRA,Cyrilla racemiflora,swamp titi,NA,NA,17728537,74763957
ILCO,Ilex coriacea,large gallberry,NA,NA,17728537,74763958
CYRA,Cyrilla racemiflora,swamp titi,NA,NA,17728538,74763959
ILCO,Ilex coriacea,large gallberry,NA,NA,17728538,74763960
MAVI2,Magnolia virginiana,sweetbay,NA,NA,17728538,74763961
WOVI,Woodwardia virginica,Virginia chainfern,NA,NA,17728538,74763962
CAREX,Carex,sedge,NA,NA,17728538,74763963
DROSE,Drosera,sundew,NA,NA,17728538,74763964
ILGL,Ilex glabra,inkberry,NA,NA,17728538,74763965
LYLU3,Lyonia lucida,fetterbush lyonia,NA,NA,17728538,74763966
PEBO,Persea borbonia,redbay,NA,NA,17728538,74763967
SMILA2,Smilax,greenbrier,NA,NA,17728538,74763968
