geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landform,marine terraces,,1,NA,Yes,17728571,26873966
Landscape,coastal plains,,NA,NA,Yes,17728571,26873967
Landform,ridges,low,NA,1,Yes,17728571,26873968
Landform,flood plains,,NA,NA,Yes,17728572,26873969
Landscape,coastal plains,,NA,NA,Yes,17728572,26873970
Landform,marine terraces,,1,NA,Yes,17728573,26873971
Landscape,coastal plains,,NA,NA,Yes,17728573,26873972
Landform,ridges,low,NA,1,Yes,17728573,26873973
Landform,tidal marshes,,NA,NA,Yes,17728619,26873974
Landscape,esturaries,,NA,NA,Yes,17728619,26873975
Landscape,coastal plains,,NA,NA,Yes,17728537,26873981
Landform,stream terraces,,2,NA,No ,17728537,26873980
Landform,marine terraces,,1,NA,Yes,17728537,26873979
Landform,depressions,,NA,2,Yes,17728537,26873978
Landform,Carolina Bays,,NA,1,No ,17728537,26873977
Landform,flats,,NA,1,Yes,17728537,26873976
Landscape,coastal plains,,NA,NA,Yes,17728538,26873985
Landform,marine terraces,,1,NA,Yes,17728538,26873984
Landform,flats,,NA,1,No ,17728538,26873983
Landform,depressions,,NA,1,Yes,17728538,26873982
Landscape,coastal plains,,NA,NA,Yes,17728539,26873988
Landform,marine terraces,,1,NA,Yes,17728539,26873987
Landform,flats,,NA,1,Yes,17728539,26873986
Landform,ridges,low,NA,1,Yes,17728540,26873991
Landscape,coastal plains,,NA,NA,Yes,17728540,26873990
Landform,marine terraces,,1,NA,Yes,17728540,26873989
Landform,flats,,NA,1,Yes,17728574,26873992
Landform,marine terraces,,1,NA,Yes,17728574,26873993
Landscape,coastal plains,,NA,NA,Yes,17728574,26873994
Landform,flood plains,,NA,NA,Yes,17728549,26873995
Landscape,coastal plains,,NA,NA,Yes,17728549,26873996
Landform,flats,,NA,1,Yes,17728550,26873997
Landform,marine terraces,,1,NA,Yes,17728550,26873998
Landscape,coastal plains,,NA,NA,Yes,17728550,26873999
Landform,ridges,low,NA,1,Yes,17728550,26874000
Landform,flats,,NA,1,Yes,17728551,26874001
Landform,marine terraces,,1,NA,Yes,17728551,26874002
Landscape,coastal plains,,NA,NA,Yes,17728551,26874003
Landform,marine terraces,,1,NA,Yes,17728599,26874004
Landscape,coastal plains,,NA,NA,Yes,17728599,26874005
Landform,ridges,low,NA,1,Yes,17728599,26874006
Anthropogenic Feature,leveled land,,NA,NA,Yes,17728599,26874007
Anthropogenic Feature,scalped areas,,NA,NA,Yes,17728599,26874008
Landform,tidal flats,,NA,NA,Yes,17728595,26874009
Landscape,esturaries,,NA,NA,Yes,17728595,26874010
Landform,flood plains,,NA,NA,Yes,17728552,26874011
Landscape,coastal plains,,NA,NA,Yes,17728552,26874012
Landform,pocosins,,NA,NA,Yes,17728600,26874214
Landscape,coastal plains,,NA,NA,Yes,17728600,26874215
Landform,flats,broad,NA,NA,Yes,17728600,26874216
Landform,Carolina Bays,,NA,NA,Yes,17728600,26874217
Landform,bays (geom.),,NA,NA,No ,17728600,26874218
Landscape,coastal plains,,NA,NA,Yes,17728601,26874219
Landform,flats,broad smooth,NA,1,Yes,17728601,26874220
Landform,broad interstream divides,,NA,1,Yes,17728601,26874221
Landform,marine terraces,,1,NA,Yes,17728601,26874222
Landform,depressions,,NA,NA,Yes,17728601,26874223
Landform,stream terraces,,2,NA,No ,17728602,26874224
Landscape,coastal plains,,NA,NA,Yes,17728602,26874225
Landform,marine terraces,,1,NA,No ,17728602,26874226
Landform,flats,broad,NA,3,Yes,17728602,26874227
Landform,depressions,,NA,2,Yes,17728602,26874228
Landform,Carolina Bays,,NA,1,No ,17728602,26874229
Landscape,uplands,,3,NA,Yes,17728602,26874230
Landform,tidal marshes,,NA,NA,Yes,17728561,26874013
Landscape,esturaries,,NA,NA,Yes,17728561,26874014
Landform,depressions,,NA,NA,Yes,17728562,26874015
Landscape,barrier islands,,NA,NA,Yes,17728562,26874016
Landform,barrier islands,,1,NA,Yes,17728563,26874017
Landform,troughs,,NA,1,Yes,17728563,26874018
Landscape,coastal plains,,NA,NA,Yes,17728563,26874019
