monthseq,month,flodfreqcl,floddurcl,pondfreqcl,ponddurcl,ponddep.l,ponddep.r,ponddep.h,dlyavgprecip.l,dlyavgprecip.r,dlyavgprecip.h,dlyavgpotet.l,dlyavgpotet.r,dlyavgpotet.h,cokey,comonthkey
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728571,185909279
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728571,185909280
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728571,185909281
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728571,185909282
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728571,185909283
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728571,185909284
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728571,185909285
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728571,185909286
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728571,185909287
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728571,185909288
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728571,185909289
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728571,185909290
1,January,Frequent,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728572,185909291
2,February,Frequent,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728572,185909292
3,March,Frequent,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728572,185909293
4,April,Frequent,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728572,185909294
5,May,Frequent,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728572,185909295
6,June,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728572,185909296
7,July,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728572,185909297
8,August,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728572,185909298
9,September,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728572,185909299
10,October,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728572,185909300
11,November,Frequent,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728572,185909301
12,December,Frequent,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728572,185909302
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728573,185909303
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728573,185909304
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728573,185909305
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728573,185909306
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17728573,185909307
