comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
NA,50,NA,Baymeade,Series,Yes,,,6,9,12,NA,NA,NA,Low,5,250,1,Class 1,,,,No,Well drained,7,25,50,200,0,160,"coastal plains, ridges on marine terraces",NA,0.3,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,3,s,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A,Moderate,Low,"Loamy, siliceous, semiactive, thermic Arenic Hapludults",Ultisols,Udults,Hapludults,Arenic Hapludults,loamy,,semiactive,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115527,17728571
NA,2,NA,Muckalee,Series,No ,,undrained,0,1,2,NA,NA,NA,Very high,5,56,5,None - deposition,Tree cover,Hardwoods,Wooded under natural conditions,Yes,Poorly drained,7,25,50,0,0,0,"coastal plains, flood plains",NA,0.23,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,5,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,B/D,Moderate,High,"Coarse-loamy, siliceous, superactive, nonacid, thermic Typic Fluvaquents",Entisols,Aquents,Fluvaquents,Typic Fluvaquents,coarse-loamy,,superactive,nonacid,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115527,17728572
NA,30,NA,Marvyn,Series,Yes,,,6,9,12,NA,NA,NA,Medium,5,134,2,Class 1,,,,No,Well drained,7,25,50,200,0,160,"coastal plains, ridges on marine terraces",NA,0.3,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,4,e,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,B,Moderate,Low,"Fine-loamy, kaolinitic, thermic Typic Kanhapludults",Ultisols,Udults,Kanhapludults,Typic Kanhapludults,fine-loamy,,not used,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115527,17728573
NA,85,NA,Bohicket,Series,Yes,,tidal,0,1,1,NA,NA,NA,Negligible,5,0,8,None - deposition,Grass/herbaceous cover,Marshland,Neither wooded nor farmable under natural conditions,Yes,Very poorly drained,0,0,1,0,0,0,"esturaries, tidal marshes",NA,0.3,NA,16,17,18,1067,1270,1473,NA,NA,NA,190,230,270,8,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,None,0,0,0,15,23,30,D,High,High,"Fine, mixed, superactive, nonacid, thermic Typic Sulfaquents",Entisols,Aquents,Sulfaquents,Typic Sulfaquents,fine,not used,superactive,nonacid,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115528,17728619
NA,2,NA,Torhunta,Series,No ,UNDRAINED,undrained,0,1,2,NA,NA,NA,Very high,3,86,3,None - deposition,Tree cover,Intermixed conifers and hardwoods,Wooded under natural conditions,Yes,Very poorly drained,7,25,50,0,0,0,"flats on marine terraces, Carolina Bays on marine terraces, depressions on stream terraces, coastal plains",NA,0.09,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,6,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A/D,High,High,"Coarse-loamy, siliceous, active, acid, thermic Typic Humaquepts",Inceptisols,Aquepts,Humaquepts,Typic Humaquepts,coarse-loamy,,active,acid,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115529,17728537
NA,2,NA,Murville,Series,No ,,undrained,0,1,2,NA,NA,NA,Negligible,5,250,1,None - deposition,Tree cover,Intermixed conifers and hardwoods,Wooded under natural conditions,Yes,Very poorly drained,7,25,50,0,0,0,"depressions on marine terraces, flats on marine terraces, coastal plains",NA,0.09,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,5,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A/D,High,Low,"Sandy, siliceous, thermic Umbric Endoaquods",Spodosols,Aquods,Endoaquods,Umbric Endoaquods,sandy,,not used,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115529,17728538
NA,2,NA,Leon,Series,No ,,,0,1,2,NA,NA,NA,Very high,5,220,1,Class 1,Grass/herbaceous cover,Conifers,Wooded under natural conditions,Yes,Poorly drained,7,25,50,200,0,160,"flats on marine terraces, coastal plains",NA,0.23,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,4,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A/D,High,Low,"Sandy, siliceous, thermic Aeric Alaquods",Spodosols,Aquods,Alaquods,Aeric Alaquods,sandy,,not used,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115529,17728539
NA,90,NA,Baymeade,Series,Yes,,,0,3,6,NA,NA,NA,Very low,5,250,1,Class 1,Tree cover,Intermixed conifers and hardwoods,,No,Well drained,7,25,50,200,0,160,"ridges on marine terraces, coastal plains",NA,0.3,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,3,s,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A,Moderate,Low,"Loamy, siliceous, semiactive, thermic Arenic Hapludults",Ultisols,Udults,Hapludults,Arenic Hapludults,loamy,not used,semiactive,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115529,17728540
NA,2,NA,Lynn Haven,Series,No ,,undrained,0,1,2,NA,NA,NA,Very high,5,220,1,None - deposition,Tree cover,Intermixed conifers and hardwoods,Wooded under natural conditions,Yes,Poorly drained,7,25,50,0,0,0,"flats on marine terraces, coastal plains",NA,0.09,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,4,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A/D,High,Low,"Sandy, siliceous, thermic Typic Alaquods",Spodosols,Aquods,Alaquods,Typic Alaquods,sandy,,not used,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115529,17728574
NA,2,NA,Muckalee,Series,No ,,undrained,0,1,2,NA,NA,NA,Very high,5,56,5,None - deposition,Tree cover,Hardwoods,Wooded under natural conditions,Yes,Poorly drained,7,25,50,0,0,0,"coastal plains, flood plains",NA,0.23,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,5,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,B/D,Moderate,High,"Coarse-loamy, siliceous, superactive, nonacid, thermic Typic Fluvaquents",Entisols,Aquents,Fluvaquents,Typic Fluvaquents,coarse-loamy,,superactive,nonacid,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115530,17728549
