pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
NA,Sandy,loamy and,Marine deposits,NA,12813359,17972776
NA,Loamy,sandy and,Alluvium,NA,12813370,17972792
NA,Clayey,loamy and,Marine deposits,NA,12813360,17972777
NA,Clayey,silty and,Fluviomarine deposits,NA,12813368,17972789
NA,Loamy,sandy and,Alluvium,NA,12813398,17972837
NA,,,Fluviomarine deposits,NA,12813398,17972838
NA,Sandy,,Fluviomarine deposits,NA,12813375,17972797
NA,,,Eolian sands,NA,12813375,17972798
NA,Sandy,,Fluviomarine deposits,NA,12813393,17972829
NA,,,Eolian sands,NA,12813393,17972830
NA,Sandy,loamy and,Marine deposits,NA,12813338,17972743
NA,Sandy,,Marine deposits,NA,12813374,17972796
NA,Loamy,sandy and,Alluvium,NA,12813371,17972793
NA,,,Eolian sands,NA,12813376,17972799
NA,Loamy,sandy and,Fluviomarine deposits,NA,12813376,17972800
NA,Sandy,,Fluviomarine deposits,NA,12813358,17972774
NA,,,Eolian sands,NA,12813358,17972775
NA,Loamy,,Mine spoil or earthy fill,NA,12813361,17972778
NA,,,Eolian sands,NA,12813366,17972786
NA,Sandy,,Fluviomarine deposits,NA,12813366,17972787
1,Silty,,Alluvium,NA,12813377,17972801
2,,,Herbaceous organic material,NA,12813377,17972802
2,,,Woody organic material,NA,12813377,17972803
2,Loamy,,Fluviomarine deposits,NA,12813399,17972839
1,,,Herbaceous organic material,NA,12813399,17972840
NA,Loamy,,Fluviomarine deposits,NA,12813401,17972842
NA,Loamy,sandy and,Fluviomarine deposits,NA,12813400,17972841
NA,Sandy,,Fluviomarine deposits,NA,12813383,17972811
NA,,,Eolian sands,NA,12813383,17972812
NA,,,Eolian sands,NA,12813382,17972809
NA,,,Beach sand,NA,12813382,17972810
NA,,,Eolian sands,NA,12813330,17972729
NA,,,Beach sand,NA,12813330,17972730
NA,,,Woody organic material,NA,12813378,17972804
NA,,,Eolian sands,NA,12813331,17972731
NA,,,Beach sand,NA,12813331,17972732
NA,Sandy,loamy and,Marine deposits,NA,12813339,17972744
NA,Loamy,,Marine deposits,NA,12813396,17972835
NA,Loamy,,Marine deposits,NA,12813411,17972852
NA,Loamy,,Marine deposits,NA,12813410,17972851
NA,Loamy,,Marine deposits,NA,12813412,17972853
1,Loamy,,Fluviomarine deposits,NA,12813340,17972745
2,Clayey,marly sandy and,Alluvium,NA,12813340,17972746
1,Loamy,,Fluviomarine deposits,NA,12813344,17972751
2,Clayey,marly sandy and,Alluvium,NA,12813344,17972752
1,Loamy,,Alluvium,NA,12813334,17972737
2,Sandy,,Alluvium,NA,12813334,17972738
1,Loamy,,Alluvium,NA,12813353,17972765
2,Sandy,,Alluvium,NA,12813353,17972766
NA,,,Eolian sands,NA,12813341,17972747
NA,Sandy,,Fluviomarine deposits,NA,12813341,17972748
NA,Sandy,,Fluviomarine deposits,NA,12813394,17972831
NA,,,Eolian sands,NA,12813394,17972832
NA,Sandy,,Fluviomarine deposits,NA,12813387,17972818
NA,,,Eolian sands,NA,12813387,17972819
