pmgroupname,rvindicator,cokey,copmgrpkey
loamy and sandy marine deposits,Yes,17728571,12813359
sandy and loamy alluvium,Yes,17728572,12813370
loamy and clayey marine deposits,Yes,17728573,12813360
silty and clayey fluviomarine deposits,Yes,17728619,12813368
sandy and loamy alluvium and/or fluviomarine deposits,Yes,17728537,12813398
sandy fluviomarine deposits and/or eolian sands,Yes,17728538,12813375
sandy fluviomarine deposits and/or eolian sands,Yes,17728539,12813393
loamy and sandy marine deposits,Yes,17728540,12813338
sandy marine deposits,Yes,17728574,12813374
sandy and loamy alluvium,Yes,17728549,12813371
sandy and loamy fluviomarine deposits and/or eolian sands,Yes,17728550,12813376
sandy fluviomarine deposits and/or eolian sands,Yes,17728551,12813358
loamy mine spoil or earthy fill,Yes,17728599,12813361
sandy fluviomarine deposits and/or eolian sands,Yes,17728595,12813366
silty alluvium over herbaceous organic material and/or woody organic material,Yes,17728552,12813377
herbaceous organic material over loamy fluviomarine deposits,Yes,17728600,12813399
loamy fluviomarine deposits,Yes,17728601,12813401
sandy and loamy fluviomarine deposits,Yes,17728602,12813400
sandy fluviomarine deposits and/or eolian sands,Yes,17728561,12813383
eolian sands and/or beach sand,Yes,17728562,12813382
eolian sands and/or beach sand,Yes,17728563,12813330
woody organic material,Yes,17728533,12813378
eolian sands and/or beach sand,Yes,17728541,12813331
loamy and sandy marine deposits,Yes,17728575,12813339
loamy marine deposits,Yes,17728576,12813396
loamy marine deposits,Yes,17728603,12813411
loamy marine deposits,Yes,17728604,12813410
loamy marine deposits,Yes,17728605,12813412
loamy fluviomarine deposits over marly sandy and clayey alluvium,Yes,17728555,12813340
loamy fluviomarine deposits over marly sandy and clayey alluvium,Yes,17728556,12813344
loamy alluvium over sandy alluvium,Yes,17728534,12813334
loamy alluvium over sandy alluvium,Yes,17728535,12813353
eolian sands and/or sandy fluviomarine deposits,Yes,17728582,12813341
sandy fluviomarine deposits and/or eolian sands,Yes,17728583,12813394
sandy fluviomarine deposits and/or eolian sands,Yes,17728584,12813387
thick herbaceous organic material over fluviomarine deposits,Yes,17728547,12813362
sandy fluviomarine deposits and/or eolian sands,Yes,17728542,12813369
sandy fluviomarine deposits and/or eolian sands,Yes,17728543,12813388
loamy alluvium over sandy alluvium,Yes,17728553,12813335
loamy alluvium over sandy alluvium,Yes,17728554,12813346
loamy marine deposits,Yes,17728607,12813405
loamy marine deposits,Yes,17728608,12813407
loamy marine deposits,Yes,17728609,12813404
loamy marine deposits,Yes,17728610,12813406
sandy fluviomarine deposits and/or eolian sands,Yes,17728592,12813363
sandy fluviomarine deposits and/or eolian sands,Yes,17728593,12813389
sandy fluviomarine deposits and/or eolian sands,Yes,17728594,12813395
sandy and loamy alluvium,Yes,17728585,12813342
sandy fluviomarine deposits and/or eolian sands,Yes,17728598,12813352
eolian sands and/or beach sand,Yes,17728577,12813364
beach sand,Yes,17728578,12813372
sandy dredge spoils,Yes,17728548,12813365
loamy marine deposits,Yes,17728544,12813397
loamy marine deposits,Yes,17728545,12813336
sandy and loamy alluvium,Yes,17728546,12813391
loamy marine deposits,Yes,17728566,12813386
loamy marine deposits,Yes,17728567,12813354
loamy and sandy marine deposits,Yes,17728568,12813349
eolian sands and/or sandy fluviomarine deposits,Yes,17728589,12813332
sandy fluviomarine deposits and/or eolian sands,Yes,17728590,12813390
loamy alluvium over sandy alluvium,Yes,17728611,12813384
sandy fluviomarine deposits and/or eolian sands,Yes,17728612,12813356
loamy marine deposits,Yes,17728565,12813343
loamy marine deposits,Yes,17728591,12813345
sandy fluviomarine deposits,Yes,17728536,12813337
loamy marine deposits,Yes,17728579,12813402
loamy marine deposits,Yes,17728580,12813409
loamy marine deposits,Yes,17728581,12813403
loamy marine deposits,Yes,17728606,12813408
sandy and loamy marine deposits and/or eolian sands,Yes,17728613,12813333
loamy marine deposits,Yes,17728614,12813373
sandy fluviomarine deposits and/or eolian sands,Yes,17728615,12813355
loamy alluvium over sandy alluvium,Yes,17728616,12813357
sandy and loamy alluvium and/or fluviomarine deposits,Yes,17728569,12813347
sandy and loamy alluvium and/or fluviomarine deposits,Yes,17728570,12813348
eolian sands and/or beach sand,Yes,17728558,12813329
sandy and loamy alluvium,Yes,17728559,12813380
sandy fluviomarine deposits and/or eolian sands,Yes,17728560,12813392
sandy fluviomarine deposits and/or eolian sands,Yes,17728587,12813379
eolian sands and/or beach sand,Yes,17728588,12813385
loamy marine deposits,Yes,17728617,12813350
loamy marine deposits,Yes,17728618,12813351
silty and clayey fluviomarine deposits,Yes,17728596,12813381
loamy and clayey dredge spoils,Yes,17728597,12813367
