wndbrkht.l,wndbrkht.r,wndbrkht.h,plantsym,plantsciname,plantcomname,cokey,copwindbreakkey
NA,12,NA,PITA,Pinus taeda,loblolly pine,17728574,95571427
NA,9,NA,PRCA,Prunus caroliniana,Carolina laurelcherry,17728574,95571428
NA,14,NA,PIEL,Pinus elliottii,slash pine,17728574,95571429
NA,8,NA,BAMBU,Bambusa,bamboo,17728574,95571430
NA,14,NA,JUVIS,Juniperus virginiana var. silicicola,southern redcedar,17728574,95571431
NA,12,NA,JUVIS,Juniperus virginiana var. silicicola,southern redcedar,17728550,95571422
NA,14,NA,PIEL,Pinus elliottii,slash pine,17728550,95571423
NA,9,NA,PRCA,Prunus caroliniana,Carolina laurelcherry,17728550,95571424
NA,21,NA,EUCAL,Eucalyptus,eucalyptus,17728550,95571425
NA,14,NA,PITA,Pinus taeda,loblolly pine,17728550,95571426
NA,8,NA,BAMBU,Bambusa,bamboo,17728592,95571432
NA,12,NA,PIEL,Pinus elliottii,slash pine,17728592,95571433
NA,9,NA,PRCA,Prunus caroliniana,Carolina laurelcherry,17728592,95571434
