soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,122,122,152,Moist,185909279,115419987
122,122,152,203,203,203,Wet,185909279,115419988
0,0,0,122,122,152,Moist,185909280,115419989
122,122,152,203,203,203,Wet,185909280,115419990
0,0,0,122,137,152,Moist,185909281,115419991
122,137,152,203,203,203,Wet,185909281,115419992
0,0,0,122,152,183,Moist,185909282,115419993
122,152,183,203,203,203,Wet,185909282,115419994
0,0,0,203,203,203,Moist,185909283,115419995
0,0,0,203,203,203,Moist,185909284,115419996
0,0,0,203,203,203,Moist,185909285,115419997
0,0,0,203,203,203,Moist,185909286,115419998
0,0,0,203,203,203,Moist,185909287,115419999
0,0,0,122,152,183,Moist,185909288,115420000
122,152,183,203,203,203,Wet,185909288,115420001
0,0,0,122,137,152,Moist,185909289,115420002
122,137,152,203,203,203,Wet,185909289,115420003
0,0,0,122,122,152,Moist,185909290,115420004
122,122,152,203,203,203,Wet,185909290,115420005
0,0,0,15,23,30,Moist,185909291,115420006
15,23,30,203,203,203,Wet,185909291,115420007
0,0,0,15,23,30,Moist,185909292,115420008
15,23,30,203,203,203,Wet,185909292,115420009
0,0,0,15,23,30,Moist,185909293,115420010
15,23,30,203,203,203,Wet,185909293,115420011
0,0,0,30,46,76,Moist,185909294,115420012
30,46,76,203,203,203,Wet,185909294,115420013
0,0,0,46,81,122,Moist,185909295,115420014
46,81,122,203,203,203,Wet,185909295,115420015
0,0,0,122,137,152,Moist,185909296,115420016
122,137,152,203,203,203,Wet,185909296,115420017
0,0,0,203,203,203,Moist,185909297,115420018
0,0,0,203,203,203,Moist,185909298,115420019
0,0,0,203,203,203,Moist,185909299,115420020
0,0,0,122,137,152,Moist,185909300,115420021
122,137,152,203,203,203,Wet,185909300,115420022
0,0,0,15,30,46,Moist,185909301,115420023
15,30,46,203,203,203,Wet,185909301,115420024
0,0,0,15,23,30,Moist,185909302,115420025
15,23,30,203,203,203,Wet,185909302,115420026
0,0,0,203,203,203,Moist,185909303,115420027
0,0,0,203,203,203,Moist,185909304,115420028
0,0,0,203,203,203,Moist,185909305,115420029
0,0,0,203,203,203,Moist,185909306,115420030
0,0,0,203,203,203,Moist,185909307,115420031
0,0,0,203,203,203,Moist,185909308,115420032
0,0,0,203,203,203,Moist,185909309,115420033
0,0,0,203,203,203,Moist,185909310,115420034
0,0,0,203,203,203,Moist,185909311,115420035
0,0,0,203,203,203,Moist,185909312,115420036
0,0,0,203,203,203,Moist,185909313,115420037
0,0,0,203,203,203,Moist,185909314,115420038
0,0,0,203,203,203,Wet,185909867,115420924
0,0,0,203,203,203,Wet,185909868,115420925
0,0,0,203,203,203,Wet,185909869,115420926
0,0,0,203,203,203,Wet,185909870,115420927
0,0,0,203,203,203,Wet,185909871,115420928
0,0,0,203,203,203,Wet,185909872,115420929
0,0,0,203,203,203,Wet,185909873,115420930
0,0,0,203,203,203,Wet,185909874,115420931
0,0,0,203,203,203,Wet,185909875,115420932
0,0,0,203,203,203,Wet,185909876,115420933
0,0,0,203,203,203,Wet,185909877,115420934
0,0,0,203,203,203,Wet,185909878,115420935
0,0,30,203,203,203,Wet,185908871,115419328
0,0,0,0,0,30,Moist,185908871,115419329
0,0,30,203,203,203,Wet,185908872,115419330
0,0,0,0,0,30,Moist,185908872,115419331
0,0,0,0,15,30,Moist,185908873,115419332
0,15,30,203,203,203,Wet,185908873,115419333
0,0,0,0,15,30,Moist,185908874,115419334
0,15,30,203,203,203,Wet,185908874,115419335
0,0,0,30,46,76,Moist,185908875,115419336
30,46,76,203,203,203,Wet,185908875,115419337
0,0,0,46,81,122,Moist,185908876,115419338
46,81,122,203,203,203,Wet,185908876,115419339
0,0,0,122,137,152,Moist,185908877,115419340
122,137,152,203,203,203,Wet,185908877,115419341
0,0,0,203,203,203,Moist,185908878,115419342
0,0,0,203,203,203,Moist,185908879,115419343
0,0,0,122,137,152,Moist,185908880,115419344
122,137,152,203,203,203,Wet,185908880,115419345
0,0,0,30,46,76,Moist,185908881,115419346
30,46,76,203,203,203,Wet,185908881,115419347
0,0,0,0,15,30,Moist,185908882,115419348
0,15,30,203,203,203,Wet,185908882,115419349
0,0,0,203,203,203,Wet,185908883,115419350
0,0,0,203,203,203,Wet,185908885,115419351
0,0,0,203,203,203,Wet,185908886,115419352
0,0,0,203,203,203,Wet,185908887,115419353
0,0,0,203,203,203,Wet,185908890,115419354
0,0,0,203,203,203,Wet,185908891,115419355
0,0,0,203,203,203,Wet,185908892,115419356
0,0,0,0,15,30,Moist,185908895,115419357
0,15,30,203,203,203,Wet,185908895,115419358
0,0,0,0,15,30,Moist,185908896,115419359
0,15,30,203,203,203,Wet,185908896,115419360
0,0,0,0,15,30,Moist,185908897,115419361
0,15,30,203,203,203,Wet,185908897,115419362
0,0,0,0,15,30,Moist,185908898,115419363
0,15,30,203,203,203,Wet,185908898,115419364
0,0,0,15,30,46,Moist,185908899,115419365
15,30,46,203,203,203,Wet,185908899,115419366
0,0,0,203,203,203,Moist,185908900,115419367
0,0,0,203,203,203,Moist,185908901,115419368
0,0,0,203,203,203,Moist,185908902,115419369
0,0,0,203,203,203,Moist,185908903,115419370
0,0,0,122,137,152,Moist,185908904,115419371
122,137,152,203,203,203,Wet,185908904,115419372
0,0,0,30,46,122,Moist,185908905,115419373
30,46,122,203,203,203,Wet,185908905,115419374
0,0,0,0,15,30,Moist,185908906,115419375
0,15,30,203,203,203,Wet,185908906,115419376
0,0,0,122,122,152,Moist,185908907,115419377
122,122,152,203,203,203,Wet,185908907,115419378
0,0,0,122,122,152,Moist,185908908,115419379
122,122,152,203,203,203,Wet,185908908,115419380
0,0,0,122,137,152,Moist,185908909,115419381
122,137,152,203,203,203,Wet,185908909,115419382
0,0,0,122,152,183,Moist,185908910,115419383
122,152,183,203,203,203,Wet,185908910,115419384
0,0,0,203,203,203,Moist,185908911,115419385
0,0,0,203,203,203,Moist,185908912,115419386
0,0,0,203,203,203,Moist,185908913,115419387
0,0,0,203,203,203,Moist,185908914,115419388
0,0,0,203,203,203,Moist,185908915,115419389
0,0,0,122,152,183,Moist,185908916,115419390
122,152,183,203,203,203,Wet,185908916,115419391
0,0,0,122,137,152,Moist,185908917,115419392
122,137,152,203,203,203,Wet,185908917,115419393
0,0,0,122,122,152,Moist,185908918,115419394
122,122,152,203,203,203,Wet,185908918,115419395
0,0,0,0,8,15,Moist,185909315,115420039
0,8,15,203,203,203,Wet,185909315,115420040
0,0,0,0,8,15,Moist,185909316,115420041
0,8,15,203,203,203,Wet,185909316,115420042
0,0,0,0,8,15,Moist,185909317,115420043
0,8,15,203,203,203,Wet,185909317,115420044
0,0,0,0,15,30,Moist,185909318,115420045
0,15,30,203,203,203,Wet,185909318,115420046
0,0,0,15,30,46,Moist,185909319,115420047
15,30,46,203,203,203,Wet,185909319,115420048
0,0,0,203,203,203,Moist,185909320,115420049
0,0,0,203,203,203,Moist,185909321,115420050
0,0,0,203,203,203,Moist,185909322,115420051
0,0,0,203,203,203,Moist,185909323,115420052
0,0,0,122,137,152,Moist,185909324,115420053
122,137,152,203,203,203,Wet,185909324,115420054
0,0,0,30,46,76,Moist,185909325,115420055
30,46,76,203,203,203,Wet,185909325,115420056
0,0,0,0,8,15,Moist,185909326,115420057
0,8,15,203,203,203,Wet,185909326,115420058
0,0,0,15,23,30,Moist,185909015,115419564
15,23,30,203,203,203,Wet,185909015,115419565
0,0,0,15,23,30,Moist,185909016,115419566
15,23,30,203,203,203,Wet,185909016,115419567
0,0,0,15,23,30,Moist,185909017,115419568
15,23,30,203,203,203,Wet,185909017,115419569
0,0,0,30,46,76,Moist,185909018,115419570
30,46,76,203,203,203,Wet,185909018,115419571
0,0,0,46,81,122,Moist,185909019,115419572
46,81,122,203,203,203,Wet,185909019,115419573
0,0,0,122,137,152,Moist,185909020,115419574
122,137,152,203,203,203,Wet,185909020,115419575
0,0,0,203,203,203,Moist,185909021,115419576
0,0,0,203,203,203,Moist,185909022,115419577
0,0,0,203,203,203,Moist,185909023,115419578
0,0,0,122,137,152,Moist,185909024,115419579
122,137,152,203,203,203,Wet,185909024,115419580
0,0,0,15,30,46,Moist,185909025,115419581
15,30,46,203,203,203,Wet,185909025,115419582
0,0,0,15,23,30,Moist,185909026,115419583
