geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
NA,Crest,,,26873968,9889623
NA,Crest,,,26873973,9889624
NA,Crest,,,26873991,9889620
NA,Crest,,,26874000,9889621
NA,Crest,,,26874006,9889622
NA,Base Slope,,,26874018,9889619
NA,,Tread,,26874037,9889643
NA,Crest,,,26874046,9889625
NA,Side Slope,,,26874086,9889628
NA,Side Slope,,,26874091,9889627
NA,Crest,,,26874100,9889626
NA,,Tread,,26874118,9889644
NA,Crest,,,26874169,9889617
NA,Crest,,,26874180,9889618
NA,,,Dip,26874197,9889647
NA,,,Talf,26874197,9889648
NA,,,Dip,26874198,9889651
NA,,,Talf,26874198,9889652
NA,,,Dip,26874200,9889649
NA,,,Talf,26874200,9889650
NA,,,Dip,26874201,9889645
NA,,,Talf,26874201,9889646
NA,,,Talf,26874202,9889632
NA,,,Talf,26874204,9889633
NA,,,Dip,26874205,9889655
NA,,,Talf,26874205,9889656
NA,,,Dip,26874206,9889657
NA,,,Talf,26874206,9889658
NA,,,Dip,26874207,9889659
NA,,,Talf,26874207,9889660
NA,,,Dip,26874209,9889653
NA,,,Talf,26874209,9889654
NA,,,Talf,26874210,9889630
NA,,,Talf,26874211,9889631
NA,,,Talf,26874213,9889629
NA,,,Talf,26874214,9889661
NA,,,Talf,26874220,9889667
NA,,,Talf,26874221,9889668
NA,,Tread,,26874222,9889669
NA,,,Dip,26874223,9889670
NA,,Tread,,26874224,9889666
NA,,Tread,,26874226,9889665
NA,,,Talf,26874227,9889662
NA,,,Dip,26874228,9889664
NA,,,Dip,26874229,9889663
NA,,,Talf,26874232,9889637
NA,,,Talf,26874233,9889638
NA,,,Talf,26874234,9889639
NA,,,Talf,26874235,9889636
NA,,,Talf,26874237,9889635
NA,,,Talf,26874238,9889634
NA,,,Talf,26874240,9889640
NA,,,Talf,26874241,9889641
NA,,,Talf,26874242,9889642
NA,,,Talf,26874243,9889674
NA,,,Talf,26874245,9889672
NA,,,Talf,26874246,9889673
NA,,,Dip,26874247,9889685
NA,,,Talf,26874247,9889686
NA,,,Dip,26874248,9889689
NA,,,Talf,26874248,9889690
NA,,,Dip,26874250,9889683
NA,,,Talf,26874250,9889684
NA,,,Dip,26874251,9889687
NA,,,Talf,26874251,9889688
NA,,Tread,,26874253,9889671
NA,,,Dip,26874254,9889677
NA,,,Talf,26874254,9889678
NA,,,Dip,26874255,9889681
NA,,,Talf,26874255,9889682
NA,,,Dip,26874257,9889675
NA,,,Talf,26874257,9889676
NA,,,Dip,26874258,9889679
NA,,,Talf,26874258,9889680
