hillslopeprof,cogeomdkey,cosurfmorhppkey
Shoulder,26873968,11126519
Shoulder,26873973,11126520
Shoulder,26873991,11126513
Summit,26873991,11126514
Shoulder,26874000,11126515
Summit,26874000,11126516
Shoulder,26874006,11126517
Summit,26874006,11126518
Backslope,26874018,11126509
Toeslope,26874018,11126510
Summit,26874043,11126511
Shoulder,26874046,11126521
Summit,26874046,11126522
Backslope,26874086,11126503
Shoulder,26874086,11126504
Backslope,26874091,11126501
Shoulder,26874091,11126502
Shoulder,26874100,11126523
Summit,26874100,11126524
Summit,26874106,11126500
Summit,26874140,11126512
Shoulder,26874169,11126505
Summit,26874169,11126506
Shoulder,26874180,11126507
Summit,26874180,11126508
