shapeacross,shapedown,cogeomdkey,cosurfmorsskey
Convex,Convex,26873968,15602599
Linear,Concave,26873969,15602621
Convex,Convex,26873973,15602600
Linear,Linear,26873974,15602590
Linear,Linear,26873976,15602646
Concave,Concave,26873982,15602625
Concave,Linear,26873986,15602641
Convex,Convex,26873991,15602596
Linear,Linear,26873992,15602635
Linear,Concave,26873995,15602622
Convex,Convex,26874000,15602597
Concave,Linear,26874001,15602614
Convex,Convex,26874006,15602598
Linear,Linear,26874009,15602589
Linear,Linear,26874011,15602591
Linear,Linear,26874013,15602583
Concave,Concave,26874015,15602612
Concave,Concave,26874018,15602607
Linear,Linear,26874020,15602592
Concave,Concave,26874022,15602613
Convex,Linear,26874024,15602586
Concave,Linear,26874028,15602644
Linear,Concave,26874033,15602631
Linear,Concave,26874035,15602594
Convex,Convex,26874037,15602632
Linear,Concave,26874039,15602637
Convex,Convex,26874046,15602601
Concave,Linear,26874047,15602642
Concave,Concave,26874050,15602647
Linear,Linear,26874054,15602593
Concave,Linear,26874056,15602615
Concave,Concave,26874059,15602648
Linear,Concave,26874063,15602639
Linear,Concave,26874066,15602638
Concave,Linear,26874069,15602608
Concave,Concave,26874072,15602649
Concave,Linear,26874076,15602643
Linear,Concave,26874079,15602623
Concave,Concave,26874081,15602626
Convex,Convex,26874086,15602604
Convex,Convex,26874091,15602603
Concave,Linear,26874092,15602645
Convex,Convex,26874100,15602602
Linear,Concave,26874101,15602651
Linear,Linear,26874103,15602636
Concave,Linear,26874108,15602627
Convex,Convex,26874113,15602587
Linear,Concave,26874117,15602609
Convex,Convex,26874118,15602610
Concave,Concave,26874120,15602650
Linear,Concave,26874124,15602640
Concave,Linear,26874127,15602616
Concave,Linear,26874130,15602634
Concave,Linear,26874134,15602633
Linear,Linear,26874140,15602588
Concave,Linear,26874144,15602628
Concave,Linear,26874149,15602617
Concave,Concave,26874152,15602611
Linear,Linear,26874154,15602620
Linear,Linear,26874160,15602619
Linear,Linear,26874166,15602595
Convex,Convex,26874169,15602605
Linear,Concave,26874170,15602624
Concave,Linear,26874172,15602664
Concave,Linear,26874176,15602618
Convex,Convex,26874180,15602606
Concave,Linear,26874183,15602630
Concave,Linear,26874188,15602629
Linear,Linear,26874193,15602585
Linear,Convex,26874195,15602584
Linear,Linear,26874197,15602666
Linear,Linear,26874198,15602668
Linear,Linear,26874200,15602667
Linear,Linear,26874201,15602665
Concave,Linear,26874202,15602676
Concave,Linear,26874204,15602677
Linear,Linear,26874205,15602670
Linear,Linear,26874206,15602671
Linear,Linear,26874207,15602672
Linear,Linear,26874209,15602669
Linear,Linear,26874210,15602674
Linear,Linear,26874211,15602675
Linear,Linear,26874213,15602673
Linear,Linear,26874214,15602652
Linear,Linear,26874216,15602662
Linear,Linear,26874218,15602663
Linear,Linear,26874220,15602658
Linear,Linear,26874221,15602659
Linear,Linear,26874222,15602660
Concave,Concave,26874223,15602661
Linear,Concave,26874224,15602657
Linear,Linear,26874226,15602656
Linear,Linear,26874227,15602653
Concave,Concave,26874228,15602655
Concave,Concave,26874229,15602654
Linear,Linear,26874232,15602681
Linear,Linear,26874233,15602682
Linear,Linear,26874234,15602683
Linear,Linear,26874235,15602680
Linear,Linear,26874237,15602679
Linear,Linear,26874238,15602678
Convex,Convex,26874240,15602684
Linear,Linear,26874241,15602685
Convex,Convex,26874242,15602686
Linear,Linear,26874243,15602690
Linear,Linear,26874245,15602688
Linear,Linear,26874246,15602689
Linear,Linear,26874247,15602696
Linear,Linear,26874248,15602698
Linear,Linear,26874250,15602695
Linear,Linear,26874251,15602697
Linear,Linear,26874253,15602687
Linear,Linear,26874254,15602692
Linear,Linear,26874255,15602694
Linear,Linear,26874257,15602691
Linear,Linear,26874258,15602693
