taxminalogy,cokey,cotaxfmminkey
siliceous,17728571,13929208
siliceous,17728572,13929245
kaolinitic,17728573,13929209
mixed,17728619,13929218
siliceous,17728537,13929267
siliceous,17728538,13929249
siliceous,17728539,13929262
siliceous,17728540,13929220
siliceous,17728574,13929248
siliceous,17728549,13929246
siliceous,17728550,13929235
siliceous,17728551,13929211
siliceous,17728599,13929210
mixed,17728595,13929216
mixed,17728552,13929236
siliceous,17728600,13929280
siliceous,17728601,13929282
siliceous,17728602,13929281
mixed,17728561,13929255
siliceous,17728562,13929254
not used,17728563,13929206
not used,17728533,13929237
siliceous,17728541,13929207
siliceous,17728575,13929221
siliceous,17728576,13929265
siliceous,17728603,13929278
siliceous,17728604,13929277
kaolinitic,17728605,13929279
siliceous,17728555,13929222
siliceous,17728556,13929226
siliceous,17728534,13929238
siliceous,17728535,13929241
not used,17728582,13929223
siliceous,17728583,13929263
siliceous,17728584,13929268
not used,17728547,13929229
siliceous,17728542,13929219
siliceous,17728543,13929269
siliceous,17728553,13929239
siliceous,17728554,13929228
siliceous,17728607,13929284
siliceous,17728608,13929286
siliceous,17728609,13929283
siliceous,17728610,13929285
siliceous,17728592,13929230
siliceous,17728593,13929270
siliceous,17728594,13929264
siliceous,17728585,13929224
siliceous,17728598,13929253
not used,17728577,13929231
not used,17728548,13929232
siliceous,17728544,13929266
kaolinitic,17728545,13929240
siliceous,17728546,13929272
siliceous,17728566,13929260
siliceous,17728567,13929242
siliceous,17728568,13929213
not used,17728589,13929233
siliceous,17728590,13929271
siliceous,17728611,13929212
siliceous,17728612,13929244
siliceous,17728565,13929225
siliceous,17728591,13929227
siliceous,17728579,13929273
siliceous,17728580,13929276
siliceous,17728581,13929274
siliceous,17728606,13929275
siliceous,17728613,13929234
siliceous,17728614,13929247
siliceous,17728615,13929243
siliceous,17728616,13929250
siliceous,17728569,13929251
siliceous,17728570,13929252
not used,17728558,13929205
siliceous,17728559,13929257
siliceous,17728560,13929261
siliceous,17728587,13929256
not used,17728588,13929259
siliceous,17728617,13929214
siliceous,17728618,13929215
mixed,17728596,13929258
mixed,17728597,13929217
