taxmoistcl,cokey,cotaxmckey
Udic,17728571,6695931
Aquic,17728572,6695934
Udic,17728573,6695932
Aquic,17728619,6695971
Aquic,17728537,6695979
Aquic,17728538,6695939
Aquic,17728539,6695974
Udic,17728540,6695943
Aquic,17728574,6695938
Aquic,17728549,6695935
Udic,17728550,6695942
Aquic,17728551,6695941
Udic,17728599,6695933
Aquic,17728595,6695969
Aquic,17728552,6695983
Aquic,17728600,6695988
Aquic,17728601,6695990
Aquic,17728602,6695989
Aquic,17728561,6695993
Aquic,17728562,6695992
Udic,17728563,6695925
Aquic,17728533,6695984
Aquic,17728541,6695926
Udic,17728575,6695944
Aquic,17728576,6695977
Aquic,17728603,6695929
Aquic,17728604,6695928
Udic,17728605,6695930
Aquic,17728555,6695945
Aquic,17728556,6695949
Udic,17728534,6695985
Aquic,17728535,6695952
Udic,17728582,6695946
Aquic,17728583,6695975
Aquic,17728584,6695997
Aquic,17728547,6695962
Aquic,17728542,6695958
Aquic,17728543,6695998
Aquic,17728553,6695986
Aquic,17728554,6695951
Aquic,17728607,6696004
Aquic,17728608,6696006
Aquic,17728609,6696003
Aquic,17728610,6696005
Udic,17728592,6695963
Aquic,17728593,6695999
Aquic,17728594,6695976
Aquic,17728585,6695947
Aquic,17728598,6695961
Udic,17728577,6695964
Aquic,17728578,6695936
Udic,17728548,6695965
Aquic,17728544,6695978
Udic,17728545,6695987
Aquic,17728546,6695980
Aquic,17728566,6695982
Aquic,17728567,6695953
Udic,17728568,6695966
Udic,17728589,6695956
Aquic,17728590,6696000
Aquic,17728611,6695973
Aquic,17728612,6695955
Aquic,17728565,6695948
Aquic,17728591,6695950
Aquic,17728579,6696001
Aquic,17728580,6695927
Aquic,17728581,6696002
Aquic,17728606,6695991
Udic,17728613,6695957
Aquic,17728614,6695937
Aquic,17728615,6695954
Aquic,17728616,6695940
Aquic,17728569,6695959
Aquic,17728570,6695960
Udic,17728558,6695924
Aquic,17728559,6695995
Aquic,17728560,6695981
Aquic,17728587,6695994
Udic,17728588,6695972
Aquic,17728617,6695967
Aquic,17728618,6695968
Aquic,17728596,6695996
Udic,17728597,6695970
