recdate,comptextkind,textcat,textsubcat,text,cokey,cotextkey
08/14/2019 00:00:00,Nontechnical description,GENSOIL,generated,"The Baymeade component makes up 50 percent of the map unit. Slopes are 6 to 12 percent. This component is on low ridges on marine terraces, coastal plains. The parent material consists of loamy and sandy marine deposits. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is high. Available water to a depth of 60 inches (or restricted depth) is low.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 48 inches during January, February, December. Organic matter content in the surface horizon is about 1 percent.  Nonirrigated land capability classification is 3s.  This soil does not meet hydric criteria.   ",17728571,17699490
08/14/2019 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Muckalee, undrained soil is a minor component.",17728572,17699491
08/14/2019 00:00:00,Nontechnical description,GENSOIL,generated,"The Marvyn component makes up 30 percent of the map unit. Slopes are 6 to 12 percent. This component is on low ridges on marine terraces, coastal plains. The parent material consists of loamy and clayey marine deposits. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 1 percent.  Nonirrigated land capability classification is 4e.  This soil does not meet hydric criteria.   ",17728573,17699492
08/14/2019 00:00:00,Nontechnical description,GENSOIL,generated,"The Bohicket, tidal component makes up 85 percent of the map unit. Slopes are 0 to 1 percent. This component is on tidal marshes, esturaries. The parent material consists of silty and clayey fluviomarine deposits. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is very poorly drained.  Water movement in the most restrictive layer is low.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is moderate. This soil is very frequently flooded. It is frequently ponded. A seasonal zone of water saturation is at 0 inches during January, February, March, April, May, June, July, August, September, October, November, December. Organic matter content in the surface horizon is about 15 percent.  Nonirrigated land capability classification is 8w.  This soil meets hydric criteria. The calcium carbonate equivalent within 40 inches, typically, does not exceed 3 percent. The soil has a strongly saline horizon within 30 inches of the soil surface. The soil has a maximum sodium adsorption ratio of 50 within 30 inches of the soil surface.",17728619,17699538
08/14/2019 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Torhunta, undrained soil is a minor component.",17728537,17699456
08/14/2019 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Murville, undrained soil is a minor component.",17728538,17699457
08/14/2019 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Leon soil is a minor component.,17728539,17699458
08/14/2019 00:00:00,Nontechnical description,GENSOIL,generated,"The Baymeade component makes up 90 percent of the map unit. Slopes are 0 to 6 percent. This component is on low ridges on marine terraces, coastal plains. The parent material consists of loamy and sandy marine deposits. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is high. Available water to a depth of 60 inches (or restricted depth) is low.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 48 inches during January, February, December. Organic matter content in the surface horizon is about 1 percent.  Nonirrigated land capability classification is 3s.  This soil does not meet hydric criteria.   ",17728540,17699459
08/14/2019 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Lynn Haven, undrained soil is a minor component.",17728574,17699493
08/14/2019 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Muckalee, undrained soil is a minor component.",17728549,17699468
08/14/2019 00:00:00,Nontechnical description,GENSOIL,generated,"The Blanton component makes up 80 percent of the map unit. Slopes are 0 to 6 percent. This component is on flats on marine terraces, low ridges on marine terraces, coastal plains. The parent material consists of sandy and loamy fluviomarine deposits and/or eolian sands. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is high. Available water to a depth of 60 inches (or restricted depth) is low.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 48 inches during January, February. Organic matter content in the surface horizon is about 1 percent.  Nonirrigated land capability classification is 3s.  This soil does not meet hydric criteria.   ",17728550,17699469
08/14/2019 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Leon soil is a minor component.,17728551,17699470
