plantsym,plantsciname,plantcomname,cokey,cotreestomngkey
PIPA2,Pinus palustris,longleaf pine,17728571,30590875
PITA,Pinus taeda,loblolly pine,17728571,30590876
PITA,Pinus taeda,loblolly pine,17728573,30590877
PITA,Pinus taeda,loblolly pine,17728537,30590838
LIST2,Liquidambar styraciflua,sweetgum,17728537,30590839
PIPA2,Pinus palustris,longleaf pine,17728540,30590840
PITA,Pinus taeda,loblolly pine,17728540,30590841
PIPA2,Pinus palustris,longleaf pine,17728550,30590856
PITA,Pinus taeda,loblolly pine,17728550,30590857
PIPA2,Pinus palustris,longleaf pine,17728599,30590907
PITA,Pinus taeda,loblolly pine,17728599,30590908
FRPE,Fraxinus pennsylvanica,green ash,17728552,30590858
TADI2,Taxodium distichum,baldcypress,17728552,30590859
NYAQ2,Nyssa aquatica,water tupelo,17728552,30590860
TADI2,Taxodium distichum,baldcypress,17728600,30590909
NYAQ2,Nyssa aquatica,water tupelo,17728600,30590910
LIST2,Liquidambar styraciflua,sweetgum,17728600,30590911
LIST2,Liquidambar styraciflua,sweetgum,17728601,30590912
PITA,Pinus taeda,loblolly pine,17728601,30590913
TADI2,Taxodium distichum,baldcypress,17728533,30590834
NYBI,Nyssa biflora,swamp tupelo,17728533,30590835
NYAQ2,Nyssa aquatica,water tupelo,17728533,30590836
PITA,Pinus taeda,loblolly pine,17728575,30590878
PITA,Pinus taeda,loblolly pine,17728576,30590879
PLOC,Platanus occidentalis,American sycamore,17728576,30590880
QUNI,Quercus nigra,water oak,17728576,30590881
LIST2,Liquidambar styraciflua,sweetgum,17728576,30590882
NYAQ2,Nyssa aquatica,water tupelo,17728576,30590883
PITA,Pinus taeda,loblolly pine,17728603,30590914
PLOC,Platanus occidentalis,American sycamore,17728603,30590915
LIST2,Liquidambar styraciflua,sweetgum,17728603,30590916
PITA,Pinus taeda,loblolly pine,17728604,30590917
PITA,Pinus taeda,loblolly pine,17728605,30590918
PITA,Pinus taeda,loblolly pine,17728555,30590864
LIST2,Liquidambar styraciflua,sweetgum,17728555,30590865
PITA,Pinus taeda,loblolly pine,17728556,30590866
PITA,Pinus taeda,loblolly pine,17728534,30590837
PIPA2,Pinus palustris,longleaf pine,17728582,30590888
PITA,Pinus taeda,loblolly pine,17728582,30590889
PIPA2,Pinus palustris,longleaf pine,17728584,30590890
PITA,Pinus taeda,loblolly pine,17728584,30590891
PIPA2,Pinus palustris,longleaf pine,17728542,30590842
PIPA2,Pinus palustris,longleaf pine,17728543,30590843
PITA,Pinus taeda,loblolly pine,17728543,30590844
LIST2,Liquidambar styraciflua,sweetgum,17728553,30590861
PITA,Pinus taeda,loblolly pine,17728553,30590862
PITA,Pinus taeda,loblolly pine,17728554,30590863
PITA,Pinus taeda,loblolly pine,17728607,30590922
PITA,Pinus taeda,loblolly pine,17728609,30590923
PLOC,Platanus occidentalis,American sycamore,17728609,30590924
PIPA2,Pinus palustris,longleaf pine,17728609,30590925
