taxfamother,cokey,cotaxfokey
not used,17728571,12352168
not used,17728572,12352195
not used,17728573,12352169
not used,17728619,12352185
not used,17728537,12352205
not used,17728538,12352199
not used,17728539,12352200
not used,17728540,12352162
not used,17728574,12352198
not used,17728549,12352196
not used,17728550,12352159
not used,17728551,12352172
not used,17728599,12352170
not used,17728595,12352183
not used,17728552,12352160
not used,17728600,12352220
not used,17728601,12352222
not used,17728602,12352221
not used,17728561,12352174
not used,17728562,12352173
uncoated,17728563,12352151
not used,17728533,12352161
not used,17728541,12352152
not used,17728575,12352163
not used,17728576,12352203
not used,17728603,12352216
not used,17728604,12352215
not used,17728605,12352217
not used,17728555,12352164
not used,17728534,12352153
not used,17728535,12352191
uncoated,17728582,12352165
not used,17728583,12352201
not used,17728584,12352206
not used,17728547,12352179
not used,17728542,12352186
not used,17728543,12352207
not used,17728553,12352154
not used,17728607,12352224
not used,17728608,12352226
not used,17728609,12352223
not used,17728610,12352225
not used,17728592,12352180
not used,17728593,12352208
not used,17728594,12352202
not used,17728585,12352166
not used,17728598,12352188
uncoated,17728577,12352181
uncoated,17728548,12352182
not used,17728544,12352204
not used,17728545,12352155
not used,17728546,12352218
not used,17728566,12352219
not used,17728567,12352192
not used,17728568,12352189
coated,17728589,12352156
not used,17728590,12352209
not used,17728611,12352178
not used,17728612,12352194
not used,17728565,12352167
not used,17728579,12352211
not used,17728580,12352214
not used,17728581,12352212
not used,17728606,12352213
not used,17728613,12352157
not used,17728614,12352197
not used,17728615,12352193
not used,17728616,12352171
not used,17728569,12352187
coated,17728558,12352150
not used,17728559,12352176
not used,17728560,12352210
not used,17728587,12352175
coated,17728588,12352158
not used,17728617,12352190
not used,17728596,12352177
not used,17728597,12352184
