musym,muname,mukind,mustatus,muacres,mapunitlfw.l,mapunitlfw.r,mapunitlfw.h,mapunitpfa.l,mapunitpfa.r,mapunitpfa.h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
BDC,"Baymeade and Marvyn soils, 6 to 12 percent slopes",Undifferentiated group,NA,7098,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,10981,115527
BO,Bohicket silty clay loam,Undifferentiated group,NA,12405,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,10981,115528
BaB,"Baymeade fine sand, 1 to 6 percent slopes",Consociation,NA,54752,NA,NA,NA,NA,NA,NA,Farmland of statewide importance,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,10981,115529
BnB,"Blanton fine sand, 0 to 5 percent slopes",Consociation,NA,13872,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,10981,115530
BrB,"Bragg fine sandy loam, 2 to 6 percent slopes",Consociation,NA,1742,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,10981,115531
CA,Carteret loamy fine sand,Undifferentiated group,NA,1262,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,10981,115532
CH,Chowan silt loam,Undifferentiated group,NA,6430,NA,NA,NA,NA,NA,NA,Prime farmland if protected from flooding or not frequently flooded during the growing season,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,10981,115533
CT,"Croatan muck, ponded, 0 to 2 percent slopes",Consociation,NA,28479,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,10981,115534
Co,Corolla fine sand,Consociation,NA,1207,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,10981,115535
DO,Dorovan muck,Undifferentiated group,NA,14166,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,10981,115536
Du,Duckston fine sand,Consociation,NA,422,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,10981,115537
Fo,Foreston loamy fine sand,Consociation,NA,31452,NA,NA,NA,NA,NA,NA,Farmland of statewide importance,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,10981,115538
GoA,"Goldsboro fine sandy loam, 0 to 2 percent slopes",Consociation,NA,30480,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,10981,115539
Gt,Grifton fine sandy loam,Consociation,NA,3839,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,10981,115540
Jo,Johns fine sandy loam,Consociation,NA,2505,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,10981,115541
KrB,"Kureb fine sand, 1 to 8 percent slopes",Consociation,NA,15769,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,10981,115542
LA,Longshoal muck,Undifferentiated group,NA,2115,NA,NA,NA,NA,NA,NA,Not prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,10981,115543
