musym,muname,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,mukey
BDC,"Baymeade and Marvyn soils, 6 to 12 percent slopes",NA,9,8.8,NA,122,152,None,None,0,1.51,3.45,8.71,13.22,Well drained,Well drained,A,NA,82,3,50,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Somewhat limited,Very limited,Very limited,Very limited,Somewhat limited,Fair,Fair,Very limited,0.93,Moderate,2,0.75,115527
BO,Bohicket silty clay loam,NA,1,1,NA,0,0,Very frequent,Very frequent,85,1,2,4.57,16.07,Very poorly drained,Very poorly drained,D,NA,85,8,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Fair,Fair,Very limited,1,Slight,85,1,115528
BaB,"Baymeade fine sand, 1 to 6 percent slopes",NA,3,2.8,NA,122,152,None,None,2,1.1,2.26,6.35,9.64,Well drained,Well drained,A,NA,98,3,90,Not limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Not limited,Fair,Good,Very limited,1,Slight,8,1,115529
BnB,"Blanton fine sand, 0 to 5 percent slopes",NA,3,2.9,NA,122,152,None,None,0,1.3,2.61,5.2,9.13,Moderately well drained,Moderately well drained,A,NA,85,3,80,Not limited,Somewhat limited,Somewhat limited,Very limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Not limited,Fair,Good,Very limited,1,Slight,5,1,115530
BrB,"Bragg fine sandy loam, 2 to 6 percent slopes",NA,4,4,NA,NA,NA,None,None,0,2.25,5.5,12,18.5,Well drained,Well drained,C,NA,85,3,85,Not limited,Not limited,Not limited,Not limited,Very limited,Very limited,Very limited,Somewhat limited,Somewhat limited,Not limited,Fair,Fair,Somewhat limited,0.021,Moderate,0,0.497,115531
CA,Carteret loamy fine sand,NA,1,1,NA,15,15,Frequent,Frequent,0,1.5,3,6,9,Very poorly drained,Very poorly drained,A/D,NA,85,8,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Fair,Fair,Very limited,1,Slight,85,1,115532
CH,Chowan silt loam,NA,1,1,NA,15,30,Frequent,Frequent,0,5.05,9.8,20.54,32.04,Very poorly drained,Very poorly drained,A/D,NA,90,7,90,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Slight,90,1,115533
CT,"Croatan muck, ponded, 0 to 2 percent slopes",NA,1,1,NA,0,10,None,None,100,9.27,18.48,30.4,37.93,Very poorly drained,Very poorly drained,B/D,NA,100,7,92,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Fair,Fair,Very limited,1,Slight,100,1,115534
Co,Corolla fine sand,NA,2,1.9,NA,61,91,Rare,Rare,0,0.56,1.13,2.25,3.38,Moderately well drained,Moderately well drained,A,NA,92,7,90,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Good,Good,Very limited,1,Slight,7,1,115535
DO,Dorovan muck,NA,1,1,NA,0,0,Frequent,Frequent,80,5.75,11.5,23,34.5,Very poorly drained,Very poorly drained,B/D,NA,80,7,80,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Fair,Fair,Very limited,1,Slight,80,1,115536
Du,Duckston fine sand,NA,1,1,NA,8,8,Occasional,Occasional,0,1.25,2.5,5,7.5,Poorly drained,Poorly drained,A/D,NA,90,7,90,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Good,Good,Very limited,1,Slight,90,1,115537
Fo,Foreston loamy fine sand,NA,1,1,NA,61,91,None,None,0,2.07,4.71,10.27,15.34,Moderately well drained,Moderately well drained,B,NA,85,2,80,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Fair,Fair,Somewhat limited,0.714,Slight,5,1,115538
GoA,"Goldsboro fine sandy loam, 0 to 2 percent slopes",NA,1,1,NA,0,91,None,None,0,3.02,5.94,12.81,19.97,Moderately well drained,Moderately well drained,A/D,NA,100,2,87,Very limited,Very limited,Somewhat limited,Very limited,Very limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Fair,Fair,Very limited,0.928,Slight,0,0.984,115539
Gt,Grifton fine sandy loam,NA,1,1,NA,0,15,None,None,80,3,6.66,14.16,20.74,Poorly drained,Poorly drained,B/D,NA,90,6,80,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Fair,Fair,Very limited,1,Slight,90,1,115540
Jo,Johns fine sandy loam,NA,1,1,NA,61,76,None,None,5,3.21,6.58,12.25,15.75,Moderately well drained,Moderately well drained,C,NA,95,2,90,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Fair,Fair,Somewhat limited,0.068,Slight,5,1,115541
KrB,"Kureb fine sand, 1 to 8 percent slopes",NA,4,3.8,NA,NA,NA,None,None,2,0.86,1.66,3.27,4.91,Excessively drained,Excessively drained,A,NA,90,7,85,Not limited,Not limited,Not limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Not limited,Good,Good,Very limited,1,Slight,5,1,115542
LA,Longshoal muck,NA,1,1,NA,15,15,Very frequent,Very frequent,0,8.75,17.5,35,52.5,Very poorly drained,Very poorly drained,A/D,NA,90,8,90,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Slight,90,1,115543
Lo,Leon fine sand,NA,1,1,NA,15,15,None,None,5,1.8,3.38,6.9,10.33,Poorly drained,Poorly drained,A/D,NA,85,4,80,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Good,Good,Very limited,1,Slight,85,1,115544
Lu,Lumbee fine sandy loam,NA,1,1,NA,0,81,Rare,Rare,10,3.3,6.3,11.85,15.35,Poorly drained,Poorly drained,B/D,NA,90,3,80,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Fair,Fair,Very limited,1,Slight,90,1,115545
Ly,"Lynchburg fine sandy loam, 0 to 2 percent slopes, Atlantic Coast Flatwoods",NA,1,1,NA,15,15,None,None,0,2.96,5.66,10.6,14.93,Somewhat poorly drained,Somewhat poorly drained,B/D,NA,100,2,90,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Fair,Fair,Very limited,0.972,Slight,10,1,115546
Ma,Mandarin fine sand,NA,1,1,NA,46,91,None,None,2,1.34,2.61,7.51,11.9,Somewhat poorly drained,Somewhat poorly drained,B/D,NA,85,6,80,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Good,Good,Very limited,1,Slight,5,1,115547
Mk,Muckalee loam,NA,1,1,NA,15,23,Frequent,Frequent,0,3,6,11.22,16.22,Poorly drained,Poorly drained,B/D,NA,80,5,80,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Fair,Fair,Very limited,1,Slight,80,1,115548
Mu,Murville mucky fine sand,NA,1,1,NA,0,0,Rare,Rare,80,4.5,6.25,10.11,15.61,Very poorly drained,Very poorly drained,A/D,NA,80,5,80,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Fair,Fair,Very limited,1,Slight,80,1,115549
NeE,"Newhan fine sand, 2 to 30 percent slopes",NA,16,15.3,NA,NA,NA,Rare,Rare,0,0.76,1.53,3.06,4.58,Excessively drained,Excessively drained,A,NA,90,8,90,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Good,Good,Very limited,1,Severe,5,1,115550
NhE,"Newhan fine sand, dredged, 2 to 30 percent slopes",NA,16,16,NA,NA,NA,Rare,Rare,0,0.75,1.5,3,4.5,Excessively drained,Excessively drained,A,NA,85,8,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Good,Good,Very limited,1,Severe,0,1,115551
NoB,"Norfolk loamy fine sand, 2 to 6 percent slopes",NA,4,3.9,NA,122,152,None,None,0,2.29,5.25,12.22,19.25,Well drained,Well drained,A,NA,89,2,85,Not limited,Somewhat limited,Somewhat limited,Very limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Not limited,Fair,Fair,Somewhat limited,0.398,Moderate,4,0.639,115552
