areaovacres,lareaovkey,mukey,muareaovkey
7098,404287,115527,24011240
7098,404288,115527,24011241
6988,404289,115527,24011242
110,404290,115527,24011243
7098,404291,115527,24011244
7098,404292,115527,24011245
7098,404293,115527,24011246
7098,404294,115527,24011247
12405,404287,115528,24011248
12405,404288,115528,24011249
866,404289,115528,24011250
11539,404290,115528,24011251
12405,404291,115528,24011252
12405,404292,115528,24011253
12405,404293,115528,24011254
12405,404294,115528,24011255
54752,404287,115529,24011256
54752,404288,115529,24011257
51815,404289,115529,24011258
2937,404290,115529,24011259
54752,404291,115529,24011260
54752,404292,115529,24011261
54752,404293,115529,24011262
54752,404294,115529,24011263
13872,404287,115530,24011264
13872,404288,115530,24011265
12187,404289,115530,24011266
1685,404290,115530,24011267
13872,404291,115530,24011268
13872,404292,115530,24011269
13872,404293,115530,24011270
13872,404294,115530,24011271
1742,404287,115531,24011272
1742,404288,115531,24011273
1524,404289,115531,24011274
218,404290,115531,24011275
1742,404291,115531,24011276
1742,404292,115531,24011277
1742,404293,115531,24011278
1742,404294,115531,24011279
1262,404287,115532,24011280
1262,404288,115532,24011281
9,404289,115532,24011282
1253,404290,115532,24011283
1262,404291,115532,24011284
1262,404292,115532,24011285
1262,404293,115532,24011286
1262,404294,115532,24011287
6430,404287,115533,24011288
6430,404288,115533,24011289
6430,404289,115533,24011290
6430,404291,115533,24011291
6430,404292,115533,24011292
6430,404293,115533,24011293
6430,404294,115533,24011294
28479,404287,115534,24011526
28479,404288,115534,24011527
28479,404289,115534,24011528
28479,404291,115534,24011529
28479,404292,115534,24011530
28479,404293,115534,24011531
28479,404294,115534,24011532
1207,404287,115535,24011295
1207,404288,115535,24011296
1207,404290,115535,24011297
1207,404291,115535,24011298
1207,404292,115535,24011299
1207,404293,115535,24011300
1207,404294,115535,24011301
14166,404287,115536,24011302
14166,404288,115536,24011303
13982,404289,115536,24011304
184,404290,115536,24011305
14166,404291,115536,24011306
14166,404292,115536,24011307
14166,404293,115536,24011308
14166,404294,115536,24011309
422,404287,115537,24011310
422,404288,115537,24011311
422,404290,115537,24011312
422,404291,115537,24011313
422,404292,115537,24011314
422,404293,115537,24011315
422,404294,115537,24011316
31452,404287,115538,24011317
31452,404288,115538,24011318
31085,404289,115538,24011319
367,404290,115538,24011320
31452,404291,115538,24011321
31452,404292,115538,24011322
31452,404293,115538,24011323
31452,404294,115538,24011324
30480,404287,115539,24011533
30480,404288,115539,24011534
30478,404289,115539,24011535
2,404290,115539,24011536
30480,404291,115539,24011537
30480,404292,115539,24011538
30480,404293,115539,24011539
30480,404294,115539,24011540
3839,404287,115540,24011325
3839,404288,115540,24011326
3839,404289,115540,24011327
3839,404291,115540,24011328
3839,404292,115540,24011329
3839,404293,115540,24011330
3839,404294,115540,24011331
2505,404287,115541,24011332
2505,404288,115541,24011333
2505,404289,115541,24011334
2505,404291,115541,24011335
2505,404292,115541,24011336
2505,404293,115541,24011337
2505,404294,115541,24011338
15769,404287,115542,24011339
15769,404288,115542,24011340
12984,404289,115542,24011341
2785,404290,115542,24011342
15769,404291,115542,24011343
15769,404292,115542,24011344
15769,404293,115542,24011345
15769,404294,115542,24011346
2115,404287,115543,24011347
2115,404288,115543,24011348
890,404289,115543,24011349
1225,404290,115543,24011350
2115,404291,115543,24011351
2115,404292,115543,24011352
2115,404293,115543,24011353
2115,404294,115543,24011354
49636,404287,115544,24011355
49636,404288,115544,24011356
47029,404289,115544,24011357
2607,404290,115544,24011358
49636,404291,115544,24011359
49636,404292,115544,24011360
49636,404293,115544,24011361
49636,404294,115544,24011362
3497,404287,115545,24011363
3497,404288,115545,24011364
3497,404289,115545,24011365
3497,404291,115545,24011366
3497,404292,115545,24011367
3497,404293,115545,24011368
3497,404294,115545,24011369
23064,404287,115546,24011541
23064,404288,115546,24011542
23060,404289,115546,24011543
4,404290,115546,24011544
23064,404291,115546,24011545
23064,404292,115546,24011546
23064,404293,115546,24011547
23064,404294,115546,24011548
12917,404287,115547,24011370
12917,404288,115547,24011371
12289,404289,115547,24011372
628,404290,115547,24011373
12917,404291,115547,24011374
12917,404292,115547,24011375
12917,404293,115547,24011376
12917,404294,115547,24011377
26442,404287,115548,24011378
26442,404288,115548,24011379
26289,404289,115548,24011380
153,404290,115548,24011381
26442,404291,115548,24011382
26442,404292,115548,24011383
26442,404293,115548,24011384
26442,404294,115548,24011385
39054,404287,115549,24011386
39054,404288,115549,24011387
38603,404289,115549,24011388
451,404290,115549,24011389
39054,404291,115549,24011390
39054,404292,115549,24011391
39054,404293,115549,24011392
39054,404294,115549,24011393
4682,404287,115550,24011394
4682,404288,115550,24011395
4682,404290,115550,24011396
4682,404291,115550,24011397
4682,404292,115550,24011398
4682,404293,115550,24011399
4682,404294,115550,24011400
3823,404287,115551,24011401
3823,404288,115551,24011402
982,404289,115551,24011403
2841,404290,115551,24011404
3823,404291,115551,24011405
3823,404292,115551,24011406
3823,404293,115551,24011407
3823,404294,115551,24011408
12326,404287,115552,24011409
12326,404288,115552,24011410
12260,404289,115552,24011411
66,404290,115552,24011412
12326,404291,115552,24011413
12326,404292,115552,24011414
12326,404293,115552,24011415
12326,404294,115552,24011416
4136,404287,115553,24011417
4136,404288,115553,24011418
4103,404289,115553,24011419
33,404290,115553,24011420
4136,404291,115553,24011421
