recdate,mapunittextkind,textcat,textsubcat,text,mukey,mutextkey
12/18/2007 00:00:00,Nontechnical description,Cropland,,"Suitability: Not used for agriculture due to lack of farming
Management concerns: Droughtiness, the harzard of erosion ,a hazard of soil blowing, the low available water capacity, and the leaching of plant nutrients are the main limitations affecting cropland",115527,2008419
12/18/2007 00:00:00,Nontechnical description,Woodland,,"In wooded areas, this soil is managed primarily for loblolly pine.  The droughtiness of the thick, sandy surface layer is the main limitation affecting use and management.  Seedling mortality is a concern during dry periods.  When dry, the sandy layers are soft and may limit the use of equipment.",115527,2008420
02/09/2008 00:00:00,Nontechnical description,Cropland,,"Suitability: Unsuited 
Management concerns: Daily tidal flooding",115528,2008421
02/09/2008 00:00:00,Nontechnical description,Woodland,,"Suitability: Unsuited 
Management concerns: Daily tidal flooding",115528,2008422
02/09/2008 00:00:00,Nontechnical description,Wildlife habitat,,"Native vegetation: Smooth cordgrass 
Management measures and considerations: 
This map unit is valuable as nursery areas for many commercial fish species. Areas of this map unit form a natural barrier against storm surges and provide a buffer against the inland intrusion of salt water.",115528,2008423
02/09/2008 00:00:00,Nontechnical description,Cropland,,"Suitability: Not used for agriculture due to lack of farming
Management concerns: Droughtiness, a hazard of soil blowing, the low available water capacity, and the leaching of plant nutrients are the main limitations affecting cropland",115529,2008424
02/09/2008 00:00:00,Nontechnical description,Woodland,,"Suitability: Well suited 
Productivity: High 
Native vegetation: Loblolly pine, red maple, sweetgum, water oak, yellow-poplar, white oak, southern red oak, dogwood, and swamp blackgum in the overstory; American holly, sourwood, waxmyrtle, highbush blueberry, and sweet pepperbush in the understory 
Management concerns: Seedling mortality 
Management measures and considerations: Intensive site preparation, such as chopping, burning, and applying herbicides, can help to establish seedlings, reduce the seedling mortality rate, and reduce the competition from undesirable plant species.   When dry, the sandy layers are soft and may limit the use of equipment.",115529,2008425
03/16/2009 00:00:00,Nontechnical description,Cropland,new,"This map unit consists of nearly level to gently sloping Blanton soils on uplands. Blanton soils are very deep and excessively drained. They have a very thick, sandy surface layer and a loamy subsoil. Seasonal high water table is within a depth of 5.0 to 6.0 feet.

Cropland
Suitability: Suited
Management concerns: Droughtiness, flooding, and soil fertility
Management measures and considerations:
Leaving crop residue on the soil surface helps to conserve soil moisture.
Using supplemental irrigation and crop varieties adapted to droughty conditions helps to increase crop production.
Harvesting row crops as soon as possible helps to reduce the risk of damage from possible flooding.
Applying lime and fertilizer according to recommendations based on soil tests helps to increase the availability of plant nutrients and maximize crop productivity.
Land Capability Class: 3s",115530,2008426
03/16/2009 00:00:00,Nontechnical description,Pasture and hayland,new,"This map unit consists of nearly level to gently sloping Blanton soils on uplands. Blanton soils are very deep and excessively drained. They have a very thick, sandy surface layer and a loamy subsoil. Seasonal high water table is within a depth of 5.0 to 6.0 feet.

Pasture and hayland
Suitability: Well suited
Management concerns: Droughtiness, flooding, and soil fertility
Management measures and considerations:
Planting drought-tolerant species helps to increase productivity. 
Harvesting hay crops as soon as possible helps to reduce the risk of damage from flooding.
Applying lime and fertilizer according to recommendations based on soil tests helps to increase the availability of plant nutrients and maximizes productivity when establishing, maintaining, or renovating hayland and pasture.
Rotational grazing and a well planned clipping and harvesting schedule help to maintain pastures and increase productivity.
Land Capability Class: 3s",115530,2008427
02/09/2008 00:00:00,Nontechnical description,Woodland,,"Suitability: Well suited 
Productivity: High 
Native vegetation: Loblolly pine, red maple, sweetgum, water oak, yellow-poplar, white oak, southern red oak, dogwood, and swamp blackgum in the overstory; American holly, sourwood, waxmyrtle, highbush blueberry, and sweet pepperbush in the understory 
Management concerns: Seedling mortality 
Management measures and considerations: Intensive site preparation, such as chopping, burning, and applying herbicides, can help to establish seedlings, reduce the seedling mortality rate, and reduce the competition from undesirable plant species.   When dry, the sandy layers are soft and may limit the use of equipment.",115530,2008428
