aashtocl,rvindicator,chkey,chaashtokey
A-7-5,Yes,51074742,83525487
A-7-6,No ,51074742,83525488
A-7-6,Yes,51074743,83525489
A-7-5,No ,51074743,83525490
A-6,No ,51074744,83525491
A-7-6,Yes,51074744,83525492
A-7-6,Yes,51074745,83525493
A-7-6,No ,51074746,83525494
A-7-5,Yes,51074746,83525495
A-6,No ,51074747,83525496
A-7-6,Yes,51074747,83525497
A-7-6,No ,51074748,83525498
A-6,Yes,51074748,83525499
A-7-6,No ,51074749,83525500
A-6,Yes,51074749,83525501
A-7-6,No ,51074750,83525502
A-7-5,Yes,51074750,83525503
A-6,No ,51074751,83525504
A-7-6,Yes,51074751,83525505
A-6,Yes,51074752,83525506
A-7-6,No ,51074752,83525507
A-6,Yes,51074753,83525508
A-4,No ,51074753,83525509
A-7-6,No ,51074754,83525510
A-7-5,Yes,51074754,83525511
A-6,No ,51074755,83525512
A-7-6,Yes,51074755,83525513
A-6,Yes,51074756,83525514
A-7-6,No ,51074756,83525515
A-4,No ,51074756,83525516
A-4,No ,51074757,83525517
A-6,Yes,51074757,83525518
A-7-6,No ,51074757,83525519
A-7-5,No ,51074758,83525520
A-6,No ,51074758,83525521
A-7-6,Yes,51074758,83525522
A-6,Yes,51074759,83525523
A-6,No ,51074760,83525524
A-7-6,Yes,51074760,83525525
A-6,Yes,51074761,83525526
A-7-6,No ,51074761,83525527
A-2-4,No ,51074762,83525528
A-2-6,No ,51074762,83525529
A-4,No ,51074762,83525530
A-6,Yes,51074762,83525531
A-6,No ,51074763,83525532
A-7-6,Yes,51074763,83525533
A-7-5,No ,51074763,83525534
A-6,No ,51074764,83525535
A-7-6,Yes,51074764,83525536
A-4,No ,51074765,83525537
A-6,Yes,51074765,83525538
A-2-4,Yes,51074766,83525539
A-4,No ,51074766,83525540
A-2-6,No ,51074766,83525541
A-6,No ,51074766,83525542
A-7-6,No ,51074807,83525627
A-7-5,Yes,51074807,83525628
A-6,No ,51074808,83525629
A-7-6,Yes,51074808,83525630
A-6,Yes,51074809,83525631
A-7-6,No ,51074809,83525632
A-6,Yes,51074810,83525633
A-7-6,No ,51074810,83525634
A-4,No ,51074810,83525635
A-6,No ,51074811,83525636
A-7-6,Yes,51074811,83525637
A-7-5,No ,51074812,83525638
A-7-6,Yes,51074812,83525639
A-6,Yes,51074813,83525640
A-4,No ,51074814,83525641
A-6,Yes,51074814,83525642
A-7-6,Yes,51074815,83525643
A-6,No ,51074816,83525644
A-7-6,Yes,51074816,83525645
A-7-6,Yes,51074973,83525961
A-6,No ,51074973,83525962
A-6,No ,51074974,83525963
A-7-6,Yes,51074974,83525964
A-6,Yes,51074975,83525965
A-7-6,No ,51074975,83525966
A-4,Yes,51074976,83525967
A-6,No ,51074976,83525968
A-2-6,No ,51074976,83525969
A-2-4,No ,51074976,83525970
A-4,No ,51074977,83525971
A-6,Yes,51074977,83525972
A-6,Yes,51074978,83525973
A-7,No ,51074978,83525974
A-2,No ,51074979,83525975
A-4,No ,51074979,83525976
A-6,Yes,51074979,83525977
A-4,Yes,51074980,83525978
A-2,No ,51074980,83525979
A-7-6,No ,51074994,83526012
A-6,Yes,51074994,83526013
A-6,Yes,51074995,83526014
A-7-6,No ,51074995,83526015
A-6,Yes,51074996,83526016
A-7-6,No ,51074996,83526017
A-4,Yes,51074997,83526018
A-6,No ,51074997,83526019
A-2-6,No ,51074997,83526020
A-2-4,No ,51074997,83526021
A-7-6,Yes,51074998,83526022
