desgnsuffix,chkey,chdesgnsfxkey
p,51074742,20131413
g,51074743,20131414
g,51074744,20131415
g,51074745,20131237
p,51074746,20131342
t,51074747,20131343
g,51074747,20131344
t,51074748,20131345
g,51074748,20131346
p,51074750,20131408
k,51074750,20131409
g,51074751,20131410
g,51074752,20131411
g,51074753,20131412
p,51074754,20131402
t,51074755,20131403
g,51074755,20131404
t,51074756,20131405
g,51074756,20131406
g,51074757,20131407
p,51074758,20131352
g,51074759,20131353
g,51074760,20131354
t,51074760,20131355
g,51074761,20131356
t,51074761,20131357
g,51074762,20131358
p,51074763,20131348
t,51074764,20131349
t,51074765,20131350
g,51074765,20131351
g,51074766,20131347
p,51074807,20131289
t,51074808,20131290
g,51074808,20131291
t,51074809,20131292
g,51074809,20131293
p,51074811,20131286
t,51074813,20131288
t,51074815,20131287
t,51074816,20131285
p,51075044,20131373
g,51075045,20131374
g,51075046,20131375
g,51075047,20131376
p,51075048,20131416
t,51075050,20131417
p,51075114,20131294
t,51075115,20131295
g,51075115,20131296
t,51075116,20131297
g,51075116,20131298
g,51075117,20131299
p,51075118,20131393
g,51075119,20131394
g,51075120,20131395
g,51075121,20131396
g,51075122,20131399
g,51075123,20131400
g,51075124,20131401
p,51075125,20131397
k,51075125,20131398
g,51075333,20131225
g,51075334,20131224
p,51075335,20131223
t,51075337,20131221
t,51075338,20131220
p,51075339,20131222
g,51075340,20131235
t,51075341,20131233
g,51075341,20131234
t,51075342,20131231
g,51075342,20131232
p,51075343,20131236
t,51075345,20131229
g,51075345,20131230
t,51075346,20131227
g,51075346,20131228
p,51075347,20131226
