fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
0,1,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074742,87524576
0,1,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074743,87524577
0,0,2,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51074743,87524578
0,2,3,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074744,87524579
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,51074744,87524580
0,0,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,51074744,87524581
0,1,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074745,87524582
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Very strongly cemented,51074745,87524583
0,1,2,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51074745,87524584
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074746,87524585
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074747,87524586
0,1,2,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,51074748,87524587
1,3,7,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074748,87524588
0,1,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,51074749,87524589
0,2,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,51074749,87524590
1,3,7,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074749,87524591
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074750,87524592
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074751,87524593
0,2,4,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074752,87524594
0,3,6,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074753,87524595
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51074753,87524596
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074754,87524597
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074755,87524598
0,2,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074756,87524599
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51074756,87524600
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Very strongly cemented,51074756,87524601
1,3,9,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074757,87524602
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51074757,87524603
0,1,3,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Very strongly cemented,51074757,87524604
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074758,87524605
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074759,87524606
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074760,87524607
0,2,5,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074761,87524608
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51074761,87524609
0,5,8,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074762,87524610
0,2,5,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51074762,87524611
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074763,87524612
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074764,87524613
0,1,4,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074765,87524614
0,0,2,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51074765,87524615
0,2,7,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51074766,87524616
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51074766,87524617
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074807,87524692
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074808,87524693
1,5,9,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074809,87524694
1,3,7,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074810,87524695
0,3,4,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,51074810,87524696
0,1,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,51074810,87524697
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074811,87524698
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074812,87524699
0,0,2,Mixed rock fragments,75,140,250,Nonflat,Subangular,Very strongly cemented,51074813,87524700
0,3,5,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,51074813,87524701
1,3,8,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074813,87524702
0,1,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,51074814,87524703
0,0,1,Mixed rock fragments,250,300,600,Nonflat,Subangular,Very strongly cemented,51074814,87524704
0,3,6,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,51074814,87524705
1,3,9,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074814,87524706
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Angular,Very strongly cemented,51074815,87524707
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51074816,87524708
0,2,3,,2,4,5,,,,51074973,87524956
0,2,3,,2,4,5,,,,51074974,87524957
0,4,7,,2,4,5,,,,51074975,87524958
0,2,3,,5,40,75,,,,51074975,87524959
0,2,3,,75,162,250,,,,51074975,87524960
0,6,12,,2,4,5,,,,51074976,87524961
0,2,3,,5,40,75,,,,51074976,87524962
0,2,3,,75,162,250,,,,51074976,87524963
0,10,20,,2,4,5,,,,51074979,87524964
0,4,7,,5,40,75,,,,51074979,87524965
0,2,3,,75,162,250,,,,51074979,87524966
0,2,3,,75,162,250,,,,51074980,87524967
0,4,7,,5,40,75,,,,51074980,87524968
0,12,23,,2,4,5,,,,51074980,87524969
0,2,3,,2,4,5,,,,51074994,87524996
0,2,3,,2,4,5,,,,51074995,87524997
0,4,7,,2,4,5,,,,51074996,87524998
0,2,3,,5,40,75,,,,51074996,87524999
0,2,3,,75,162,250,,,,51074996,87525000
0,6,12,,2,4,5,,,,51074997,87525001
0,2,3,,5,40,75,,,,51074997,87525002
0,2,3,,75,162,250,,,,51074997,87525003
0,5,10,,2,4,5,,,,51075000,87525004
0,5,9,,2,4,5,,,,51075001,87525005
0,2,3,,5,40,75,,,,51075001,87525006
0,2,3,,75,162,250,,,,51075001,87525007
0,1,1,,2,4,5,,,,51075003,87525008
1,4,9,,2,4,5,,,,51075004,87525009
0,1,3,,5,40,75,,,,51075004,87525010
0,1,1,,75,162,250,,,,51075004,87525011
0,6,12,,2,4,5,,,,51075005,87525012
0,3,7,,5,40,75,,,,51075005,87525013
0,1,2,,75,162,250,,,,51075005,87525014
0,1,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075044,87525074
0,0,2,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51075045,87525075
0,1,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075045,87525076
0,2,3,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51075046,87525077
0,0,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,51075046,87525078
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,51075046,87525079
0,1,2,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51075047,87525080
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Very strongly cemented,51075047,87525081
0,1,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075047,87525082
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51075048,87525083
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51075049,87525084
0,0,0,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51075050,87525085
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,51075051,87525086
1,2,5,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51075051,87525087
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,51075051,87525088
0,1,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,51075052,87525089
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,51075052,87525090
0,2,4,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,51075052,87525091
1,3,6,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51075052,87525092
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075114,87525198
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075115,87525199
0,2,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075116,87525200
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Very strongly cemented,51075116,87525201
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51075116,87525202
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51075117,87525203
1,3,9,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075117,87525204
0,1,3,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Very strongly cemented,51075117,87525205
0,1,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075118,87525206
0,1,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075119,87525207
0,0,2,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51075119,87525208
0,2,3,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,51075120,87525209
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,51075120,87525210
0,0,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,51075120,87525211
0,1,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075121,87525212
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Very strongly cemented,51075121,87525213
0,1,2,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51075121,87525214
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075122,87525215
0,2,4,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075123,87525216
0,3,6,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075124,87525217
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51075124,87525218
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075125,87525219
0,3,6,Mixed rock fragments,5,40,75,Nonflat,Rounded,Indurated,51075336,87525528
1,3,6,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075336,87525529
0,1,2,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Very strongly cemented,51075336,87525530
0,1,1,Mixed rock fragments,75,162,250,Nonflat,Rounded,Indurated,51075337,87525531
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51075337,87525532
0,3,6,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075337,87525533
0,2,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075338,87525534
0,2,3,Mixed rock fragments,75,162,250,Nonflat,Rounded,Indurated,51075340,87525535
0,6,12,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075340,87525536
0,2,3,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Very strongly cemented,51075340,87525537
0,2,3,Mixed rock fragments,5,40,75,Nonflat,Rounded,Indurated,51075341,87525538
0,4,7,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075341,87525539
0,2,3,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Very strongly cemented,51075341,87525540
0,2,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075342,87525541
0,2,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075343,87525542
0,2,3,Mixed rock fragments,5,40,75,Nonflat,Rounded,Indurated,51075344,87525543
0,5,9,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075344,87525544
0,2,3,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Very strongly cemented,51075344,87525545
0,5,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Very strongly cemented,51075345,87525546
