hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
Ap,NA,A,NA,NA,0,0,0,15,28,30,NA,28,NA,0,0,0,0,0,0,100,100,100,100,100,100,96,99,100,93,97,100,1,4,7,0,0.1,1,0,0.2,2,0,0.8,3,0,1.1,3,0.5,1.8,3,66,70,81,NA,NA,NA,NA,NA,NA,18,26,27,0,0,0,2.5,3.5,4,NA,NA,NA,1.3,1.35,1.45,NA,NA,NA,1.42,1.47,1.47,NA,4.23,9.17,14.11,0.19,0.22,0.24,NA,NA,NA,28.2,31.9,32.6,12.9,18.3,19.4,41,44,46,1,2.9,2.9,33,43,45,12,18,18,11,19,21,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,2,15.6,22.1,23,NA,NA,NA,13.8,22,26,6.1,7,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,4.4,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483927,51075048
AB,NA,AB,NA,NA,15,28,30,25,41,46,NA,13,NA,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,94,97,100,1,4,7,0,0,1,0,0.3,2,0,0.7,3,0,0.7,3,0.5,2.3,3,61,65,72,NA,NA,NA,NA,NA,NA,27,31,32,0,0,0,1.5,2.5,3.5,NA,NA,NA,1.25,1.35,1.4,NA,NA,NA,1.44,1.54,1.6,NA,4.23,9.17,14.11,0.14,0.17,0.2,NA,NA,NA,30.7,32.7,33.7,16.4,19.7,21.4,43,45,49,3,4.5,5.9,40,46,50,19,22,22,18,24,26,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,2,22.1,25.5,26.6,NA,NA,NA,18,24.7,26.6,5.6,6.7,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,5.4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483927,51075049
Bt,NA,B,NA,NA,25,41,46,102,104,145,NA,63,NA,0,0,0,0,0,0,100,100,100,100,100,100,96,99,100,91,96,100,1,5,8,0,0.1,1,0,0.3,2,0,0.9,3,0.5,1.4,3,0.5,2.3,5,57,62,74,NA,NA,NA,NA,NA,NA,25,33,35,0,0,0,0.5,1,1.5,NA,NA,NA,1.35,1.4,1.45,NA,NA,NA,1.56,1.61,1.66,NA,4.23,9.17,14.11,0.13,0.16,0.19,NA,NA,NA,29.5,32.7,33.7,14.6,19.7,21.4,42,44,46,3,4.8,5.9,36,45,48,17,23,25,15,24,28,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,2,15.6,26.1,27.9,NA,NA,NA,13.2,24.4,26.5,5.6,6.7,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,4.8,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483927,51075050
2BC,2,BC,NA,NA,102,104,145,114,114,152,NA,10,NA,0,0,0,0,0,1,95,98,100,87,95,98,75,89,98,58,73,86,15,26,40,0,1.3,3,0.1,3,5,2,7.4,15,5,9.1,18,3,5.2,15,26,44,64,NA,NA,NA,NA,NA,NA,21,30,34,0,0,0,0.1,0.3,0.6,NA,NA,NA,1.45,1.5,1.6,NA,NA,NA,1.64,1.69,1.79,NA,4.23,9.17,14.11,0.1,0.13,0.16,NA,NA,NA,26.2,31.6,33.8,12.3,18.7,21.9,34,40,42,3,3.9,5.9,32,40,45,14,21,24,5,13,21,0.37,0.37,0,3,10,0,0,0,0,0,0,0,0,2,12.8,22.8,26.2,NA,NA,NA,12.1,30.9,45.2,6.6,7.6,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483927,51075051
2C,2,C,NA,NA,114,114,152,152,152,200,NA,38,NA,0,0,1,0,1,2,94,97,100,86,93,98,74,86,98,55,68,81,20,30,40,1,1.5,6,2,3.5,8,4,8.5,18,8,10.5,19,1,6,14,30,42,62,NA,NA,NA,NA,NA,NA,18,28,30,0,1,3,0.1,0.2,0.4,NA,NA,NA,1.6,1.75,1.78,NA,NA,NA,1.77,1.92,1.92,NA,1.41,2.82,4.23,0.07,0.1,0.13,NA,NA,NA,25.3,29.8,32.4,11.8,19.8,22.4,27,30,37,1,2.9,2.9,27,37,40,10,19,21,2,10,16,0.37,0.37,15,25,40,0,0,0,0,0,0,0,0,2,10.2,20.4,21,NA,NA,NA,23.2,36.1,40,7.4,7.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483927,51075052
Ap,NA,A,NA,NA,0,0,0,25,53,61,NA,53,NA,0,0,0,0,0,0,100,100,100,100,100,100,96,99,100,91,95,100,1,6,10,0,0.1,0.3,0,0.3,0.7,0,1.1,3,0,2,5,0,2.5,5,55,63,72,NA,NA,NA,NA,NA,NA,27,31,35,0,0,0,4,5.5,7,NA,NA,NA,1.2,1.3,1.4,NA,NA,NA,1.32,1.42,1.45,NA,4.23,9.17,14.11,0.16,0.19,0.22,NA,NA,NA,32.1,34.3,36.1,18.7,22.4,26,41,45,49,3,3.1,5.9,45,51,58,18,21,24,18,24,30,0.24,0.24,0,0,0,0,0,0,0,0,0,0,0,2,23,26.3,29.6,NA,NA,NA,20.2,23.4,29.4,5.6,6,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,8.3,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483853,51074807
Btg1,NA,B,NA,1,25,53,61,102,112,152,NA,59,NA,0,0,0,0,0,0,100,100,100,100,100,100,95,99,100,89,95,100,1,6,10,0,0.1,0.3,0,0.3,0.7,0,1.1,3,0,2,5,0,2.5,5,53,62,74,NA,NA,NA,NA,NA,NA,25,32,37,0,0,0,0.3,1.1,2,NA,NA,NA,1.25,1.35,1.45,NA,NA,NA,1.45,1.55,1.6,NA,4.23,9.17,14.11,0.15,0.18,0.21,NA,NA,NA,28.9,32.1,34.2,13.9,18.6,22.3,42,46,50,3,4.6,5.9,36,44,51,17,23,26,14,23,30,0.37,0.37,0,0,5,0,0,0,0,0,0,0,0,2,19.4,25.4,29.7,NA,NA,NA,18.5,24.9,68.7,6.1,7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,4,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483853,51074808
2Btg2,2,B,NA,2,102,112,152,114,175,191,NA,63,NA,0,0,0,0,0,0,100,100,100,85,91,98,76,89,98,63,79,97,2,16,30,0,0.5,2,0,1,3,1,4,10,1,7,15,0,3.5,10,33,56,78,NA,NA,NA,NA,NA,NA,20,28,37,0,0,0,0.2,0.4,0.6,NA,NA,NA,1.4,1.5,1.6,NA,NA,NA,1.57,1.67,1.78,NA,4.23,9.17,14.11,0.12,0.15,0.18,NA,NA,NA,25.2,29.6,34.2,11.2,16.4,22.7,34,39,44,3,3.5,5.9,30,39,48,13,19,26,5,14,28,0.43,0.43,0,7,15,0,0,0,0,0,0,0,0,2,15.6,21.7,28.3,NA,NA,NA,14,60.4,67.3,6.6,7.6,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1.7,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483853,51074809
2C,2,C,NA,NA,114,175,191,152,200,200,NA,25,NA,0,0,0,0,1,2,94,95,100,84,91,98,75,89,98,63,78,96,2,16,30,0,0.5,2,0,1,3,1,4,10,1,7,15,0,3.5,10,40,56,83,NA,NA,NA,NA,NA,NA,15,28,30,0,0,0,0,0.2,0.5,NA,NA,NA,1.6,1.7,1.78,NA,NA,NA,1.79,1.89,1.93,NA,1.41,2.82,4.23,0.08,0.11,0.15,NA,NA,NA,22.8,28.7,31.8,9,18.1,20.9,27,32,37,1,2.9,2.9,25,38,41,9,19,21,3,13,21,0.43,0.43,5,17,30,0,0,0,0,0,0,0,0,2,10.9,21.1,23.3,NA,NA,NA,44.2,59.8,62.3,7.4,8,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483853,51074810
Ap,NA,A,NA,NA,0,0,0,15,20,28,NA,20,NA,0,0,0,0,0,0,100,100,100,100,100,100,96,99,100,91,96,100,1,5,10,0,0.2,1,0,0.8,2,0,1,3,0,1,3,0,2,3,63,71,79,NA,NA,NA,NA,NA,NA,20,24,27,0,0,0,3.5,4,5,NA,NA,NA,1.25,1.35,1.45,NA,NA,NA,1.32,1.42,1.47,NA,4.23,9.17,14.11,0.19,0.22,0.25,NA,NA,NA,29.9,31.6,33.3,15.1,17.8,20.6,40,44,48,1,1.8,2.9,37,42,47,13,16,18,13,17,22,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,2,17.3,20.3,22.6,NA,NA,NA,13.7,18.7,22.1,5.6,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,6.6,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,51074811
A,NA,A,NA,NA,15,20,28,25,46,50,NA,26,NA,0,0,0,0,0,0,100,100,100,100,100,100,96,99,100,92,96,99,1,5,10,0,0.2,1,0,0.8,2,0,1,3,0,1,3,0,2,3,58,66,72,NA,NA,NA,NA,NA,NA,27,29,32,0,0,0,2.5,3,4.5,NA,NA,NA,1.25,1.35,1.45,NA,NA,NA,1.41,1.51,1.6,NA,4.23,9.17,14.11,0.14,0.17,0.2,NA,NA,NA,31.5,32.5,34.4,17.6,19.2,22.6,41,45,48,3,3.9,5.9,42,45,52,18,20,22,19,22,27,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,2,20,23.7,26.1,NA,NA,NA,17,21,25.7,5.6,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6.6,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,51074812
2Bt3,2,B,NA,3,102,114,152,114,124,165,NA,10,NA,0,0,0,0,0,3,92,95,100,79,90,98,68,86,98,54,71,87,15,25,40,0,1,3,0,2,4,1,6,11,1,9,14,1,7,13,30,50,67,NA,NA,NA,NA,NA,NA,18,25,30,0,0,0,0.1,0.3,0.5,NA,NA,NA,1.4,1.5,1.6,NA,NA,NA,1.54,1.64,1.64,NA,4.23,9.17,14.11,0.13,0.16,0.19,NA,NA,NA,22.7,28.3,31.8,9.3,14.5,18.4,32,39,44,1,2.8,2.9,28,35,40,12,17,21,3,10,18,0.43,0.43,0,0,10,0,0,0,0,0,0,0,0,2,10,19.3,21,NA,NA,NA,8.6,19.2,40,6.1,7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,51074813
2C,2,C,NA,NA,114,124,165,152,152,200,NA,28,NA,0,0,1,0,1,2,92,96,100,79,91,98,66,83,98,46,62,80,15,37,45,1,3,6,2,4,8,4,9,20,8,13,18,1,8,14,28,44,70,NA,NA,NA,NA,NA,NA,15,19,27,0,1,3,0.1,0.2,0.4,NA,NA,NA,1.65,1.75,1.78,NA,NA,NA,1.75,1.85,1.92,NA,1.41,2.82,4.23,0.08,0.11,0.14,NA,NA,NA,22,26.8,32.2,8.9,12.7,19.3,26,30,35,0,1.7,2.9,24,29,37,8,12,19,0,4,14,0.43,0.43,15,25,40,0,0,0,0,2,6,0,0,2,6,14.3,18,NA,NA,NA,24.7,30,37,7.4,7.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,51074814
Bt1,NA,B,NA,1,25,46,50,75,81,100,NA,35,NA,0,0,0,0,0,0,100,100,100,100,100,100,96,99,100,92,96,99,1,5,10,0,0.2,1,0,0.8,2,0,1,3,0,1,3,0,2,3,50,58,64,NA,NA,NA,NA,NA,NA,35,37,40,0,0,0,0.5,1,2,NA,NA,NA,1.3,1.4,1.5,NA,NA,NA,1.59,1.69,1.81,NA,1.41,2.82,4.23,0.12,0.15,0.18,NA,NA,NA,33,34,35.5,20.2,21.9,24.8,41,44,48,6,6.5,8.9,46,49,55,25,26,29,25,29,34,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,2,25.5,28.1,30.8,NA,NA,NA,23.9,26,30.5,5.6,5.8,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7.5,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,51074815
Bt2,NA,B,NA,2,75,81,100,102,114,152,NA,33,NA,0,0,0,0,0,0,100,100,100,100,100,100,93,98,100,87,93,100,2,8,15,0,0.5,1,0,1,2,0,1.8,4,0,2.2,5,0,2.5,6,50,60,73,NA,NA,NA,NA,NA,NA,25,32,35,0,0,0,0.2,0.5,1,NA,NA,NA,1.3,1.4,1.5,NA,NA,NA,1.51,1.61,1.66,NA,4.23,9.17,14.11,0.13,0.16,0.19,NA,NA,NA,29.2,32.1,33.4,14.3,18.5,20.8,41,44,48,3,4.7,5.9,35,43,47,17,23,25,13,24,27,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,2,17,24.3,26.8,NA,NA,NA,15.5,23.9,26.1,5.6,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,5.8,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483854,51074816
Ap,NA,A,NA,NA,0,0,0,15,18,30,NA,18,NA,0,0,0,0,0,0,100,100,100,94,98,100,90,97,100,87,94,100,1,5,10,0,0.2,0.5,0,0.5,2,0,1,3,0,1.7,5,0,1.6,5,50,60,67,NA,14,NA,NA,46,NA,32,35,40,0,0,0,4.5,6.2,7.5,NA,NA,NA,1.2,1.3,1.4,NA,NA,NA,1.42,1.52,1.59,NA,1.41,2.82,4.23,0.17,0.18,0.21,NA,NA,NA,33.6,36,40.6,19,21.8,25.5,41,45,51,3.5,5.2,6.8,50,57,65,22,25,28,21,28,36,0.24,0.24,0,0,0,0,0,0,0,0,0,0,0,2,28,33.8,39,NA,NA,NA,24,33.5,47,5.6,7,7.5,5.3,6.7,7.2,NA,NA,NA,NA,NA,NA,4.1,6.7,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483836,51074742
Bg1,NA,B,NA,1,15,18,30,61,69,91,NA,51,NA,0,0,0,0,0,0,96,100,100,93,98,100,88,97,100,85,94,100,1,5,10,0,0.2,1,0,0.6,2,0,1,3,0,1.7,5,0,1.5,5,45,56,64,NA,16,NA,NA,40,NA,35,39,45,0,0,0,1.5,3.2,6,NA,NA,NA,1.3,1.4,1.55,NA,NA,NA,1.65,1.75,1.85,NA,1.41,2.82,4.23,0.13,0.17,0.2,NA,NA,NA,27.9,34.1,39.3,17.3,21.7,26.7,32,40,47,5.8,7.6,9.7,48,56,68,25,28,32,22,30,40,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,2,27.2,33,39,NA,NA,NA,23.8,32.9,47,6.1,7.2,7.5,5.8,6.9,7.2,NA,NA,NA,NA,NA,NA,2.9,5,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483836,51074743
Cg,NA,C,NA,NA,97,127,178,152,152,200,NA,25,NA,0,0,0,0,0,3,95,98,100,90,95,100,80,93,100,74,86,97,1,11,20,0,0.7,2,0,1,4,0,2.5,7,0,3.4,9,0,3.4,9,40,55,74,NA,19,NA,NA,36,NA,25,34,40,0,0,0,0,0.5,1.2,NA,NA,NA,1.4,1.53,1.65,NA,NA,NA,1.6,1.73,1.88,NA,1.41,2.82,4.23,0.12,0.17,0.19,NA,NA,NA,23,29,32.5,13.5,17.5,21,27,35,41,2.2,4,6.9,34,44,52,17,24,29,10,21,31,0.37,0.37,0,8,20,0,0,0,0,0,0,0,0,2,13.5,20.4,28,NA,NA,NA,13.2,59.1,67,6.6,7.8,8.4,6.3,7.5,8.1,NA,NA,NA,NA,NA,NA,0,1,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483836,51074744
Bg2,NA,B,NA,2,61,69,91,97,127,178,NA,58,NA,0,0,0,0,0,1,96,98,100,91,96,100,83,95,100,79,92,99,1,6,12,0,0.3,1,0,0.7,2,0,1,3,0,2,5,0,2,5,43,53,66,NA,18,NA,NA,35,NA,33,41,45,0,0,0,0.5,1.3,2.7,NA,NA,NA,1.35,1.45,1.6,NA,NA,NA,1.68,1.78,1.89,NA,1.41,2.82,4.23,0.11,0.15,0.18,NA,NA,NA,23.7,31,37,14.5,20.5,26,31,41,46,3.9,7,9.1,43,54,61,23,29,33,17,30,38,0.32,0.32,0,0,5,0,0,0,0,0,0,0,0,2,21,29,36,NA,NA,NA,18.4,28.4,50,6.1,7.3,7.8,5.8,7,7.5,NA,NA,NA,NA,NA,NA,1.1,3.6,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483836,51074745
Ap,NA,A,NA,NA,0,0,0,25,53,61,NA,53,NA,0,0,0,0,0,0,100,100,100,100,100,100,96,99,100,91,95,100,1,6,10,0,0.1,0.3,0,0.3,0.7,0,1.1,3,0,2,5,0,2.5,5,55,63,72,NA,NA,NA,NA,NA,NA,27,31,35,0,0,0,4,5.5,7,NA,NA,NA,1.2,1.3,1.4,NA,NA,NA,1.32,1.42,1.45,NA,4.23,9.17,14.11,0.16,0.19,0.22,NA,NA,NA,32.1,34.3,36.1,18.7,22.4,26,41,45,49,2.5,3.1,3.8,45,51,58,18,21,24,18,24,30,0.24,0.24,0,0,0,0,0,0,0,0,0,0,0,2,24,29.5,32.5,NA,NA,NA,21.2,25.9,32.4,5.6,6,7.3,5.3,5.7,7,NA,NA,NA,NA,NA,NA,4,8.7,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483837,51074746
Btg1,NA,B,NA,1,25,53,61,102,112,152,NA,59,NA,0,0,0,0,0,0,100,100,100,100,100,100,95,99,100,89,95,100,1,6,10,0,0.1,0.3,0,0.3,0.7,0,1.1,3,0,2,5,0,2.5,5,52,62,74,NA,NA,NA,NA,NA,NA,25,32,38,0,0,0,0.3,1.1,2,NA,NA,NA,1.25,1.35,1.45,NA,NA,NA,1.44,1.54,1.6,NA,4.23,9.17,14.11,0.15,0.18,0.21,NA,NA,NA,28.9,32.1,34.5,13.9,18.6,22.8,42,46,50,2.9,4.4,5.8,35,44,52,17,22,27,14,22,31,0.37,0.37,0,0,5,0,0,0,0,0,0,0,0,2,17,23.5,29,NA,NA,NA,14.5,23,68,6.1,7,7.8,5.8,6.7,7.5,NA,NA,NA,NA,NA,NA,0.6,3.8,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483837,51074747
2Btg2,2,B,NA,2,102,112,152,114,175,191,NA,63,NA,0,0,0,0,0,0,97,98,100,85,93,98,76,91,98,64,81,97,2,16,30,0,0.5,2,0,1,3,1,4,10,1,6,15,0,4.5,10,33,55,78,NA,NA,NA,NA,NA,NA,20,29,37,0,0,1,0.2,0.5,0.8,NA,NA,NA,1.4,1.5,1.6,NA,NA,NA,1.57,1.67,1.75,NA,4.23,7.52,14.11,0.12,0.15,0.18,NA,NA,NA,25.2,30.5,34.3,11.2,17.3,23,34,39,44,1.9,3.5,5.1,30,40,48,13,20,26,5,15,28,0.37,0.37,0,7,15,0,0,0,0,0,0,0,0,2,14,20.5,26,NA,NA,NA,12.7,59.2,65,6.6,7.6,7.8,6.3,7.3,7.5,NA,NA,NA,NA,NA,NA,0.2,1.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483837,51074748
2C,2,C,NA,NA,114,175,191,152,200,200,NA,25,NA,0,0,0,0,1,3,95,97,100,84,92,98,75,90,98,63,80,97,2,16,30,0,0.5,2,0,1,3,1,4,10,1,6,15,0,4.5,10,35,56,80,NA,NA,NA,NA,NA,NA,18,28,35,0,0,2,0,0.3,0.6,NA,NA,NA,1.45,1.6,1.65,NA,NA,NA,1.62,1.77,1.85,NA,1.41,2.82,4.23,0.09,0.12,0.15,NA,NA,NA,23.8,30.2,34.3,10.1,17.3,22.9,31,35,42,1.4,3.2,4.7,27,38,46,11,19,25,4,14,26,0.43,0.43,5,17,30,0,0,0,0,0,0,0,0,2,12,19.5,24,NA,NA,NA,45.3,58.2,63,7.4,8,8.4,7.1,7.7,8.1,NA,NA,NA,NA,NA,NA,0,0.3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17483837,51074749
