structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
Weak,Very fine and fine,Granular,NA,NA,27183525,33236711
Moderate,Fine and medium,Subangular blocky,NA,NA,27183526,33236712
Weak,Medium,Prismatic,1,2,27183527,33236713
Moderate,Medium,Subangular blocky,2,NA,27183527,33236714
,,Massive,NA,NA,27183528,33236715
Moderate,Medium,Granular,NA,NA,27183605,33236800
Moderate,Medium,Subangular blocky,NA,NA,27183606,33236801
Moderate,Medium,Subangular blocky,NA,NA,27183607,33236802
,,Massive,NA,NA,27183608,33236803
Weak,Fine,Granular,NA,NA,27183646,33236849
Moderate,Fine,Prismatic,1,2,27183647,33236850
Moderate,Fine,Angular blocky,2,NA,27183647,33236851
Weak,Coarse,Subangular blocky,NA,NA,27183648,33236852
,,Massive,NA,NA,27183649,33236853
Weak,Very fine,Granular,NA,NA,27183703,33236919
Moderate,Fine,Prismatic,1,2,27183704,33236920
Moderate,Medium,Subangular blocky,2,NA,27183704,33236921
Weak,Medium and coarse,Prismatic,NA,NA,27183705,33236922
,,Massive,NA,NA,27183706,33236923
Moderate,Medium,Subangular blocky,NA,NA,27183752,33236979
Moderate,Fine,Granular,NA,NA,27183753,33236980
Moderate,Medium,Subangular blocky,NA,NA,27183754,33236981
Weak,Coarse,Subangular blocky,NA,NA,27183755,33236982
Structureless,,Massive,NA,NA,27183756,33236983
Weak,Fine,Granular,NA,NA,27183757,33236984
Moderate,Fine,Prismatic,1,2,27183758,33236985
Moderate,Medium,Subangular blocky,2,NA,27183758,33236986
Weak,Medium and coarse,Prismatic,NA,NA,27183759,33236987
Structureless,,Massive,NA,NA,27183760,33236988
Moderate,Medium,Granular,NA,NA,27183761,33236989
Weak,Fine,Granular,NA,NA,27183762,33236990
Moderate,Fine,Prismatic,1,2,27183763,33236991
Moderate,Fine,Angular blocky,2,NA,27183763,33236992
Weak,Coarse,Subangular blocky,NA,NA,27183764,33236993
Structureless,,Massive,NA,NA,27183765,33236994
Weak,Fine,Granular,NA,NA,27183813,33237052
Moderate,Fine,Prismatic,1,2,27183814,33237053
Moderate,Fine,Angular blocky,2,NA,27183814,33237054
Weak,Coarse,Subangular blocky,NA,NA,27183815,33237055
,,Massive,NA,NA,27183816,33237056
Strong,Medium,Subangular blocky,2,NA,27183903,33237154
Weak,Medium,Prismatic,1,2,27183903,33237155
Weak,Coarse,Prismatic,NA,NA,27183904,33237156
,,Massive,NA,NA,27183905,33237157
Moderate,Fine,Granular,NA,NA,27183906,33237158
Moderate,Fine,Granular,NA,NA,27183907,33237159
Moderate,Medium,Angular blocky,NA,NA,27183908,33237160
Weak,Coarse,Prismatic,NA,NA,27183909,33237161
Weak,Very fine,Granular,NA,NA,27183910,33237162
Moderate,Fine,Prismatic,1,2,27183911,33237163
Moderate,Medium,Subangular blocky,2,NA,27183911,33237164
Weak,Medium and coarse,Prismatic,NA,NA,27183912,33237165
,,Massive,NA,NA,27183913,33237166
Moderate,Fine,Prismatic,1,2,27183914,33237167
Moderate,Fine,Angular blocky,2,NA,27183914,33237168
Weak,Coarse,Subangular blocky,NA,NA,27183915,33237169
,,Massive,NA,NA,27183916,33237170
Weak,Fine,Granular,NA,NA,27183917,33237171
Weak,Fine,Granular,NA,NA,27183926,33237180
Moderate,Medium,Angular blocky,NA,NA,27183927,33237181
Structureless,,Massive,NA,NA,27183928,33237182
