structgrpname,rvindicator,chkey,chstructgrpkey
weak fine granular structure,Yes,51074742,27183942
moderate medium angular blocky structure,Yes,51074743,27183943
structureless massive structure,Yes,51074744,27183944
moderate fine prismatic structure,Yes,51074745,27183945
weak fine granular structure,Yes,51074746,27184005
moderate fine prismatic structure parts to moderate medium subangular blocky structure,Yes,51074747,27184006
weak medium and coarse prismatic structure,Yes,51074748,27184007
structureless massive structure,Yes,51074749,27184008
weak fine granular structure,Yes,51074750,27183938
moderate medium prismatic structure parts to moderate medium angular blocky structure,Yes,51074751,27183939
weak coarse subangular blocky structure,Yes,51074752,27183940
structureless massive structure,Yes,51074753,27183941
weak fine granular structure,Yes,51074754,27183934
moderate fine prismatic structure parts to moderate fine angular blocky structure,Yes,51074755,27183935
weak coarse subangular blocky structure,Yes,51074756,27183936
structureless massive structure,Yes,51074757,27183937
moderate fine granular structure,Yes,51074758,27184013
weak thin platy structure,Yes,51074759,27184014
moderate fine prismatic structure parting to moderate fine angular blocky structure,Yes,51074760,27184015
weak fine prismatic structure,Yes,51074761,27184016
structureless massive structure,Yes,51074762,27184017
weak fine granular structure,Yes,51074763,27184010
moderate medium subangular blocky structure,Yes,51074764,27184011
weak coarse subangular blocky structure,Yes,51074765,27184012
structureless massive structure,Yes,51074766,27184009
weak fine granular structure,Yes,51074807,27183757
moderate fine prismatic structure parts to moderate medium subangular blocky structure,Yes,51074808,27183758
weak medium and coarse prismatic structure,Yes,51074809,27183759
structureless massive structure,Yes,51074810,27183760
moderate fine granular structure,Yes,51074811,27183753
moderate medium granular structure,Yes,51074812,27183761
weak coarse subangular blocky structure,Yes,51074813,27183755
structureless massive structure,Yes,51074814,27183756
moderate medium subangular blocky structure,Yes,51074815,27183754
moderate medium subangular blocky structure,Yes,51074816,27183752
weak fine granular structure,Yes,51074973,27183646
moderate fine prismatic structure parting to moderate fine angular blocky structure,Yes,51074974,27183647
weak coarse subangular blocky structure,Yes,51074975,27183648
massive,Yes,51074976,27183649
moderate medium granular structure,Yes,51074977,27183605
moderate medium subangular blocky structure,Yes,51074978,27183606
moderate medium subangular blocky structure,Yes,51074979,27183607
massive,Yes,51074980,27183608
weak fine granular structure,Yes,51074994,27183813
moderate fine prismatic structure parting to moderate fine angular blocky structure,Yes,51074995,27183814
weak coarse subangular blocky structure,Yes,51074996,27183815
massive,Yes,51074997,27183816
weak very fine granular structure,Yes,51074998,27183703
moderate fine prismatic structure parting to moderate medium subangular blocky structure,Yes,51074999,27183704
weak medium and coarse prismatic structure,Yes,51075000,27183705
massive,Yes,51075001,27183706
weak very fine and fine granular structure,Yes,51075002,27183525
moderate fine and medium subangular blocky structure,Yes,51075003,27183526
weak medium prismatic structure parting to moderate medium subangular blocky structure,Yes,51075004,27183527
massive,Yes,51075005,27183528
weak fine granular structure,Yes,51075044,27183960
moderate medium angular blocky structure,Yes,51075045,27183961
structureless massive structure,Yes,51075046,27183962
moderate fine prismatic structure,Yes,51075047,27183963
moderate coarse granular structure,Yes,51075048,27184018
moderate fine subangular blocky structure,Yes,51075049,27184019
strong medium angular blocky structure,Yes,51075050,27184021
weak coarse subangular blocky structure,Yes,51075051,27184020
structureless massive structure,Yes,51075052,27184022
weak fine granular structure,Yes,51075114,27183762
moderate fine prismatic structure parts to moderate fine angular blocky structure,Yes,51075115,27183763
weak coarse subangular blocky structure,Yes,51075116,27183764
structureless massive structure,Yes,51075117,27183765
weak fine granular structure,Yes,51075118,27183926
moderate medium angular blocky structure,Yes,51075119,27183927
structureless massive structure,Yes,51075120,27183928
moderate fine prismatic structure,Yes,51075121,27183929
moderate medium prismatic structure parts to moderate medium angular blocky structure,Yes,51075122,27183931
weak coarse subangular blocky structure,Yes,51075123,27183932
structureless massive structure,Yes,51075124,27183933
weak fine granular structure,Yes,51075125,27183930
weak coarse prismatic structure,Yes,51075333,27183909
moderate medium angular blocky structure,Yes,51075334,27183908
moderate fine granular structure,Yes,51075335,27183907
massive,Yes,51075336,27183905
weak coarse prismatic structure,Yes,51075337,27183904
weak medium prismatic structure parts to strong medium subangular blocky structure,Yes,51075338,27183903
moderate fine granular structure,Yes,51075339,27183906
massive,Yes,51075340,27183916
weak coarse subangular blocky structure,Yes,51075341,27183915
moderate fine prismatic structure parts to moderate fine angular blocky structure,Yes,51075342,27183914
weak fine granular structure,Yes,51075343,27183917
massive,Yes,51075344,27183913
weak medium and coarse prismatic structure,Yes,51075345,27183912
moderate fine prismatic structure parts to moderate medium subangular blocky structure,Yes,51075346,27183911
weak very fine granular structure,Yes,51075347,27183910
