texcl,lieutex,chtgkey,chtkey
Silty clay loam,,102065331,103817534
Silty clay loam,,102065332,103817535
Silty clay,,102065333,103818309
Silty clay loam,,102065334,103817698
Silt loam,,102065335,103818310
Clay loam,,102065364,103817852
Sandy loam,,102065364,103817853
Silt loam,,102065365,103817708
Silt loam,,102065366,103818317
Silty clay loam,,102065367,103817870
Silt loam,,102065368,103817871
Silt loam,,102065369,103817872
Clay loam,,102065370,103817709
Loam,,102065371,103818318
Sandy clay loam,,102065372,103817873
Silty clay loam,,102065454,103818248
Silt loam,,102065455,103817637
Clay loam,,102065456,103818249
Silt loam,,102065457,103817785
Silty clay loam,,102065458,103817786
Loam,,102065459,103817787
Clay loam,,102065460,103817788
Silt loam,,102065461,103818250
Silty clay loam,,102065462,103817638
Loam,,102065463,103818251
Silt loam,,102065464,103818247
Loam,,102065769,103818661
Sandy loam,,102065770,103818194
Clay loam,,102065771,103818662
Loamy sand,,102065772,103818353
Silty clay loam,,102065772,103818354
Silt loam,,102065773,103817765
Silty clay loam,,102065774,103817766
Silt loam,,102065775,103817767
Silty clay loam,,102065807,103818124
Silty clay loam,,102065808,103818587
Silt loam,,102065809,103818067
Silty clay loam,,102065903,103817518
Silty clay loam,,102065904,103817681
Silty clay,,102065905,103818294
Silty clay loam,,102065338,103817539
Clay loam,,102065341,103817704
Silt loam,,102065342,103818314
Silty clay loam,,102065343,103817705
Loam,,102065344,103818315
Silt loam,,102065355,103817532
Loam,,102065356,103817533
Silty clay loam,,102065358,103817694
Silt loam,,102065359,103818305
Sandy loam,,102065373,103818319
Silty clay loam,,102065373,103818320
Silty clay loam,,102065375,103817868
Silt loam,,102065376,103817869
Silty clay loam,,102065453,103817636
Silty clay loam,,102065465,103817486
Loam,,102065470,103817784
Silt loam,,102065471,103817485
Silty clay loam,,102065766,103818489
Loamy sand,,102065779,103818237
Clay loam,,102065779,103818238
Loam,,102065810,103818534
Sandy loam,,102065811,103818370
Clay loam,,102065812,103818371
Silty clay loam,,102065814,103818559
Loam,,102065829,103817651
Sandy loam,,102065830,103817491
Silty clay loam,,102065906,103817682
Silt loam,,102065907,103818295
Silt loam,,102065910,103818254
Silty clay loam,,102065336,103817699
Silty clay,,102065337,103817856
Silty clay loam,,102065339,103817540
Silt loam,,102065340,103817541
Silty clay loam,,102065357,103817531
Loam,,102065360,103817695
Sandy loam,,102065361,103818306
Clay loam,,102065362,103817850
Silt loam,,102065363,103817851
Silt loam,,102065374,103817867
Sandy loam,,102065377,103817706
Silt loam,,102065378,103817707
Loam,,102065379,103818316
Silt loam,,102065466,103817782
Loam,,102065467,103817783
Silty clay loam,,102065468,103817639
Clay loam,,102065469,103817484
Silty clay loam,,102065472,103817780
Silty clay,,102065473,103817781
Silty clay loam,,102065767,103818490
Silt loam,,102065768,103818193
Silt loam,,102065776,103817768
Clay loam,,102065777,103817769
Sandy loam,,102065778,103817628
Loamy sand,,102065813,103818372
Silty clay loam,,102065813,103818373
Silty clay loam,,102065815,103818093
Silt loam,,102065816,103818560
Clay loam,,102065826,103818264
Loam,,102065827,103817650
Sandy clay loam,,102065828,103818265
Silty clay loam,,102065908,103817840
Silty clay,,102065909,103817841
Silty clay loam,,102065911,103817642
Clay loam,,102065345,103817861
Silt loam,,102065346,103817862
Silty clay loam,,102065347,103817863
Loam,,102065348,103817864
Silty clay loam,,102065349,103817854
Silty clay loam,,102065350,103817855
Clay loam,,102065351,103817696
Silt loam,,102065352,103818307
Silty clay loam,,102065353,103817697
Loam,,102065354,103818308
Loamy sand,,102065380,103817865
Loam,,102065380,103817866
Silt loam,,102065474,103818246
Silty clay loam,,102065475,103817635
Clay loam,,102065817,103818094
Silt loam,,102065818,103817951
Silty clay loam,,102065819,103817952
Clay loam,,102065820,103817953
Silt loam,,102065821,103817954
Silty clay loam,,102065822,103818095
Silt loam,,102065823,103817800
Silty clay loam,,102065824,103817801
Silt loam,,102065825,103817802
