texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
SIL,No ,Yes,Silt loam,51075048,102065910
SICL,No ,Yes,Silty clay loam,51075049,102065911
SICL,No ,Yes,Silty clay loam,51075050,102065912
SIL,No ,No ,Silt loam,51075050,102065913
L,No ,No ,Loam,51075051,102065914
SICL,No ,No ,Silty clay loam,51075051,102065915
CL,No ,Yes,Clay loam,51075051,102065916
L,No ,No ,Loam,51075052,102065917
SIL,No ,No ,Silt loam,51075052,102065918
CL,No ,Yes,Clay loam,51075052,102065919
SICL,No ,Yes,Silty clay loam,51074807,102065453
SICL,No ,Yes,Silty clay loam,51074808,102065454
SIL,No ,No ,Silt loam,51074808,102065455
CL,No ,No ,Clay loam,51074809,102065456
SIL,No ,No ,Silt loam,51074809,102065457
SICL,No ,Yes,Silty clay loam,51074809,102065458
L,No ,No ,Loam,51074809,102065459
CL,No ,No ,Clay loam,51074810,102065460
SIL,No ,No ,Silt loam,51074810,102065461
SICL,No ,Yes,Silty clay loam,51074810,102065462
L,No ,No ,Loam,51074810,102065463
SIL,No ,Yes,Silt loam,51074811,102065464
SICL,No ,Yes,Silty clay loam,51074812,102065465
SIL,No ,Yes,Silt loam,51074813,102065466
L,No ,No ,Loam,51074813,102065467
SICL,No ,No ,Silty clay loam,51074813,102065468
CL,No ,No ,Clay loam,51074813,102065469
L,No ,Yes,Loam,51074814,102065470
SIL,No ,No ,Silt loam,51074814,102065471
SICL,No ,Yes,Silty clay loam,51074815,102065472
SIC,No ,No ,Silty clay,51074815,102065473
SIL,No ,No ,Silt loam,51074816,102065474
SICL,No ,Yes,Silty clay loam,51074816,102065475
SICL,No ,Yes,Silty clay loam,51074742,102065331
SICL,No ,Yes,Silty clay loam,51074743,102065332
SIC,No ,No ,Silty clay,51074743,102065333
SICL,No ,Yes,Silty clay loam,51074744,102065334
SIL,No ,No ,Silt loam,51074744,102065335
SICL,No ,No ,Silty clay loam,51074745,102065336
SIC,No ,Yes,Silty clay,51074745,102065337
SICL,No ,Yes,Silty clay loam,51074746,102065338
SICL,No ,Yes,Silty clay loam,51074747,102065339
SIL,No ,No ,Silt loam,51074747,102065340
CL,No ,No ,Clay loam,51074748,102065341
SIL,No ,No ,Silt loam,51074748,102065342
SICL,No ,Yes,Silty clay loam,51074748,102065343
L,No ,No ,Loam,51074748,102065344
