unifiedcl,rvindicator,chkey,chunifiedkey
MH,Yes,51074742,95940789
CH,Yes,51074743,95940790
CL,No ,51074743,95940791
MH,No ,51074743,95940792
CH,No ,51074744,95940793
CL,Yes,51074744,95940794
CH,Yes,51074745,95940795
CL,No ,51074745,95940796
CL,No ,51074746,95940797
ML,No ,51074746,95940798
MH,Yes,51074746,95940799
CH,No ,51074747,95940800
CL,Yes,51074747,95940801
CL,Yes,51074748,95940802
CL,Yes,51074749,95940803
CL,No ,51074750,95940804
ML,No ,51074750,95940805
MH,Yes,51074750,95940806
CL,Yes,51074751,95940807
CL,Yes,51074752,95940808
CL,Yes,51074753,95940809
CL,No ,51074754,95940810
MH,Yes,51074754,95940811
ML,No ,51074754,95940812
CL,Yes,51074755,95940813
SC,No ,51074756,95940814
CL,Yes,51074756,95940815
CL-ML,No ,51074757,95940816
SC-SM,No ,51074757,95940817
CL,Yes,51074757,95940818
SC,No ,51074757,95940819
CL,No ,51074758,95940820
ML,Yes,51074758,95940821
CL,Yes,51074759,95940822
CL,Yes,51074760,95940823
SC,No ,51074761,95940824
CL,Yes,51074761,95940825
SC-SM,No ,51074762,95940826
SC,Yes,51074762,95940827
CL-ML,No ,51074762,95940828
CL,No ,51074762,95940829
SM,No ,51074762,95940830
CL,No ,51074763,95940831
ML,Yes,51074763,95940832
CL,Yes,51074764,95940833
SC,No ,51074765,95940834
CL,Yes,51074765,95940835
SC,No ,51074766,95940836
CL-ML,No ,51074766,95940837
CL,No ,51074766,95940838
SM,No ,51074766,95940839
SC-SM,Yes,51074766,95940840
ML,No ,51074807,95940921
CL,No ,51074807,95940922
MH,Yes,51074807,95940923
CL,Yes,51074808,95940924
CH,No ,51074808,95940925
CL,Yes,51074809,95940926
CL,Yes,51074810,95940927
CL,No ,51074811,95940928
ML,Yes,51074811,95940929
MH,No ,51074812,95940930
ML,No ,51074812,95940931
CL,Yes,51074812,95940932
CL,Yes,51074813,95940933
SC,No ,51074814,95940934
CL,Yes,51074814,95940935
CH,No ,51074815,95940936
CL,Yes,51074815,95940937
CL,Yes,51074816,95940938
CL,Yes,51074973,95941218
CL,Yes,51074974,95941219
SC,No ,51074975,95941220
CL,Yes,51074975,95941221
CL,Yes,51074976,95941222
SC,No ,51074976,95941223
SC-SM,No ,51074976,95941224
CL-ML,No ,51074976,95941225
CL,Yes,51074977,95941226
CL-ML,No ,51074977,95941227
CL,Yes,51074978,95941228
CL,Yes,51074979,95941229
CL-ML,No ,51074979,95941230
SC,No ,51074979,95941231
SC-SM,No ,51074979,95941232
SC-SM,No ,51074980,95941233
CL,No ,51074980,95941234
SC,Yes,51074980,95941235
CL-ML,No ,51074980,95941236
CL,Yes,51074994,95941261
CL,Yes,51074995,95941262
SC,No ,51074996,95941263
CL,Yes,51074996,95941264
CL,Yes,51074997,95941265
SC,No ,51074997,95941266
SC-SM,No ,51074997,95941267
CL-ML,No ,51074997,95941268
ML,No ,51074998,95941269
CL,Yes,51074998,95941270
CL,Yes,51074999,95941271
ML,No ,51074999,95941272
CL,Yes,51075000,95941273
ML,No ,51075000,95941274
CL,Yes,51075001,95941275
ML,Yes,51075002,95941276
CL,No ,51075002,95941277
CL,Yes,51075003,95941278
CL,Yes,51075004,95941279
SC,No ,51075004,95941280
CL,Yes,51075005,95941281
SC,No ,51075005,95941282
MH,Yes,51075044,95941357
CL,No ,51075045,95941358
MH,No ,51075045,95941359
CH,Yes,51075045,95941360
CH,No ,51075046,95941361
CL,Yes,51075046,95941362
CL,No ,51075047,95941363
CH,Yes,51075047,95941364
CL,Yes,51075048,95941365
ML,No ,51075048,95941366
CL,Yes,51075049,95941367
CL,Yes,51075050,95941368
CL,Yes,51075051,95941369
CL,Yes,51075052,95941370
ML,No ,51075114,95941494
MH,Yes,51075114,95941495
CL,No ,51075114,95941496
CL,Yes,51075115,95941497
CL,Yes,51075116,95941498
SC,No ,51075116,95941499
CL,Yes,51075117,95941500
CL-ML,No ,51075117,95941501
SC,No ,51075117,95941502
SC-SM,No ,51075117,95941503
MH,Yes,51075118,95941504
CH,Yes,51075119,95941505
CL,No ,51075119,95941506
MH,No ,51075119,95941507
CH,No ,51075120,95941508
CL,Yes,51075120,95941509
CH,Yes,51075121,95941510
CL,No ,51075121,95941511
CL,Yes,51075122,95941512
CL,Yes,51075123,95941513
CL,Yes,51075124,95941514
CL,No ,51075125,95941515
ML,No ,51075125,95941516
MH,Yes,51075125,95941517
CL,Yes,51075333,95941925
CL,Yes,51075334,95941926
CH,No ,51075334,95941927
MH,Yes,51075335,95941928
ML,No ,51075335,95941929
CL,No ,51075335,95941930
SC,No ,51075336,95941931
CL,Yes,51075336,95941932
CL,Yes,51075337,95941933
CL,Yes,51075338,95941934
CL,No ,51075339,95941935
ML,Yes,51075339,95941936
SC,Yes,51075340,95941937
SC,No ,51075341,95941938
CL,Yes,51075341,95941939
CL,Yes,51075342,95941940
MH,Yes,51075343,95941941
CL,No ,51075343,95941942
CL,Yes,51075344,95941943
CL,Yes,51075345,95941944
CL,Yes,51075346,95941945
MH,Yes,51075347,95941946
CL,No ,51075347,95941947
