featkind,featdept.l,featdept.r,featdept.h,featdepb.l,featdepb.r,featdepb.h,featthick.l,featthick.r,featthick.h,cokey,codiagfeatkey
Mollic epipedon,0,0,0,61,69,91,61,69,91,17483836,8435904
Cambic horizon,61,69,91,97,127,152,30,58,91,17483836,8435905
Aquic conditions,61,69,91,152,152,152,61,83,91,17483836,8435906
Mollic epipedon,0,0,0,25,53,61,25,53,61,17483837,8435907
Cambic horizon,25,53,61,114,175,191,85,122,152,17483837,8435908
Lithologic discontinuity,102,112,152,102,112,152,0,0,0,17483837,8435909
Aquic conditions,25,53,61,152,200,200,91,147,175,17483837,8435910
Mollic epipedon,0,0,0,25,46,61,25,46,61,17483838,8435911
Aquic conditions,25,46,61,152,152,152,91,106,127,17483838,8435912
Cambic horizon,25,46,61,56,104,117,25,58,89,17483838,8435913
Lithologic discontinuity,91,142,152,91,142,152,0,0,0,17483838,8435914
Calcic horizon,0,0,41,15,46,76,15,46,71,17483838,8435915
Mollic epipedon,0,0,0,25,48,61,25,48,61,17483839,8435916
Cambic horizon,25,48,61,102,119,165,61,71,119,17483839,8435917
Aquic conditions,25,36,61,152,152,200,91,116,175,17483839,8435918
Lithologic discontinuity,102,104,152,102,104,152,0,0,0,17483839,8435919
Mollic epipedon,0,0,0,25,28,36,25,28,36,17483840,8435920
Albic horizon,25,28,36,35,38,61,10,10,25,17483840,8435921
Lithologic discontinuity,76,104,137,76,104,137,0,0,0,17483840,8435922
Aquic conditions,0,28,30,152,152,200,122,124,200,17483840,8435923
Argillic horizon,35,38,61,102,124,165,41,86,100,17483840,8435924
Mollic epipedon,0,0,0,25,41,48,25,41,48,17483841,8435925
Argillic horizon,25,41,48,102,125,178,61,84,117,17483841,8435926
Lithologic discontinuity,102,125,152,102,125,152,0,0,0,17483841,8435927
Mollic epipedon,0,0,0,25,53,61,25,53,61,17483853,8435928
Cambic horizon,25,53,61,114,175,191,85,122,152,17483853,8435929
Lithologic discontinuity,102,112,152,102,112,152,0,0,0,17483853,8435930
Lithologic discontinuity,102,114,152,102,114,152,0,0,0,17483854,8435931
Aquic conditions,30,46,50,152,152,200,102,106,170,17483854,8435932
Mollic epipedon,0,0,0,25,46,50,25,46,50,17483854,8435933
Argillic horizon,25,46,50,114,124,165,74,78,140,17483854,8435934
Mollic epipedon,0,0,0,61,69,91,61,69,91,17483925,8436011
Cambic horizon,61,69,91,97,127,178,25,58,107,17483925,8436012
Argillic horizon,25,41,46,102,104,152,56,63,127,17483927,8436013
Mollic epipedon,0,0,0,25,41,46,25,41,46,17483927,8436014
Lithologic discontinuity,102,104,145,102,104,145,0,0,0,17483927,8436015
Mollic epipedon,0,0,0,25,48,61,25,48,61,17483943,8436026
Aquic conditions,25,36,61,152,152,200,91,116,175,17483943,8436027
Lithologic discontinuity,102,104,152,102,104,152,0,0,0,17483943,8436028
Cambic horizon,25,48,61,102,119,165,61,71,119,17483943,8436029
Mollic epipedon,0,0,0,61,69,91,61,69,91,17483944,8436030
Cambic horizon,61,69,91,97,127,152,30,58,91,17483944,8436031
Aquic conditions,61,69,91,152,152,152,61,83,91,17483944,8436032
Mollic epipedon,0,0,0,25,46,61,25,46,61,17483945,8436033
Aquic conditions,25,46,61,152,152,152,91,106,127,17483945,8436034
Cambic horizon,25,46,61,56,104,117,25,58,89,17483945,8436035
Lithologic discontinuity,91,142,152,91,142,152,0,0,0,17483945,8436036
Calcic horizon,0,0,41,15,46,76,15,46,71,17483945,8436037
Mollic epipedon,0,0,0,25,43,45,25,43,45,17484004,8436064
Aquic conditions,0,0,0,152,152,152,152,152,152,17484004,8436065
Cambic horizon,25,43,45,97,112,119,52,69,94,17484004,8436066
Argillic horizon,25,28,40,96,99,105,69,71,75,17484005,8436067
Mollic epipedon,0,0,0,25,28,40,25,28,40,17484005,8436068
Lithologic discontinuity,71,91,95,71,91,95,0,0,0,17484005,8436069
Aquic conditions,0,0,0,152,152,200,152,152,200,17484006,8436070
Cambic horizon,25,36,40,116,119,135,78,83,86,17484006,8436071
Mollic epipedon,0,0,0,25,36,40,25,36,40,17484006,8436072
Lithologic discontinuity,81,104,110,81,104,110,0,0,0,17484006,8436073
Aquic conditions,0,0,0,200,200,200,200,200,200,17484007,8436074
Cambic horizon,25,53,55,135,175,180,112,122,128,17484007,8436075
Mollic epipedon,0,0,0,25,53,55,25,53,55,17484007,8436076
Lithologic discontinuity,89,112,115,89,112,115,0,0,0,17484007,8436077
