geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Anthropogenic Feature,urban land,,NA,NA,Yes,17483926,26494218
Landform,till plains,,NA,1,Yes,17483927,26494215
Landform,moraines,,NA,1,No ,17483927,26494216
Landscape,uplands,,1,NA,Yes,17483927,26494217
Landform,ground moraines,,NA,1,Yes,17483853,26494172
Landform,till plains,,NA,1,No ,17483853,26494173
Landscape,uplands,,1,NA,Yes,17483853,26494174
Landform,till plains,,NA,1,Yes,17483854,26494168
Landform,ground moraines,,NA,1,No ,17483854,26494169
Landscape,uplands,,1,NA,Yes,17483854,26494170
Anthropogenic Feature,urban land,,NA,NA,Yes,17483855,26494171
Landform,till plains,,2,3,No ,17483836,26494219
Landform,depressions,,1,2,Yes,17483836,26494220
Landscape,uplands,,3,NA,Yes,17483836,26494221
Landform,till plains,,NA,1,Yes,17483837,26494129
Landform,ground moraines,,NA,1,No ,17483837,26494130
Landscape,uplands,,1,NA,Yes,17483837,26494131
Landform,depressions,,1,2,Yes,17483838,26494222
Landform,till plains,,2,3,No ,17483838,26494223
Landscape,uplands,,3,NA,Yes,17483838,26494224
Landform,stream terraces,,NA,1,No ,17483943,26494175
Landform,outwash plains,,1,2,Yes,17483943,26494176
Landform,till plains,,1,2,No ,17483943,26494177
Landform,swales,,NA,1,No ,17483943,26494178
Landscape,plains,,2,NA,Yes,17483943,26494179
Landform,depressions,,1,2,Yes,17483944,26494180
Landform,outwash plains,,2,3,No ,17483944,26494181
Landscape,plains,,3,NA,Yes,17483944,26494182
Landform,depressions,,NA,1,Yes,17483945,26494183
Landform,outwash plains,,1,2,No ,17483945,26494184
Landscape,plains,,2,NA,Yes,17483945,26494185
Landform,outwash plains,,1,2,Yes,17483839,26494135
Landform,swales,,NA,1,No ,17483839,26494136
Landform,stream terraces,,NA,1,No ,17483839,26494137
Landscape,plains,,2,NA,Yes,17483839,26494138
Landform,stream terraces,,1,2,No ,17483840,26494139
Landform,outwash plains,,1,2,No ,17483840,26494140
Landform,depressions,,NA,1,Yes,17483840,26494141
Landscape,plains,,2,NA,Yes,17483840,26494142
Landform,outwash plains,,NA,1,Yes,17483841,26494132
Landform,stream terraces,,NA,NA,No ,17483841,26494133
Landscape,plains,,1,NA,Yes,17483841,26494134
Landform,depressions,,1,2,Yes,17483924,26494154
Landscape,till plains,,2,NA,Yes,17483924,26494155
Landform,depressions,,1,2,Yes,17483925,26494152
Landscape,till plains,,2,NA,Yes,17483925,26494153
Landform,outwash plains,,NA,NA,Yes,17483911,26494084
Landform,ground moraines,,NA,NA,Yes,17483911,26494085
Landform,ground moraines,,NA,NA,Yes,17483912,26494044
Landform,end moraines,,NA,NA,Yes,17483912,26494045
Landform,end moraines,,NA,NA,Yes,17483913,26493954
Landform,ground moraines,,NA,NA,Yes,17483913,26493955
Landform,swales,,2,1,Yes,17484004,26494320
Landform,ground moraines,,3,1,No ,17484004,26494321
Landscape,uplands,,1,NA,Yes,17484004,26494322
Landform,ground moraines,,2,1,Yes,17484005,26494317
Landform,end moraines,,3,1,No ,17484005,26494318
Landscape,uplands,,1,NA,Yes,17484005,26494319
Landform,ground moraines,,2,1,Yes,17484006,26494325
Landscape,outwash plains,,1,NA,Yes,17484006,26494326
Landform,ground moraines,,2,1,Yes,17484007,26494323
Landscape,uplands,,1,NA,Yes,17484007,26494324
Landform,outwash plains,,NA,NA,Yes,17483905,26494034
Landform,ground moraines,,NA,NA,Yes,17483905,26494035
Landform,outwash plains,,NA,NA,Yes,17483906,26494001
Landform,stream terraces,,NA,NA,Yes,17483906,26494002
