cokey,mrulekey,mrulename,seqnum,rulekey,rulename,ruledepth,interpll,interpllc,interplr,interplrc,interphr,interphrc,interphh,interphhc,nullpropdatabool,defpropdatabool,incpropdatabool,cointerpkey
17483836,33265,AGR - Grape non-irrigated (MO),0,33265,AGR - Grape non-irrigated (MO),0,0,Not Rated,0,Not Rated,0,Not Rated,0,Not Rated,0,0,0,1553586797
17483836,33265,AGR - Grape non-irrigated (MO),1,33267,hort grape ponding,1,0,unsuited - Ponding,0,unsuited - Ponding,0,unsuited - Ponding,0,unsuited - Ponding,0,0,0,1553586798
17483836,33265,AGR - Grape non-irrigated (MO),2,33253,hort grape texture,1,0.024,unsuited - Texture,0.024,unsuited - Texture,0.024,unsuited - Texture,0.024,unsuited - Texture,0,0,0,1553586799
17483836,33265,AGR - Grape non-irrigated (MO),3,33255,hort grape wet layer,1,0.074,unsuited - Wet Layer,0.074,unsuited - Wet Layer,0.074,unsuited - Wet Layer,0.074,unsuited - Wet Layer,0,0,0,1553586800
17483836,33265,AGR - Grape non-irrigated (MO),4,33256,hort grape awc,1,0.605,moderately suited - AWC,0.605,moderately suited - AWC,0.605,moderately suited - AWC,0.605,moderately suited - AWC,0,0,0,1553586801
17483836,33265,AGR - Grape non-irrigated (MO),5,33262,hort grape slope,1,0.9,well suited - Slope,0.975,well suited - Slope,0.975,well suited - Slope,1,well suited - Slope,0,0,0,1553586802
17483836,26063,AWM - Animal Mortality Disposal (Catastrophic) (MO),0,26063,AWM - Animal Mortality Disposal (Catastrophic) (MO),0,1,Very Poorly Suited,1,Very Poorly Suited,1,Very Poorly Suited,1,Very Poorly Suited,0,0,0,1553586803
17483836,26063,AWM - Animal Mortality Disposal (Catastrophic) (MO),1,26055,"AWM-Depth to HWT  (24-72"") (Apparent)",1,1,~high water table  (winter-early spring),1,~high water table  (winter-early spring),1,~high water table  (winter-early spring),1,~high water table  (winter-early spring),0,0,0,1553586804
17483836,26063,AWM - Animal Mortality Disposal (Catastrophic) (MO),2,26059,AWM-Ponded > very brief (Value 1.0),1,1,~ponded (wetness),1,~ponded (wetness),1,~ponded (wetness),1,~ponded (wetness),0,0,0,1553586805
17483836,26063,AWM - Animal Mortality Disposal (Catastrophic) (MO),3,26064,AWM - Karst,1,1,Unsuitable - Karst or Sinkhole,1,Unsuitable - Karst or Sinkhole,1,Unsuitable - Karst or Sinkhole,1,Unsuitable - Karst or Sinkhole,0,0,0,1553586806
17483836,22382,FOR - Black Walnut Suitability Index (MO),0,22382,FOR - Black Walnut Suitability Index (MO),0,0,Unsuited,0,Unsuited,0,Unsuited,0,Unsuited,0,0,0,1553586807
17483836,22382,FOR - Black Walnut Suitability Index (MO),1,22314,BW: wetness,1,0,"Watertable: < 6""",0,"Watertable: < 6""",0,"Watertable: < 6""",0,"Watertable: < 6""",0,0,0,1553586808
17483836,22382,FOR - Black Walnut Suitability Index (MO),2,22309,BW: flood frequency,1,0,Flood Freq: None/Rare,0,Flood Freq: None/Rare,0,Flood Freq: None/Rare,0,Flood Freq: None/Rare,0,0,0,1553586809
17483836,22382,FOR - Black Walnut Suitability Index (MO),3,22311,BW: historic veg,1,0,Native Veg: Prairie in uplands,0,Native Veg: Prairie in uplands,0,Native Veg: Prairie in uplands,0,Native Veg: Prairie in uplands,0,0,0,1553586810
17483836,22382,FOR - Black Walnut Suitability Index (MO),4,22369,BW: Texture,1,0.6,Texture: Moderately suited,0.6,Texture: Moderately suited,0.6,Texture: Moderately suited,0.6,Texture: Moderately suited,0,0,0,1553586811
17483836,22382,FOR - Black Walnut Suitability Index (MO),5,22312,BW: landform,1,0.75,Landform: Footslope/Terrace,0.75,Landform: Footslope/Terrace,0.75,Landform: Footslope/Terrace,0.75,Landform: Footslope/Terrace,0,0,0,1553586812
17483836,52252,FOR - White Oak Suitability (MO),0,52252,FOR - White Oak Suitability (MO),0,0,Not Rated,0,Not Rated,0,Not Rated,0,Not Rated,0,0,0,1553586813
17483836,52252,FOR - White Oak Suitability (MO),1,52249,White Oak Water Table,1,0,Water Table < 60 cm,0,Water Table < 60 cm,0,Water Table < 60 cm,0,Water Table < 60 cm,0,0,0,1553586814
17483836,52252,FOR - White Oak Suitability (MO),2,52244,White Oak AWC,1,0.747,AWC 35 cm - 15 cm,0.747,AWC 35 cm - 15 cm,0.747,AWC 35 cm - 15 cm,0.747,AWC 35 cm - 15 cm,0,0,0,1553586815
17483836,52252,FOR - White Oak Suitability (MO),3,52245,White Oak Flooding Duration,1,0.75,"None, ext. brief, very brief",0.75,"None, ext. brief, very brief",0.75,"None, ext. brief, very brief",0.75,"None, ext. brief, very brief",0,0,0,1553586816
17483836,52252,FOR - White Oak Suitability (MO),4,52248,White Oak Soil Reaction,1,0.958,pH = 4.5 - 5.49 or 6.49 to 7.0,0.958,pH = 4.5 - 5.49 or 6.49 to 7.0,0.958,pH = 4.5 - 5.49 or 6.49 to 7.0,0.958,pH = 4.5 - 5.49 or 6.49 to 7.0,0,0,0,1553586817
17483836,26942,WMS - Sprinkler Irrigation RDC (IL),0,26942,WMS - Sprinkler Irrigation RDC (IL),0,1,Limitations,1,Limitations,1,Limitations,1,Limitations,0,0,0,1553586818
17483836,26942,WMS - Sprinkler Irrigation RDC (IL),1,12212,"Ponding, any (use to be copied 1027, >4hr) - MO2",1,1,Ponded,1,Ponded,1,Ponded,1,Ponded,0,0,0,1553586819
17483836,26942,WMS - Sprinkler Irrigation RDC (IL),2,12524,"Wetness - either, growing season, 60-90cm - MO2",1,1,"Saturation < 24"" depth during growing season",1,"Saturation < 24"" depth during growing season",1,"Saturation < 24"" depth during growing season",1,"Saturation < 24"" depth during growing season",0,0,0,1553586820
17483836,24388,AWM - Irrigation Disposal of Wastewater,0,24388,AWM - Irrigation Disposal of Wastewater,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1553586821
17483836,24388,AWM - Irrigation Disposal of Wastewater,1,201,Ponded > 4 hours,1,1,Ponding,1,Ponding,1,Ponding,1,Ponding,0,0,0,1553586822
17483836,24388,AWM - Irrigation Disposal of Wastewater,2,200,"Wet, Ground Water Near the Surface (60 - 120cm)",1,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,0,0,0,1553586823
17483836,24388,AWM - Irrigation Disposal of Wastewater,3,202,Percolation (1 - 4 um/sec) 0 to 60 Inches,1,0,Ksat not restrictive,0.306,Slow water movement,0.306,Slow water movement,0.962,Slow water movement,0,0,0,1553586824
17483836,235,AWM - Land Application of Municipal Sewage Sludge,0,235,AWM - Land Application of Municipal Sewage Sludge,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1553586825
17483836,235,AWM - Land Application of Municipal Sewage Sludge,1,201,Ponded > 4 hours,1,1,Ponding,1,Ponding,1,Ponding,1,Ponding,0,0,0,1553586826
17483836,235,AWM - Land Application of Municipal Sewage Sludge,2,200,"Wet, Ground Water Near the Surface (60 - 120cm)",1,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,0,0,0,1553586827
17483836,235,AWM - Land Application of Municipal Sewage Sludge,3,202,Percolation (1 - 4 um/sec) 0 to 60 Inches,1,0,Ksat not restrictive,0.306,Slow water movement,0.306,Slow water movement,0.962,Slow water movement,0,0,0,1553586828
17483836,205,AWM - Manure and Food Processing Waste,0,205,AWM - Manure and Food Processing Waste,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1553586829
17483836,205,AWM - Manure and Food Processing Waste,1,201,Ponded > 4 hours,1,1,Ponding,1,Ponding,1,Ponding,1,Ponding,0,0,0,1553586830
17483836,205,AWM - Manure and Food Processing Waste,2,200,"Wet, Ground Water Near the Surface (60 - 120cm)",1,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,0,0,0,1553586831
17483836,205,AWM - Manure and Food Processing Waste,3,10270,Intake Rate,1,0.5,Leaching,0.5,Leaching,0.5,Leaching,0.5,Leaching,0,0,0,1553586832
