comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
NA,NA,NA,Drummer,Series,No ,"DRAINED, MAAT>50",,0,0.5,2,NA,91,NA,Negligible,5,48,6,None - deposition,Crop cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,180,218,285,0,200,360,"outwash plains, ground moraines",NA,0.09,NA,9,11,12,810,890,1015,NA,NA,NA,160,170,180,2,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,NA,NA,NA,B/D,Low,High,"Fine-silty, mixed, superactive, mesic Typic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls,fine-silty,,superactive,not used,mesic,,mesic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,183947,17483905
NA,100,NA,Blackberry,Series,Yes,MAAT>50,,2,3.5,5,NA,76,NA,Low,5,48,6,Class 1,Crop cover,Row crop,,No,Moderately well drained,200,250,300,0,135,360,"outwash plains, stream terraces",NA,0.09,NA,9,11,12,810,890,1015,NA,NA,NA,160,170,180,2,e,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,NA,NA,NA,C,Low,High,"Fine-silty, mixed, superactive, mesic Oxyaquic Argiudolls",Mollisols,Udolls,Argiudolls,Oxyaquic Argiudolls,fine-silty,,superactive,not used,mesic,,mesic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,183947,17483906
0,2,9,Sable,Series,No ,,drained,0,0.5,2,NA,61,NA,Negligible,5,48,6,None - deposition,Crop cover,Row crop,,Yes,Poorly drained,211,234,258,0,200,360,"ground moraines on uplands, swales on uplands",NA,0.16,NA,9,10,12,894,961,1067,NA,NA,NA,165,170,180,2,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,B/D,Low,High,"Fine-silty, mixed, superactive, mesic Typic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,183929,17484004
88,92,100,Lisbon,Series,Yes,,,0,0.9,2,NA,91,NA,Low,5,48,6,Class 1,Crop cover,Row crop,,No,Somewhat poorly drained,211,234,258,0,200,360,"end moraines on uplands, ground moraines on uplands",NA,0.16,NA,9,10,12,894,961,1067,NA,NA,NA,165,170,180,1,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine-silty, mixed, superactive, mesic Aquic Argiudolls",Mollisols,Udolls,Argiudolls,Aquic Argiudolls,fine-silty,not used,superactive,not used,mesic,Aquic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,183929,17484005
0,3,9,Drummer,Series,No ,,drained,0,0.5,2,NA,91,NA,Negligible,5,48,6,None - deposition,Crop cover,Row crop,,Yes,Poorly drained,211,234,258,0,200,360,ground moraines on outwash plains,NA,0.16,NA,9,10,12,894,961,1067,NA,NA,NA,165,170,180,2,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,B/D,Low,High,"Fine-silty, mixed, superactive, mesic Typic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,183929,17484006
0,3,9,Elpaso,Series,No ,,drained,0,0.5,2,NA,76,NA,Negligible,5,48,6,None - deposition,Crop cover,Row crop,,Yes,Poorly drained,211,234,258,0,200,360,ground moraines on uplands,NA,0.16,NA,9,10,12,894,961,1067,NA,NA,NA,165,170,180,2,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,B/D,Moderate,High,"Fine-silty, mixed, superactive, mesic Typic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,183929,17484007
NA,NA,NA,Drummer,Series,No ,"DRAINED, MAAT>50",,0,0.5,2,NA,91,NA,Negligible,5,48,6,None - deposition,Crop cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,180,218,311,0,200,360,"outwash plains, ground moraines",NA,0.09,NA,8.5,11,12,810,890,1015,NA,NA,NA,150,170,180,2,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,NA,NA,NA,B/D,Low,High,"Fine-silty, mixed, superactive, mesic Typic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls,fine-silty,,superactive,not used,mesic,,mesic,tenth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,183927,17483911
NA,NA,NA,Elpaso,Series,No ,DRAINED,,0,0.5,2,NA,76,NA,Negligible,5,48,6,None - deposition,Crop cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,165,225,285,0,200,360,"ground moraines, end moraines",NA,0.09,NA,9,11,12,711,864,1016,NA,NA,NA,140,160,180,2,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,NA,NA,NA,B/D,Moderate,High,"Fine-silty, mixed, superactive, mesic Typic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls,fine-silty,,superactive,not used,mesic,,mesic,tenth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,183927,17483912
NA,90,NA,Danabrook,Series,Yes,,,2,3.5,5,NA,76,NA,Low,5,48,6,Class 1,Crop cover,Row crop,,No,Moderately well drained,189,250,311,0,200,360,"ground moraines, end moraines",NA,0.23,NA,7,9,11,750,883,1016,NA,NA,NA,140,160,180,2,e,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,NA,NA,NA,C,Low,High,"Fine-silty, mixed, superactive, mesic Oxyaquic Argiudolls",Mollisols,Udolls,Argiudolls,Oxyaquic Argiudolls,fine-silty,,superactive,not used,mesic,,mesic,tenth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,183927,17483913
0,5,9,Peotone,Series,No ,,long duration ponding,0,0.5,2,NA,46,NA,Negligible,NA,NA,,None - deposition,Grass/herbaceous cover,Other grass/herbaceous cover,Neither wooded nor farmable under natural conditions,Yes,Very poorly drained,152,219,310,0,200,360,depressions on till plains,NA,NA,NA,8,10.5,12.5,838,978,1092,NA,NA,NA,140,170,195,4,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,,,,"Fine, smectitic, mesic Cumulic Vertic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Cumulic Vertic Endoaquolls,fine,not used,not used,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,183920,17483924
91,95,100,Peotone,Series,Yes,,drained,0,0.5,2,NA,46,NA,Negligible,5,48,6,None - deposition,Crop cover,Row crop,Farmable under natural conditions,Yes,Very poorly drained,152,220,310,0,200,360,depressions on till plains,NA,0.16,NA,8,10.5,12.5,838,978,1092,NA,NA,NA,140,170,195,3,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine, smectitic, mesic Cumulic Vertic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Cumulic Vertic Endoaquolls,fine,not used,not used,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,183920,17483925
0,5,9,Drummer,Series,No ,,drained,0,0.5,2,NA,91,NA,Negligible,5,48,6,None - deposition,Crop cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,131,206,294,0,200,360,"stream terraces on outwash plains on plains, swales on outwash plains on plains",NA,0.16,NA,8,11,12,850,965,1085,NA,NA,NA,160,170,190,2,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,B/D,Low,High,"Fine-silty, mixed, superactive, mesic Typic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,183909,17483839
