pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
NA,Clayey,,Colluvium,NA,12637188,17710034
1,,,Loess,NA,12637189,17710035
2,,,Till,NA,12637189,17710036
1,,,Calcareous loess,NA,12637190,17710037
1,,glacial,Drift,NA,12637190,17710038
1,,,Loess,NA,12637191,17710039
2,Loamy,stratified,Outwash,NA,12637191,17710040
2,Loamy,stratifed,Outwash,NA,12637192,17710041
1,,,Loess,NA,12637192,17710042
2,Loamy,stratified,Outwash,NA,12637193,17710043
1,,,Loess,NA,12637193,17710044
1,,,Loess,NA,12637204,17710066
2,,,Till,NA,12637204,17710067
1,,,Loess,NA,12637205,17710068
2,Loamy,,Till,NA,12637205,17710069
1,Fine-silty,,Loess,NA,12637254,17710161
2,Loamy,,Outwash,NA,12637254,17710162
1,,,Loess,NA,12637255,17710163
1,,,Outwash,NA,12637255,17710164
1,Fine-silty,,Loess,NA,12637259,17710171
2,Loamy,,Outwash,NA,12637259,17710172
1,,,Loess,NA,12637260,17710173
1,,,Till,NA,12637260,17710174
1,,,Loess,NA,12637261,17710175
1,,,Till,NA,12637261,17710176
NA,Silty and clayey,,Colluvium,NA,12637271,17710195
NA,Silty and clayey,,Colluvium,NA,12637272,17710196
2,Loamy,,Till,NA,12637273,17710197
1,,,Loess,NA,12637273,17710198
1,,,Loess,NA,12637289,17710229
2,Loamy,stratified,Outwash,NA,12637289,17710230
NA,Clayey,,Colluvium,NA,12637290,17710231
NA,,,Calcareous loess,NA,12637291,17710232
NA,,glacial,Drift,NA,12637291,17710233
NA,,,Loess,NA,12637350,17710335
1,,,Loess,NA,12637351,17710336
2,,,Till,NA,12637351,17710337
1,Fine-silty,,Loess,NA,12637352,17710338
2,Loamy,,Outwash,NA,12637352,17710339
1,,,Loess,NA,12637353,17710340
2,,,Till,NA,12637353,17710341
