pmgroupname,rvindicator,cokey,copmgrpkey
clayey colluvium,Yes,17483836,12637188
loess over till,Yes,17483837,12637189
calcareous loess and/or glacial drift,Yes,17483838,12637190
loess over stratified loamy outwash,Yes,17483839,12637191
loess over stratifed loamy outwash,Yes,17483840,12637192
loess over stratified loamy outwash,Yes,17483841,12637193
loess over till,Yes,17483853,12637204
loess over loamy till,Yes,17483854,12637205
Loess or other silty material and in the underlying outwash,Yes,17483905,12637254
Loess and in the underlying outwash,Yes,17483906,12637255
Loess or other silty material and in the underlying outwash,Yes,17483911,12637259
Loess or other silty material and in the underlying till,Yes,17483912,12637260
Loess or other silty material and in the underlying till,Yes,17483913,12637261
silty and clayey colluvium,Yes,17483924,12637271
silty and clayey colluvium,Yes,17483925,12637272
loess over loamy till,Yes,17483927,12637273
loess over stratified loamy outwash,Yes,17483943,12637289
clayey colluvium,Yes,17483944,12637290
calcareous loess and/or glacial drift,Yes,17483945,12637291
loess,Yes,17484004,12637350
loess over till,Yes,17484005,12637351
fine-silty loess over loamy outwash,Yes,17484006,12637352
loess over till,Yes,17484007,12637353
