wndbrkht.l,wndbrkht.r,wndbrkht.h,plantsym,plantsciname,plantcomname,cokey,copwindbreakkey
NA,12,NA,PODE3,Populus deltoides,eastern cottonwood,17483911,94122252
NA,2,NA,COSES,Cornus sericea ssp. sericea,redosier dogwood,17483911,94122253
NA,2,NA,PHOP,Physocarpus opulifolius,common ninebark,17483911,94122254
NA,2,NA,SANIC4,Sambucus nigra ssp. canadensis,common elderberry,17483911,94122255
NA,2,NA,VIOPA2,Viburnum opulus var. americanum,American cranberrybush,17483911,94122256
NA,9,NA,QUBI,Quercus bicolor,swamp white oak,17483911,94122257
NA,5,NA,QUIM,Quercus imbricaria,Shingle oak,17483911,94122258
NA,5,NA,THOC2,Thuja occidentalis,arborvitae,17483911,94122259
NA,2,NA,ARME6,Aronia melanocarpa,black chokeberry,17483911,94122260
NA,9,NA,BENI,Betula nigra,river birch,17483911,94122261
NA,2,NA,CEPHA,Cephalanthus,buttonbush,17483911,94122262
NA,2,NA,COAM2,Cornus amomum,silky dogwood,17483911,94122263
NA,2,NA,ILVE,Ilex verticillata,common winterberry,17483911,94122264
NA,9,NA,LIST2,Liquidambar styraciflua,sweetgum,17483911,94122265
NA,3,NA,VILE,Viburnum lentago,nannyberry,17483911,94122266
NA,9,NA,ACRU,Acer rubrum,red maple,17483911,94122267
NA,2,NA,LIBE3,Lindera benzoin,northern spicebush,17483911,94122268
NA,5,NA,CRVI2,Crataegus viridis,green hawthorn,17483911,94122269
NA,3,NA,CODR,Cornus drummondii,roughleaf dogwood,17483911,94122270
NA,3,NA,CRCR2,Crataegus crus-galli,cockspur hawthorn,17483911,94122271
NA,5,NA,CEOC,Celtis occidentalis,common hackberry,17483911,94122272
NA,12,NA,POCA19,Populus ×canadensis [deltoides × nigra],Carolina poplar,17483911,94122273
NA,12,NA,QUPA2,Quercus palustris,pin oak,17483911,94122274
NA,2,NA,CORA6,Cornus racemosa,gray dogwood,17483911,94122275
NA,2,NA,VACO,Vaccinium corymbosum,highbush blueberry,17483911,94122276
NA,5,NA,NYSY,Nyssa sylvatica,blackgum,17483911,94122277
NA,3,NA,ALSE2,Alnus serrulata,hazel alder,17483911,94122278
NA,3,NA,ALSE2,Alnus serrulata,hazel alder,17483912,94122279
NA,2,NA,CORA6,Cornus racemosa,gray dogwood,17483912,94122280
NA,2,NA,VACO,Vaccinium corymbosum,highbush blueberry,17483912,94122281
NA,12,NA,POCA19,Populus ×canadensis [deltoides × nigra],Carolina poplar,17483912,94122282
