soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,0,15,30,Moist,183477635,113778922
0,15,30,200,200,200,Wet,183477635,113778923
0,0,0,0,15,30,Moist,183477638,113778924
0,15,30,200,200,200,Wet,183477638,113778925
0,0,0,0,15,30,Moist,183477639,113778926
0,15,30,200,200,200,Wet,183477639,113778927
0,0,0,0,15,30,Moist,183477641,113778928
0,15,30,200,200,200,Wet,183477641,113778929
0,0,0,0,15,30,Moist,183477642,113778930
0,15,30,200,200,200,Wet,183477642,113778931
0,0,0,0,15,30,Moist,183477643,113778932
0,15,30,200,200,200,Wet,183477643,113778933
0,0,0,0,15,30,Moist,183477647,113778934
0,15,30,200,200,200,Wet,183477647,113778935
0,0,0,0,15,30,Moist,183477648,113778936
0,15,30,200,200,200,Wet,183477648,113778937
0,0,0,0,15,30,Moist,183477649,113778938
0,15,30,200,200,200,Wet,183477649,113778939
0,0,0,0,15,30,Moist,183477650,113778940
0,15,30,200,200,200,Wet,183477650,113778941
0,0,0,0,15,30,Moist,183477651,113778942
0,15,30,200,200,200,Wet,183477651,113778943
0,15,30,200,200,200,Wet,183477659,113778944
0,0,0,0,15,30,Moist,183477659,113778945
0,15,30,200,200,200,Wet,183477662,113778946
0,0,0,0,15,30,Moist,183477662,113778947
0,15,30,200,200,200,Wet,183477664,113778948
0,0,0,0,15,30,Moist,183477664,113778949
0,0,0,0,15,30,Moist,183477666,113778950
0,15,30,200,200,200,Wet,183477666,113778951
0,0,0,0,15,30,Moist,183477670,113778952
0,15,30,200,200,200,Wet,183477670,113778953
0,0,0,0,15,30,Moist,183477674,113778954
0,15,30,200,200,200,Wet,183477674,113778955
0,15,30,200,200,200,Wet,183477675,113778956
0,0,0,0,15,30,Moist,183477675,113778957
0,0,0,0,15,30,Moist,183477678,113778958
0,15,30,200,200,200,Wet,183477678,113778959
0,0,0,0,15,30,Moist,183477679,113778960
0,15,30,200,200,200,Wet,183477679,113778961
0,15,30,200,200,200,Wet,183477682,113778962
0,0,0,0,15,30,Moist,183477682,113778963
0,0,0,0,15,30,Moist,183477684,113778964
0,15,30,200,200,200,Wet,183477684,113778965
0,0,0,0,15,30,Moist,183477687,113778966
0,15,30,200,200,200,Wet,183477687,113778967
0,0,0,0,15,30,Moist,183477688,113778968
0,15,30,200,200,200,Wet,183477688,113778969
0,0,0,0,15,30,Moist,183477691,113778970
0,15,30,200,200,200,Wet,183477691,113778971
0,0,0,0,15,30,Moist,183477694,113778972
0,15,30,200,200,200,Wet,183477694,113778973
0,0,0,30,46,61,Moist,183477695,113778974
30,46,61,200,200,200,Wet,183477695,113778975
0,0,0,30,46,61,Moist,183477698,113778976
30,46,61,200,200,200,Wet,183477698,113778977
0,0,0,30,46,61,Moist,183477699,113778978
30,46,61,200,200,200,Wet,183477699,113778979
0,0,0,30,46,61,Moist,183477702,113778980
30,46,61,200,200,200,Wet,183477702,113778981
0,0,0,30,46,61,Moist,183477703,113778982
30,46,61,200,200,200,Wet,183477703,113778983
0,15,30,200,200,200,Wet,183477840,113779064
0,0,0,0,15,30,Moist,183477840,113779065
0,0,0,0,15,30,Moist,183477844,113779066
0,15,30,200,200,200,Wet,183477844,113779067
0,15,30,200,200,200,Wet,183477845,113779068
0,0,0,0,15,30,Moist,183477845,113779069
0,0,0,0,15,30,Moist,183477847,113779070
0,15,30,200,200,200,Wet,183477847,113779071
0,0,0,0,15,30,Moist,183477849,113779072
0,15,30,200,200,200,Wet,183477849,113779073
0,0,0,30,46,61,Moist,183477858,113779074
30,46,61,114,124,180,Wet,183477858,113779075
114,124,180,200,200,200,Moist,183477858,113779076
0,0,0,30,46,61,Moist,183477859,113779077
30,46,61,114,124,180,Wet,183477859,113779078
114,124,180,200,200,200,Moist,183477859,113779079
0,0,0,30,46,61,Moist,183477860,113779080
30,46,61,114,124,180,Wet,183477860,113779081
114,124,180,200,200,200,Moist,183477860,113779082
0,0,0,30,46,61,Moist,183477861,113779083
30,46,61,114,124,180,Wet,183477861,113779084
114,124,180,200,200,200,Moist,183477861,113779085
0,0,0,30,46,61,Moist,183477862,113779086
30,46,61,114,124,180,Wet,183477862,113779087
114,124,180,200,200,200,Moist,183477862,113779088
0,15,30,203,203,203,Wet,183478439,113779523
0,0,0,0,15,30,Moist,183478439,113779524
0,0,0,0,15,30,Moist,183478442,113779525
0,15,30,203,203,203,Wet,183478442,113779526
0,0,0,0,15,30,Moist,183478443,113779527
0,15,30,203,203,203,Wet,183478443,113779528
0,15,30,203,203,203,Wet,183478446,113779529
0,0,0,0,15,30,Moist,183478446,113779530
0,0,0,0,15,30,Moist,183478447,113779531
0,15,30,203,203,203,Wet,183478447,113779532
0,0,0,61,84,107,Moist,183478451,113779533
61,84,107,200,200,200,Wet,183478451,113779534
0,0,0,61,84,107,Moist,183478454,113779535
61,84,107,200,200,200,Wet,183478454,113779536
0,0,0,61,84,107,Moist,183478458,113779537
61,84,107,200,200,200,Wet,183478458,113779538
0,15,30,203,203,203,Wet,183478499,113779558
0,0,0,0,15,30,Moist,183478499,113779559
0,0,0,0,15,30,Moist,183478502,113779560
0,15,30,203,203,203,Wet,183478502,113779561
0,0,0,0,15,30,Moist,183478503,113779562
0,15,30,203,203,203,Wet,183478503,113779563
0,15,30,203,203,203,Wet,183478506,113779564
0,0,0,0,15,30,Moist,183478506,113779565
0,0,0,0,15,30,Moist,183478507,113779566
0,15,30,203,203,203,Wet,183478507,113779567
0,0,0,0,15,30,Moist,183478512,113779568
0,15,30,203,203,203,Wet,183478512,113779569
0,0,0,0,15,30,Moist,183478513,113779570
0,15,30,203,203,203,Wet,183478513,113779571
0,15,30,203,203,203,Wet,183478514,113779572
0,0,0,0,15,30,Moist,183478514,113779573
0,15,30,203,203,203,Wet,183478515,113779574
0,0,0,0,15,30,Moist,183478515,113779575
0,0,0,0,15,30,Moist,183478516,113779576
0,15,30,203,203,203,Wet,183478516,113779577
0,0,0,61,84,107,Moist,183478523,113779578
61,84,107,91,122,152,Wet,183478523,113779579
91,122,152,203,203,203,Moist,183478523,113779580
0,0,0,61,84,107,Moist,183478524,113779581
61,84,107,91,122,152,Wet,183478524,113779582
91,122,152,203,203,203,Moist,183478524,113779583
91,122,152,203,203,203,Moist,183478525,113779584
0,0,0,61,84,107,Moist,183478525,113779585
61,84,107,91,122,152,Wet,183478525,113779586
0,0,0,0,15,30,Moist,183478643,113779664
0,15,30,200,200,200,Wet,183478643,113779665
0,0,0,0,15,30,Moist,183478644,113779666
0,15,30,200,200,200,Wet,183478644,113779667
0,0,0,0,15,30,Moist,183478645,113779668
0,15,30,200,200,200,Wet,183478645,113779669
0,0,0,0,15,30,Moist,183478646,113779670
0,15,30,200,200,200,Wet,183478646,113779671
0,0,0,0,15,30,Moist,183478647,113779672
0,15,30,200,200,200,Wet,183478647,113779673
0,0,0,0,15,30,Moist,183478648,113779674
0,15,30,200,200,200,Wet,183478648,113779675
0,0,0,0,15,30,Moist,183478649,113779676
0,15,30,200,200,200,Wet,183478649,113779677
0,0,0,0,15,30,Moist,183478650,113779678
0,15,30,200,200,200,Wet,183478650,113779679
0,0,0,0,7,15,Moist,183478651,113779680
0,7,15,203,203,203,Wet,183478651,113779681
0,0,0,0,7,15,Moist,183478652,113779682
0,7,15,203,203,203,Wet,183478652,113779683
0,7,15,203,203,203,Wet,183478653,113779684
0,0,0,0,7,15,Moist,183478653,113779685
0,0,0,0,7,15,Moist,183478654,113779686
0,7,15,203,203,203,Wet,183478654,113779687
0,0,0,0,15,30,Moist,183478655,113779688
0,15,30,200,200,200,Wet,183478655,113779689
0,0,0,0,15,30,Moist,183478656,113779690
0,15,30,200,200,200,Wet,183478656,113779691
0,0,0,0,15,30,Moist,183478657,113779692
0,15,30,200,200,200,Wet,183478657,113779693
0,0,0,0,15,30,Moist,183478658,113779694
0,15,30,200,200,200,Wet,183478658,113779695
0,0,0,0,15,30,Moist,183478659,113779696
0,15,30,200,200,200,Wet,183478659,113779697
0,0,0,0,15,30,Moist,183478660,113779698
0,15,30,200,200,200,Wet,183478660,113779699
0,0,0,61,81,107,Moist,183478676,113779700
61,81,107,114,114,165,Wet,183478676,113779701
114,114,165,200,200,200,Moist,183478676,113779702
0,0,0,61,81,107,Moist,183478677,113779703
61,81,107,114,114,165,Wet,183478677,113779704
114,114,165,200,200,200,Moist,183478677,113779705
0,0,0,61,81,107,Moist,183478678,113779706
61,81,107,114,114,165,Wet,183478678,113779707
114,114,165,200,200,200,Moist,183478678,113779708
0,0,0,0,15,30,Moist,183478859,113779845
0,15,30,200,200,200,Wet,183478859,113779846
0,0,0,0,15,30,Moist,183478860,113779847
0,15,30,200,200,200,Wet,183478860,113779848
0,0,0,0,15,30,Moist,183478861,113779849
0,15,30,200,200,200,Wet,183478861,113779850
0,0,0,0,15,30,Moist,183478862,113779851
0,15,30,200,200,200,Wet,183478862,113779852
0,0,0,0,15,30,Moist,183478863,113779853
0,15,30,200,200,200,Wet,183478863,113779854
0,0,0,0,15,30,Moist,183478872,113779855
0,15,30,200,200,200,Wet,183478872,113779856
0,0,0,0,15,30,Moist,183478873,113779857
0,15,30,200,200,200,Wet,183478873,113779858
0,0,0,0,15,30,Moist,183478877,113779859
0,15,30,200,200,200,Wet,183478877,113779860
0,0,0,0,15,30,Moist,183478880,113779861
0,15,30,200,200,200,Wet,183478880,113779862
0,0,0,0,15,30,Moist,183478881,113779863
0,15,30,200,200,200,Wet,183478881,113779864
0,0,0,0,15,30,Moist,183478882,113779865
0,15,30,200,200,200,Wet,183478882,113779866
0,0,0,0,15,30,Moist,183478885,113779867
0,15,30,200,200,200,Wet,183478885,113779868
0,15,30,200,200,200,Wet,183478888,113779869
0,0,0,0,15,30,Moist,183478888,113779870
0,0,0,0,15,30,Moist,183478891,113779871
0,15,30,200,200,200,Wet,183478891,113779872
0,15,30,200,200,200,Wet,183478892,113779873
0,0,0,0,15,30,Moist,183478892,113779874
0,15,30,200,200,200,Wet,183478894,113779875
0,0,0,0,15,30,Moist,183478894,113779876
0,15,30,200,200,200,Wet,183479591,113780395
0,15,30,200,200,200,Wet,183479592,113780396
0,15,30,200,200,200,Wet,183479593,113780397
