geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
NA,Interfluve,,,26493954,9698983
NA,Interfluve,,,26493955,9698984
NA,,,Talf,26494034,9699044
NA,,,Talf,26494035,9699045
NA,,,Talf,26494044,9699048
NA,,,Talf,26494045,9699049
NA,,,Talf,26494084,9699086
NA,,,Talf,26494085,9699087
NA,Base Slope,,,26494129,9699125
NA,Base Slope,,,26494130,9699124
NA,Interfluve,,,26494132,9699127
NA,,Tread,,26494133,9699128
NA,Base Slope,,,26494135,9699131
NA,Base Slope,,,26494136,9699130
NA,,,Talf,26494137,9699132
NA,,Tread,,26494139,9699133
NA,Base Slope,,Dip,26494140,9699134
NA,Base Slope,,,26494141,9699135
NA,,,Dip,26494152,9699191
NA,,,Dip,26494154,9699192
NA,,,Talf,26494168,9699136
NA,,,Talf,26494169,9699126
NA,Base Slope,,,26494172,9699137
NA,Base Slope,,,26494173,9699138
NA,,,Talf,26494175,9699145
NA,Base Slope,,,26494176,9699139
NA,Base Slope,,,26494177,9699140
NA,Base Slope,,,26494178,9699129
NA,,,Dip,26494180,9699142
NA,,,Dip,26494181,9699141
NA,,,Dip,26494183,9699143
NA,,,Dip,26494184,9699144
NA,Interfluve,,,26494215,9699168
NA,Interfluve,,,26494216,9699169
NA,,,Dip,26494219,9699170
NA,,,Dip,26494220,9699171
NA,,,Dip,26494222,9699172
NA,,,Dip,26494223,9699173
NA,Interfluve,,,26494317,9699242
NA,Interfluve,,,26494318,9699243
NA,,,Talf,26494320,9699245
NA,,,Talf,26494321,9699244
NA,,,Talf,26494323,9699246
NA,,,Talf,26494325,9699247
