hillslopeprof,cogeomdkey,cosurfmorhppkey
Summit,26493954,10946871
Backslope,26493954,10946872
Summit,26493955,10946873
Backslope,26493955,10946874
Summit,26494001,10946946
Backslope,26494001,10946947
Summit,26494002,10946948
Backslope,26494002,10946949
Toeslope,26494034,10946983
Toeslope,26494035,10946984
Toeslope,26494044,10946993
Toeslope,26494045,10946994
Toeslope,26494084,10947032
Toeslope,26494085,10947033
Toeslope,26494129,10947078
Toeslope,26494130,10947077
Summit,26494132,10947079
Footslope,26494132,10947080
Toeslope,26494135,10947083
Toeslope,26494136,10947082
Toeslope,26494139,10947084
Toeslope,26494140,10947085
Toeslope,26494141,10947086
Toeslope,26494152,10947148
Toeslope,26494154,10947149
Footslope,26494170,10947087
Summit,26494170,10947088
Toeslope,26494172,10947089
Toeslope,26494173,10947090
Toeslope,26494176,10947091
Toeslope,26494177,10947092
Toeslope,26494178,10947081
Toeslope,26494180,10947094
Toeslope,26494181,10947093
Toeslope,26494183,10947095
Toeslope,26494184,10947096
Backslope,26494215,10947124
Summit,26494215,10947125
Backslope,26494216,10947126
Summit,26494216,10947127
Toeslope,26494219,10947128
Toeslope,26494220,10947129
Toeslope,26494222,10947130
Toeslope,26494223,10947131
Summit,26494317,10947194
Footslope,26494317,10947195
Summit,26494318,10947196
Footslope,26494318,10947197
Toeslope,26494320,10947199
Toeslope,26494321,10947198
Toeslope,26494323,10947200
Toeslope,26494325,10947201
