shapeacross,shapedown,cogeomdkey,cosurfmorsskey
Convex,Convex,26493954,15389056
Convex,Convex,26493955,15389057
Linear,Linear,26494034,15389043
Linear,Linear,26494035,15389044
Concave,Linear,26494044,15389054
Concave,Linear,26494045,15389055
Linear,Linear,26494084,15389052
Linear,Linear,26494085,15389053
Concave,Linear,26494129,15388921
Concave,Linear,26494130,15388922
Linear,Linear,26494132,15388931
Linear,Linear,26494133,15388932
Linear,Linear,26494135,15388925
Concave,Linear,26494136,15388926
Linear,Linear,26494137,15388927
Concave,Linear,26494139,15388928
Concave,Linear,26494140,15388929
Concave,Concave,26494141,15388930
Concave,Concave,26494152,15389075
Concave,Concave,26494154,15389074
Linear,Linear,26494168,15388957
Linear,Linear,26494169,15388958
Linear,Linear,26494170,15388959
Linear,Linear,26494171,15388960
Concave,Linear,26494172,15388955
Concave,Linear,26494173,15388956
Linear,Linear,26494175,15389112
Linear,Linear,26494176,15389113
Linear,Linear,26494177,15389114
Concave,Linear,26494178,15389115
Concave,Concave,26494180,15389116
Concave,Concave,26494181,15389117
Concave,Concave,26494183,15389118
Concave,Concave,26494184,15389119
Convex,Convex,26494215,15389077
Convex,Convex,26494216,15389078
Linear,Linear,26494218,15389076
Concave,Concave,26494219,15388919
Concave,Concave,26494220,15388920
Concave,Concave,26494222,15388923
Concave,Concave,26494223,15388924
Linear,Linear,26494317,15389219
Linear,Linear,26494318,15389220
Linear,Linear,26494320,15389217
Linear,Linear,26494321,15389218
Concave,Linear,26494323,15389222
Linear,Linear,26494325,15389221
