taxminalogy,cokey,cotaxfmminkey
smectitic,17483836,13753856
mixed,17483837,13753857
mixed,17483838,13753858
mixed,17483839,13753859
mixed,17483840,13753860
mixed,17483841,13753861
mixed,17483853,13753872
smectitic,17483854,13753873
mixed,17483905,13753918
mixed,17483906,13753919
mixed,17483911,13753923
mixed,17483912,13753924
mixed,17483913,13753925
smectitic,17483924,13753935
smectitic,17483925,13753936
mixed,17483927,13753937
mixed,17483943,13753953
smectitic,17483944,13753954
mixed,17483945,13753955
mixed,17484004,13754013
mixed,17484005,13754014
mixed,17484006,13754015
mixed,17484007,13754016
