recdate,comptextkind,textcat,textsubcat,text,cokey,cotextkey
08/03/2018 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Urban land soil is a minor component.,17483926,17433943
08/03/2018 00:00:00,Nontechnical description,GENSOIL,generated,"The Catlin component makes up 99 percent of the map unit. Slopes are 2 to 5 percent. This component is on till plains on uplands. The parent material consists of loess over loamy till. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 32 inches during February, March, April. Organic matter content in the surface horizon is about 4 percent.  Nonirrigated land capability classification is 2e.  This soil does not meet hydric criteria.   ",17483927,17433944
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Elpaso soil is a minor component.,17483853,17433870
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,"The Flanagan component makes up 95 percent of the map unit. Slopes are 0 to 2 percent. This component is on till plains on uplands. The parent material consists of loess over loamy till. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is somewhat poorly drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 18 inches during January, February, March, April, May. Organic matter content in the surface horizon is about 4 percent.  Nonirrigated land capability classification is 1.  This soil does not meet hydric criteria.   ",17483854,17433871
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Urban land soil is a minor component.,17483855,17433872
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Peotone soil is a minor component.,17483836,17433853
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,"The Elpaso, drained component makes up 94 percent of the map unit. Slopes are 0 to 2 percent. This component is on till plains on uplands. The parent material consists of loess over till. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is poorly drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is frequently ponded. A seasonal zone of water saturation is at 6 inches during January, February, March, April, May. Organic matter content in the surface horizon is about 6 percent.  Nonirrigated land capability classification is 2w.  This soil meets hydric criteria.   ",17483837,17433854
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Harpster soil is a minor component.,17483838,17433855
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,"The Drummer, drained component makes up 94 percent of the map unit. Slopes are 0 to 2 percent. This component is on outwash plains on plains. The parent material consists of loess over stratified loamy outwash. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is poorly drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is frequently ponded. A seasonal zone of water saturation is at 6 inches during January, February, March, April, May. Organic matter content in the surface horizon is about 6 percent.  Nonirrigated land capability classification is 2w.  This soil meets hydric criteria.   ",17483943,17433960
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Peotone soil is a minor component.,17483944,17433961
11/10/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Harpster soil is a minor component.,17483945,17433962
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Drummer soil is a minor component.,17483839,17433856
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Thorp soil is a minor component.,17483840,17433857
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,"The Elburn component makes up 93 percent of the map unit. Slopes are 0 to 2 percent. This component is on outwash plains on plains. The parent material consists of loess over stratified loamy outwash. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is somewhat poorly drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 18 inches during January, February, March, April, May. Organic matter content in the surface horizon is about 5 percent.  Nonirrigated land capability classification is 1.  This soil does not meet hydric criteria.   ",17483841,17433858
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Peotone soil is a minor component.,17483924,17433941
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,"The Peotone, drained component makes up 95 percent of the map unit. Slopes are 0 to 2 percent. This component is on depressions on till plains. The parent material consists of silty and clayey colluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is very poorly drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is high. This soil is not flooded. It is frequently ponded. A seasonal zone of water saturation is at 6 inches during January, February, March, April, May, June. Organic matter content in the surface horizon is about 6 percent.  Nonirrigated land capability classification is 3w.  This soil meets hydric criteria.   ",17483925,17433942
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Drummer soil is a minor component.,17483911,17433928
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Elpaso soil is a minor component.,17483912,17433929
08/29/2016 00:00:00,Nontechnical description,GENSOIL,generated,"The Danabrook component makes up 90 percent of the map unit. Slopes are 2 to 5 percent. This component is on end moraines, ground moraines. The parent material consists of Loess or other silty material and in the underlying till. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 33 inches during February, March, April. Organic matter content in the surface horizon is about 5 percent.  Nonirrigated land capability classification is 2e.  This soil does not meet hydric criteria. The calcium carbonate equivalent within 40 inches, typically, does not exceed 10 percent.  ",17483913,17433930
05/01/2019 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Sable, drained soil is a minor component.",17484004,17434021
05/01/2019 00:00:00,Nontechnical description,GENSOIL,generated,"The Lisbon component makes up 92 percent of the map unit. Slopes are 0 to 2 percent. This component is on ground moraines on uplands. The parent material consists of loess over till. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is somewhat poorly drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 18 inches during January, February, March, April, May. Organic matter content in the surface horizon is about 4 percent.  Nonirrigated land capability classification is 1.  This soil does not meet hydric criteria. The calcium carbonate equivalent within 40 inches, typically, does not exceed 28 percent.  ",17484005,17434022
05/01/2019 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Drummer, drained soil is a minor component.",17484006,17434023
05/01/2019 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Elpaso, drained soil is a minor component.",17484007,17434024
08/06/2019 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Drummer soil is a minor component.,17483905,17433922
08/06/2019 00:00:00,Nontechnical description,GENSOIL,generated,"The Blackberry component makes up 100 percent of the map unit. Slopes are 2 to 5 percent. This component is on outwash plains, stream terraces. The parent material consists of Loess and in the underlying outwash. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 33 inches during February, March, April. Organic matter content in the surface horizon is about 4 percent.  Nonirrigated land capability classification is 2e.  This soil does not meet hydric criteria.   ",17483906,17433923
