taxfamother,cokey,cotaxfokey
not used,17483836,12199292
not used,17483837,12199293
not used,17483838,12199294
not used,17483839,12199295
not used,17483840,12199296
not used,17483841,12199297
not used,17483853,12199308
not used,17483854,12199309
not used,17483905,12199351
not used,17483906,12199352
not used,17483911,12199356
not used,17483912,12199357
not used,17483913,12199358
not used,17483924,12199368
not used,17483925,12199369
not used,17483927,12199370
not used,17483943,12199386
not used,17483944,12199387
not used,17483945,12199388
not used,17484004,12199442
not used,17484005,12199443
not used,17484006,12199444
not used,17484007,12199445
