areaovacres,lareaovkey,mukey,muareaovkey
35891,399697,183886,23685785
31988,399698,183886,23685786
1,399699,183886,23685787
3902,399700,183886,23685788
35891,399702,183886,23685789
57001,399697,183889,23685807
46848,399698,183889,23685808
584,399699,183889,23685809
9569,399700,183889,23685810
57001,399702,183889,23685811
65047,399697,183894,23685790
48502,399698,183894,23685791
370,399699,183894,23685792
16175,399700,183894,23685793
65047,399702,183894,23685794
42603,399697,183901,23685812
28709,399698,183901,23685813
213,399699,183901,23685814
13681,399700,183901,23685815
42603,399702,183901,23685816
9384,399697,183909,23685874
5449,399698,183909,23685875
44,399699,183909,23685876
3891,399700,183909,23685877
9384,399702,183909,23685878
2841,399697,183920,23685883
2448,399698,183920,23685884
393,399700,183920,23685885
2841,399702,183920,23685886
56027,399697,183927,23685708
33604,399698,183927,23685709
1359,399699,183927,23685710
21064,399700,183927,23685711
56027,399702,183927,23685712
4919,399697,183929,23685887
827,399698,183929,23685888
38,399699,183929,23685889
4054,399700,183929,23685890
4919,399702,183929,23685891
2405,399697,183947,23685776
2183,399698,183947,23685777
222,399700,183947,23685778
2405,399702,183947,23685779
