cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,mukey,mucrpyldkey
Grass-legume pasture,AUM,NA,9.1,NA,NA,NA,NA,183947,13173403
Corn,Bu,NA,173,NA,NA,NA,NA,183947,13173404
Grass-legume hay,Tons,NA,6.27,NA,NA,NA,NA,183947,13173405
Oats,Bu,NA,88,NA,NA,NA,NA,183947,13173406
Soybeans,Bu,NA,53,NA,NA,NA,NA,183947,13173407
Winter wheat,Bu,NA,66,NA,NA,NA,NA,183947,13173408
Grass-legume hay,Tons,4.59,5.6,5.64,NA,NA,NA,183929,13173639
Grass-legume pasture,AUM,7.5,7.66,9.41,NA,NA,NA,183929,13173640
Corn,Bu,149,187,189,NA,NA,NA,183929,13173641
Soybeans,Bu,46,59,59,NA,NA,NA,183929,13173642
Winter wheat,Bu,60,73,74,NA,NA,NA,183929,13173643
Oats,Bu,83,103,104,NA,NA,NA,183929,13173644
Corn,Bu,NA,166,NA,NA,NA,NA,183927,13173421
Oats,Bu,NA,89,NA,NA,NA,NA,183927,13173422
Grass-legume hay,Tons,NA,5.7,NA,NA,NA,NA,183927,13173423
Soybeans,Bu,NA,52,NA,NA,NA,NA,183927,13173424
Winter wheat,Bu,NA,65,NA,NA,NA,NA,183927,13173425
Grass-legume pasture,AUM,NA,8.4,NA,NA,NA,NA,183927,13173426
Corn,Bu,127,143,164,NA,NA,NA,183920,13173457
Soybeans,Bu,42,47,55,NA,NA,NA,183920,13173458
Winter wheat,Bu,48,53,61,NA,NA,NA,183920,13173459
Oats,Bu,60,68,78,NA,NA,NA,183920,13173460
Grass-legume hay,Tons,3.88,4.37,5.02,NA,NA,NA,183920,13173461
Grass-legume pasture,AUM,6.46,7.28,8.37,NA,NA,NA,183920,13173462
Corn,Bu,165,174,197,NA,NA,NA,183909,13173257
Soybeans,Bu,50,54,61,NA,NA,NA,183909,13173258
Winter wheat,Bu,61,65,74,NA,NA,NA,183909,13173259
Oats,Bu,79,83,94,NA,NA,NA,183909,13173260
Grass-legume hay,Tons,4.8,5.09,6.1,NA,NA,NA,183909,13173261
Grass-legume pasture,AUM,8.04,8.49,9.62,NA,NA,NA,183909,13173262
Soybeans,Bu,53,56,63,NA,NA,NA,183901,13173505
Winter wheat,Bu,57,62,73,NA,NA,NA,183901,13173506
Oats,Bu,83,88,100,NA,NA,NA,183901,13173507
Grass-legume hay,Tons,4.3,4.72,5.64,NA,NA,NA,183901,13173508
Corn,Bu,153,171,195,NA,NA,NA,183901,13173509
Grass-legume pasture,AUM,7.42,8.29,10.9,NA,NA,NA,183901,13173510
Winter wheat,Bu,53,59,66,NA,NA,NA,183894,13173251
Corn,Bu,154,172,195,NA,NA,NA,183894,13173252
Soybeans,Bu,49,56,63,NA,NA,NA,183894,13173253
Oats,Bu,79,89,102,NA,NA,NA,183894,13173254
Grass-legume hay,Tons,4.55,5.08,5.77,NA,NA,NA,183894,13173255
Grass-legume pasture,AUM,7.58,8.48,9.62,NA,NA,NA,183894,13173256
Corn,Bu,155,170,194,NA,NA,NA,183889,13173293
Soybeans,Bu,50,55,63,NA,NA,NA,183889,13173294
Winter wheat,Bu,60,67,79,NA,NA,NA,183889,13173295
Oats,Bu,81,89,102,NA,NA,NA,183889,13173296
Grass-legume hay,Tons,4.69,5.16,5.9,NA,NA,NA,183889,13173297
Grass-legume pasture,AUM,7.7,8.61,11.58,NA,NA,NA,183889,13173298
Corn,Bu,144,161,185,NA,NA,NA,183886,13173463
Soybeans,Bu,45,51,58,NA,NA,NA,183886,13173464
Winter wheat,Bu,56,62,72,NA,NA,NA,183886,13173465
Oats,Bu,76,86,98,NA,NA,NA,183886,13173466
Grass-legume hay,Bu,5.23,5.87,6.7,NA,NA,NA,183886,13173467
Grass-legume pasture,Bu,8.72,9.78,11.17,NA,NA,NA,183886,13173468
