recdate,mapunittextkind,textcat,textsubcat,text,mukey,mutextkey
07/05/2013 00:00:00,Correlation notes,combined units,,"This SDJR project data map unit harmonized six data map units linked to 21 Catlin silt loam, 2 to 5 percent slopes map units correlated primarily in MLRA 108A but also extending into MLRAs 95B, 108B, 110, and 115C.  This SDJR data map unit is based on Site/Pedon ID# 1986IL113053.",183886,1958227
07/05/2013 00:00:00,Correlation notes,built or copied from,,"This data mapunit was copied from DMU Description 0171B Catlin sil, 2-5 -- 86IL113053 108A, DMU ID 407839.  It was created and modified to unify all existing Catlin silt loam, 2 to 5 percent slopes DMUs into one, as part of the SDJR Initiative.",183886,1958228
07/29/2013 00:00:00,Correlation notes,,,MLRA map unit added to the legend as part of the SDJR Initiative.,183886,1958305
08/28/2013 00:00:00,Correlation notes,combined units,,"This SDJR project data map unit harmonized five data mapunits linked to 21 Flanagan silt loam, 0 to 2 percent slopes map units correlated primarily in MLRA 108A but also extending into MLRAs 95B, 108B, 110, and 115C.  This SDJR data map unit is based on Site/Pedon ID# 1956IL019001.",183889,1958222
08/13/2013 00:00:00,Correlation notes,built or copied from,,"This data mapunit is harmonized for MLRA 108A. All supporting pedons, old data mapunits, and mapunits will be linked to this DMU.  The Flanagan component of this data mapunit was copied from DMU Description 0154A Flanagan sil, 0-2, 108A 76IL019022; DMU ID# 151643.",183889,1958223
08/23/2013 00:00:00,Correlation notes,evaluation,,"The Flanagan silt loam, 0 to 2 percent slopes map units in MLRA 108A are parts of the Soil Data Join Re-correlation (SDJR) Initiative. This initiative will focus on the reconciling of map units with the same or similar names and on correlation of soil properties and interpretations across the MLRA. Map unit symbols and names will stay the same. The multiple map units and data map units will be consolidated to one national map unit symbol and one data map unit symbol. The new Flanagan data map unit will be modified using available data from existing data map units, NASIS pedons, and University of Illinois lab data. The map units will meet national and MO-11 standards. The Official Series Description will be updated as part of the process. 

This project will be looking at 154A - Flanagan silt loam, 0 to 2 percent slopes (21 map units) in Illinois and FgA - Flanagan silt loam, 0 to 2 percent slopes, in Vermillion County, Indiana. This new data map unit ID (DMUID) 675979 is being created for the Soil Data Join Recorrelation (SDJR) Initiative for the 154A and FgA map units. The new data map unit is created from a copy of the old DMUIID. The new data map unit will be modified using all available data from review of existing data map units, NASIS pedons, and University of Illinois laboratory data. 

Minor components were determined by evaluating what was listed as minor components in the published soil surveys along with what was populated in NASIS. The list was evaluated and the most common minor components were selected. All components were reviewed and edited. They passed all validations and requirements of National Bulletin 430-5-7. 

Flanagan soils are of large extent being correlated in MLRAs 95B, 108A, and 110 with small acreages extending into MLRAs 108B and 115C. They are mapped in central and north-central Illinois and in west-central Indiana. Within MLRA 108A there are 618,447 acres mapped Flanagan. The acreage can be revised once the project is approved by the management team and the map units are loaded into the project. The type location is in Champaign County, Illinois, in MLRA 108A.

The evaluation and assessment began with the querying of the Flanagan data map units (DMUs) and map units in NASIS. There are 21 map units and 5 DMUs for MLRA 108A. I also created a Flanagan distribution map using ArcMap to identify the survey areas and MLRAs in which Flanagan occurs. Upon further investigation inconsistencies between the geologic members and the parent materials were discovered. The Lemont Formation consists of three members: the Haeger Member as the uppermost unit, the Yorkville Member as the middle diamicton, and the Batestown Member as the lower boundary. The Yorkville Till Member extends well into the LaSalle County, Illinois, soil survey area.  The LaSalle County soil survey area is one area in which Flanagan is mapped. The Yorkville Member consists of calcareous, gray; fine textured (silty clay to silty clay loam) diamicton that contains lenses of gravel, sand, silt, and clay. However, the Flanagan soils consist of loess over loam till. In some areas-LaSalle County, in particular-Flanagan is mapped near silty clay loam till soils. Loam till is not commonly found in the Yorkville Member. Future projects involving transects need to be done on the Flanagan soils and nearby silty clay loam till soils within MLRA 108A to ascertain the type of till. The Flanagan soils occurring on the Yorkville Till Member may need to be re-correlated to a more appropriate soil. 

Within MLRA 108A, Flanagan silt loam, 0 to 2 percent slopes will be re-correlated to a single map unit concept and to a single NASIS map unit record. The data map unit (DMU) will be fully populated with the required data element. The TUDs from the original soil survey reports will be located, updated, and entered into NASIS (if need be). The TUD locations will also be located on screen to make sure they fall into the Flanagan units. Additionally, the Flanagan pedons that were previously sampled will be classified to the latest version of the Keys to Soil Taxonomy and linked to the Flanagan DMU record. 



",183889,1958224
09/03/2013 00:00:00,Correlation notes,,,MLRA map unit added to the legend as part of the SDJR Initiative.,183889,1958304
04/04/2014 00:00:00,Correlation notes,built or copied from,,"The Elpaso component of this data map unit was copied from DMU Description, 0356A Elpaso sicl, 0-2%, IL203, DMU ID 143780. This data mapunit was created and modified as part of the SDJR Initiative.",183894,1958259
04/10/2014 00:00:00,Correlation notes,combined units,,"This SDJR project data mapunit harmonized two data mapunits linked to 13 Elpaso silty clay loam, 0 to 2 percent slopes map units. Those map units and data mapunits were correlated primarily in MLRA 108A with additional acreages occurring in MLRAs 95B, 108B, 110, and 115C. The SDJR map unit is based on Site/Pedon ID 1991IL203085 with ranges updated based on the analysis of additional Elpaso pedons.",183894,1958260
05/15/2014 00:00:00,Correlation notes,,,MLRA mapunit added to the legend as part of the SDJR Initiative.,183894,1958319
02/13/2014 00:00:00,Correlation notes,built or copied from,,"This data mapunit is harmonized for MLRA 108A. All supporting pedons, old data mapunits, and mapunits will be linked to this DMU.  The Drummer component of this data mapunit was copied from DMU Description 0152A Drummer sicl, 0-2%, IL019, OSD; DMU ID# 408103.",183901,1958219
02/13/2014 00:00:00,Correlation notes,evaluation,attribute,"The ""Drummer silty clay loam, 0 to 2 percent slopes"" map units in MLRA 108A are part of the Soil Data Join Re-Correlation (SDJR) Initiative.  The map unit concepts will be identified from the soil survey manuscripts and the map units consolidated so that data population is consistent wherever they are mapped. 

Drummer is classified as: Fine-silty, mixed, superactive, mesic Typic Endoaquolls. The Drummer series consists of very deep, poorly drained soils formed in loess or other silty material and the underlying loamy stratified outwash on nearly level or depressional parts of outwash plains, stream terraces, and till plains of Wisconsinan Age. Slopes range from 0 to 2 percent. Mean annual air temperature is about 11 degrees C (52 degrees F) and mean annual precipitation is about 940 mm (37 inches). Drummer is the state soil and also a benchmark soil. 

Drummer is of large extent-correlated in MLRAs 95B, 97, 108A, 108B, 110, 111C, 111D, 113, 114A, 114B, 115A, 115C, and 121. Some of the Drummer soils mapped have gravelly substratum or stratified sandy substratum phases and will not be included in this SDJR project. These phases are found in Benton and Warren Counties, in MLRAs 110, 111C, 111D, and a little bit in 108A. These substratum phases will be investigated separately in a field project. The following Drummer mapunits will also be investigated in a separate Drummer SDJR project and given a different map unit name: 1) the Drummer soils that occur in MLRAs 114A, 114B, and 121, and 2) the map units that occur in MLRA 115A in Southern Indiana (Knox, Daviess, Pike, Gibson, Warrick, Posey, and Spencer Counties) should be investigated with 114A, 114B, and 121. The Drummer map unit from Edgar County (MLRA 115A occurs in a small extent in Edgar County) is included in this project. More than 500,000 acres have been correlated in Illinois alone but total acreage is just less than 1,500,000 acres. The type location is in Champaign County, Illinois, in MLRA 108A. 


During the initial evaluation and assessment it was identified there were 37 ""Drummer silty clay loam, 0 to 2 percent slopes, map units; 2 Drummer silty clay loam, map units; 1 Drummer silt loam, map unit; and 1 Drummer silty clay loams, undifferentiated group. The ""Drummer silty clay loams, undifferentiated groups"" was removed from the project because it required field work. 12 data map units (DMUs) were also identified: 123484, 151641, 142718, 408103, 142587, 140762, 453966, 122049, 142579, 140859, 140567, and 137219. However, 2 DMUs were removed: 142579 (because it was an undrained Drummer and the water table is different) and 122049 (because it was an undifferentiated group in Warren County, IN, and requires a special project). 

For now, the map units in Illinois and Benton County, Indiana, will be reviewed as one physiographic area, and that project is assigned to the 11-AUR, Aurora, Illinois office for re-correlation. The consolidation project will reduce the number of map units to one MLRA map unit and will reduce the numbers of data map units to one data map unit. The new DMU will be created using available data from existing data map units, NASIS pedons, and KSSL, and university lab data. The map units will meet national standards. The official series descriptions will be reviewed and updated during this process, as will all of the KSSL samples. Relevant pedons, primarily TUDs, will be entered into NASIS, and a representative component pedon will be selected.



",183901,1958220
