aashtocl,rvindicator,chkey,chaashtokey
A-4,Yes,52474321,85839878
A-6,No ,52474321,85839879
A-6,No ,52474322,85839880
A-7,Yes,52474322,85839881
A-4,No ,52474323,85839882
A-6,Yes,52474323,85839883
A-4,Yes,52474324,85839884
A-6,No ,52474324,85839885
A-6,Yes,52474325,85839886
A-7,No ,52474325,85839887
A-4,Yes,52474326,85839888
A-6,No ,52474326,85839889
A-4,Yes,52474402,85840047
A-6,No ,52474402,85840048
A-4,No ,52474403,85840049
A-6,Yes,52474403,85840050
A-7,No ,52474403,85840051
A-4,No ,52474404,85840052
A-6,Yes,52474404,85840053
A-7,No ,52474404,85840054
A-4,Yes,52474405,85840055
A-6,No ,52474406,85840056
A-7,Yes,52474406,85840057
A-4,Yes,52474407,85840058
A-6,No ,52474407,85840059
A-4,Yes,52474436,85840120
A-4,Yes,52474437,85840121
A-4,Yes,52474438,85840122
A-4,Yes,52474460,85840166
A-6,No ,52474460,85840167
A-7-6,Yes,52474461,85840168
A-7,No ,52474461,85840169
A-4,No ,52474462,85840170
A-6,Yes,52474462,85840171
A-6,Yes,52474463,85840172
A-4,No ,52474463,85840173
A-6,Yes,52474464,85840174
A-7,No ,52474464,85840175
A-4,No ,52474465,85840176
A-6,Yes,52474465,85840177
A-6,Yes,52474466,85840178
A-7,No ,52474466,85840179
A-7,No ,52474467,85840180
A-6,Yes,52474467,85840181
A-7-6,Yes,52474468,85840182
A-6,No ,52474468,85840183
A-7-6,Yes,52474469,85840184
A-6,No ,52474469,85840185
A-6,Yes,52474470,85840186
A-4,Yes,52474558,85840373
A-6,No ,52474558,85840374
A-6,No ,52474559,85840375
A-4,Yes,52474559,85840376
A-4,Yes,52474560,85840377
A-7,No ,52474561,85840378
A-4,No ,52474561,85840379
A-6,Yes,52474561,85840380
A-4,No ,52474562,85840381
A-7,No ,52474562,85840382
A-6,Yes,52474562,85840383
A-6,No ,52474563,85840384
A-4,Yes,52474563,85840385
A-6,Yes,52474564,85840386
A-7-6,No ,52474564,85840387
A-7-6,No ,52474565,85840388
A-4,No ,52474565,85840389
A-6,Yes,52474565,85840390
A-2-4,No ,52474566,85840391
A-6,Yes,52474566,85840392
A-4,No ,52474566,85840393
A-6,Yes,52474836,85840899
A-4,No ,52474836,85840900
A-6,Yes,52474837,85840901
A-6,Yes,52474838,85840902
A-7,No ,52474838,85840903
A-6,Yes,52474839,85840904
A-4,No ,52474839,85840905
A-4,Yes,52474840,85840906
A-6,No ,52474840,85840907
A-6,Yes,52474841,85840908
A-7,No ,52474841,85840909
A-4,No ,52474842,85840910
A-6,Yes,52474842,85840911
A-4,No ,52474843,85840912
A-6,Yes,52474843,85840913
A-6,Yes,52474844,85840914
A-4,No ,52474844,85840915
A-6,Yes,52474845,85840916
A-7,No ,52474845,85840917
A-6,Yes,52474846,85840918
A-7,No ,52474846,85840919
A-4,Yes,52474847,85840920
A-6,Yes,52474848,85840921
A-7,No ,52474848,85840922
A-4,Yes,52474849,85840923
A-6,No ,52474849,85840924
A-4,Yes,52474850,85840925
A-6,No ,52474850,85840926
A-4,No ,52474854,85840935
A-6,Yes,52474854,85840936
A-6,Yes,52474855,85840937
A-4,No ,52474855,85840938
A-6,Yes,52474856,85840939
A-7,No ,52474856,85840940
A-6,Yes,52474857,85840941
A-6,No ,52474858,85840942
A-4,Yes,52474858,85840943
A-7,No ,52474859,85840944
A-6,Yes,52474859,85840945
A-7,No ,52474860,85840946
A-6,Yes,52474860,85840947
A-4,No ,52474861,85840948
A-6,Yes,52474861,85840949
A-4,Yes,52474862,85840950
A-6,No ,52474862,85840951
A-7,No ,52474863,85840952
A-6,Yes,52474863,85840953
A-4,No ,52474864,85840954
A-6,Yes,52474864,85840955
A-7,No ,52474865,85840956
A-6,Yes,52474865,85840957
A-7-6,Yes,52474866,85840958
A-6,No ,52474866,85840959
A-7-6,Yes,52474867,85840960
A-6,No ,52474867,85840961
A-6,Yes,52474868,85840962
A-7,No ,52474868,85840963
A-6,Yes,52474869,85840964
A-6,Yes,52474870,85840965
A-6,Yes,52474871,85840966
A-7,No ,52474871,85840967
