desgnsuffix,chkey,chdesgnsfxkey
p,52474460,20863434
t,52474461,20863435
p,52474463,20863520
t,52474464,20863327
g,52474466,20863326
p,52474467,20863227
g,52474468,20863230
t,52474468,20863231
g,52474469,20863228
t,52474469,20863229
g,52474470,20863519
t,52474628,20863335
g,52474628,20863336
g,52474629,20863525
g,52474630,20863337
p,52474631,20863442
p,52474632,20863238
t,52474633,20863239
t,52474635,20863240
p,52474636,20863334
t,52474637,20863441
p,52474640,20863524
t,52474641,20863332
g,52474641,20863333
p,52474855,20863500
t,52474856,20863306
t,52474857,20863406
p,52474858,20863501
t,52474859,20863307
p,52474862,20863404
t,52474863,20863405
p,52474865,20863197
g,52474866,20863200
t,52474866,20863201
g,52474867,20863198
t,52474867,20863199
g,52474868,20863308
g,52474869,20863202
g,52474870,20863208
g,52474871,20863209
p,52474872,20863203
g,52474873,20863206
t,52474873,20863207
g,52474874,20863204
t,52474874,20863205
p,52474875,20863502
t,52474876,20863309
t,52474877,20863407
p,52474881,20863503
t,52474882,20863310
p,52474893,20863408
t,52474894,20863409
p,52474907,20863416
t,52474909,20863417
g,52474909,20863418
g,52474910,20863220
g,52474911,20863221
p,52474912,20863512
g,52474913,20863216
t,52474913,20863217
g,52474914,20863218
t,52474914,20863219
p,52474916,20863419
t,52474917,20863319
t,52474919,20863317
,52474921,20863318
p,52474922,20863511
