fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
0,2,3,,2,4,5,,,,52474321,90193389
0,2,3,,5,40,75,,,,52474321,90193390
0,1,1,,75,162,250,,,,52474321,90193391
0,2,3,,2,4,5,,,,52474322,90193392
0,2,3,,5,40,75,,,,52474322,90193393
0,1,1,,75,162,250,,,,52474322,90193394
0,3,6,,2,4,5,,,,52474323,90193395
0,3,6,,5,40,75,,,,52474323,90193396
0,1,1,,75,162,250,,,,52474323,90193397
0,3,6,,2,4,5,,,,52474324,90193398
0,2,3,,5,40,75,,,,52474324,90193399
0,1,1,,75,162,250,,,,52474324,90193400
0,6,11,,2,4,5,,,,52474325,90193401
0,5,9,,5,40,75,,,,52474325,90193402
0,1,1,,75,162,250,,,,52474325,90193403
0,7,14,,2,4,5,,,,52474326,90193404
0,6,11,,5,40,75,,,,52474326,90193405
0,1,1,,75,162,250,,,,52474326,90193406
0,5,9,,2,4,5,,,,52474402,90193556
0,3,6,,5,40,75,,,,52474402,90193557
0,2,3,,75,162,250,,,,52474402,90193558
0,1,1,,250,625,1000,,,,52474402,90193559
0,6,11,,2,4,5,,,,52474403,90193560
0,5,9,,5,40,75,,,,52474403,90193561
0,2,3,,75,162,250,,,,52474403,90193562
0,1,1,,250,625,1000,,,,52474403,90193563
0,6,11,,2,4,5,,,,52474404,90193564
0,5,9,,5,40,75,,,,52474404,90193565
0,2,3,,75,162,250,,,,52474404,90193566
0,1,1,,250,625,1000,,,,52474404,90193567
0,3,6,,2,4,5,,,,52474405,90193568
0,2,3,,5,40,75,,,,52474405,90193569
0,1,1,,75,162,250,,,,52474405,90193570
0,6,11,,2,4,5,,,,52474406,90193571
0,3,6,,5,40,75,,,,52474406,90193572
0,1,1,,75,162,250,,,,52474406,90193573
0,6,14,,2,4,5,,,,52474407,90193574
0,6,11,,5,40,75,,,,52474407,90193575
0,2,3,,75,162,250,,,,52474407,90193576
0,2,3,,2,4,5,,,,52474436,90193639
0,2,3,,5,40,75,,,,52474436,90193640
0,3,6,,2,4,5,,,,52474437,90193641
0,3,6,,5,40,75,,,,52474437,90193642
0,5,9,,2,4,5,,,,52474438,90193643
0,3,6,,5,40,75,,,,52474438,90193644
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474460,90193695
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474460,90193696
0,2,3,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474460,90193697
0,2,9,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474461,90193698
0,3,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474461,90193699
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474461,90193700
0,4,6,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474462,90193701
