hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
H1,NA,H,NA,1,NA,0,NA,NA,13,NA,NA,13,NA,0,0,0,0,0,0,95,97.5,100,95,97.5,100,80,90,100,65,77.5,90,NA,26.3,NA,NA,2.1,NA,NA,3,NA,NA,4.3,NA,NA,8.3,NA,NA,8.6,NA,NA,52.7,NA,NA,NA,NA,NA,NA,NA,15,21,27,NA,NA,NA,1,2,3,NA,NA,NA,1.2,1.3,1.4,NA,NA,NA,NA,1.36,NA,NA,4.23,9.17,14.11,0.16,0.18,0.19,NA,NA,NA,NA,28.2,NA,NA,13.1,NA,NA,47,NA,0,1.5,2.9,20,25,30,0,4,8,0,1,6,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,8,12.5,17,NA,NA,NA,3,8,15,5.1,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17961019,52474436
H2,NA,H,NA,2,NA,13,NA,NA,127,NA,NA,114,NA,0,0,0,0,0,0,90,95,100,90,95,100,80,87.5,95,60,72.5,85,NA,21.3,NA,NA,1.6,NA,NA,2.3,NA,NA,2.1,NA,NA,6.6,NA,NA,8.7,NA,NA,54.7,NA,NA,NA,NA,NA,NA,NA,18,24,30,NA,NA,NA,0.5,0.75,1,NA,NA,NA,1.25,1.43,1.6,NA,NA,NA,NA,1.5,NA,NA,4.23,9.17,14.11,0.14,0.16,0.18,NA,NA,NA,NA,28.7,NA,NA,14.3,NA,NA,42,NA,0,1.5,2.9,20,27.5,35,0,5,10,0,2,8,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0,8,11.5,15,NA,NA,NA,3,7,14,5.1,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17961019,52474437
H3,NA,H,NA,3,NA,127,NA,NA,183,NA,NA,56,NA,0,0,0,0,0,0,90,95,100,85,92.5,100,65,75,85,40,60,80,NA,40,NA,NA,5,NA,NA,10,NA,NA,10,NA,NA,10,NA,NA,5,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,15,22.5,30,NA,NA,NA,0.1,0.35,0.5,NA,NA,NA,1.2,1.4,1.6,NA,NA,NA,NA,1.47,NA,NA,4.23,23.29,42.34,0.1,0.13,0.16,NA,NA,NA,NA,21.7,NA,NA,13.1,NA,NA,43,NA,0,1.5,2.9,15,25,35,0,5,10,0,0,7,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,6,10.5,15,NA,NA,NA,3,8,14,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17961019,52474438
H1,NA,H,NA,1,NA,0,NA,NA,23,NA,NA,23,NA,0,0,0,0,1,2,95,97.5,100,90,95,100,90,95,100,75,82.5,90,NA,26.7,NA,NA,2.1,NA,NA,3.1,NA,NA,4.3,NA,NA,8.4,NA,NA,8.8,NA,NA,53.8,NA,NA,NA,NA,NA,NA,NA,12,19.5,27,NA,NA,NA,1,2,3,NA,NA,NA,1.3,1.4,1.5,NA,NA,NA,NA,1.47,NA,NA,4.23,9.17,14.11,0.17,0.2,0.22,NA,NA,NA,NA,27.7,NA,NA,13.1,NA,NA,42,NA,0,1.5,2.9,25,30,35,4,7,10,1,5,9,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0,8,14,20,NA,NA,NA,2,8,18,4.5,5.9,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17960977,52474405
H2,NA,H,NA,2,NA,23,NA,NA,91,NA,NA,68,NA,0,0,0,0,1,2,90,95,100,80,90,100,75,87.5,100,70,80,90,NA,30.8,NA,NA,2.6,NA,NA,3.1,NA,NA,5.9,NA,NA,10.6,NA,NA,8.6,NA,NA,30.7,NA,NA,NA,NA,NA,NA,NA,35,38.5,42,NA,NA,NA,0.5,0.75,1,NA,NA,NA,1.45,1.58,1.7,NA,NA,NA,NA,1.82,NA,NA,1.41,7.76,14.11,0.11,0.14,0.17,NA,NA,NA,NA,33.3,NA,NA,24.7,NA,NA,35,NA,3,4.5,5.9,35,42.5,50,10,17.5,25,6,14,25,0.24,0.24,0,0,0,0,0,0,0,0,0,0,0,0,14,20,26,NA,NA,NA,3,13,23,4.5,6.2,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17960977,52474406
H3,NA,H,NA,3,NA,91,NA,NA,203,NA,NA,112,NA,0,0,0,0,3,5,80,90,100,75,87.5,100,70,82.5,95,65,75,85,NA,36.7,NA,NA,3.3,NA,NA,4.6,NA,NA,6.4,NA,NA,11.5,NA,NA,10.9,NA,NA,37.3,NA,NA,NA,NA,NA,NA,NA,24,26,33,NA,NA,NA,0.1,0.2,0.3,NA,NA,NA,1.65,1.75,1.85,NA,NA,NA,NA,1.84,NA,NA,1.41,7.76,14.11,0.07,0.1,0.12,NA,NA,NA,NA,26.5,NA,NA,16.6,NA,NA,29,NA,0,1.5,2.9,25,32.5,40,4,9.5,15,0,6,13,0.32,0.32,8,16,22,0,0,0,0,0,0,0,0,0,9,14.5,20,NA,NA,NA,8,13,18,7.4,7.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17960977,52474407
H1,NA,H,NA,1,NA,0,NA,NA,8,NA,NA,8,NA,0,1,1,0,3,5,90,95,100,85,92.5,100,70,85,100,60,77.5,95,NA,20.5,NA,NA,1.4,NA,NA,2.1,NA,NA,1.9,NA,NA,6.5,NA,NA,8.6,NA,NA,54.5,NA,NA,NA,NA,NA,NA,NA,20,25,30,NA,NA,NA,1,1.5,2,NA,NA,NA,1.2,1.3,1.4,NA,NA,NA,NA,1.36,NA,NA,4.23,9.17,14.11,0.18,0.21,0.24,NA,NA,NA,NA,27.9,NA,NA,13.9,NA,NA,45,NA,0,1.5,2.9,25,32.5,40,5,12.5,20,0,8,20,0.32,0.32,0,10,20,0,0,0,0,0,0,0,0,0,14,18,22,NA,NA,NA,9,15,20,6.1,7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17960976,52474402
H2,NA,H,NA,2,NA,8,NA,NA,36,NA,NA,28,NA,0,1,1,0,3,5,85,92.5,100,80,90,100,65,82.5,100,50,72.5,95,NA,36.5,NA,NA,3.3,NA,NA,4.6,NA,NA,6.3,NA,NA,11.4,NA,NA,10.9,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,18,27,30,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.3,1.45,1.6,NA,NA,NA,NA,1.52,NA,NA,1.41,7.76,14.11,0.14,0.18,0.22,NA,NA,NA,NA,28.5,NA,NA,15.4,NA,NA,40,NA,0,1.5,2.9,20,35,50,5,15,25,0,9,27,0.32,0.32,0,20,40,0,0,0,0,0,0,0,0,0,11,15,19,NA,NA,NA,7,13,17,6.1,7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17960976,52474403
H3,NA,H,NA,3,NA,36,NA,NA,152,NA,NA,116,NA,0,1,1,0,3,5,85,92.5,100,80,90,100,65,82.5,100,50,72.5,95,NA,36.5,NA,NA,3.3,NA,NA,4.6,NA,NA,6.3,NA,NA,11.4,NA,NA,10.9,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,18,27,30,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.7,1.78,1.85,NA,NA,NA,NA,1.87,NA,NA,1.41,7.76,14.11,0.07,0.09,0.11,NA,NA,NA,NA,28,NA,NA,18.6,NA,NA,28,NA,0,1.5,2.9,20,35,50,5,15,25,0,9,27,0.32,0.32,10,28,45,0,0,0,0,0,0,0,0,0,11,14.5,18,NA,NA,NA,7,13,16,6.1,7.3,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17960976,52474404
H1,NA,H,NA,1,NA,0,NA,NA,20,NA,NA,20,NA,0,0,0,0,1,2,95,97.5,100,90,95,100,85,92.5,100,65,77.5,90,NA,26.5,NA,NA,2.1,NA,NA,3,NA,NA,4.3,NA,NA,8.3,NA,NA,8.8,NA,NA,53.5,NA,NA,NA,NA,NA,NA,NA,15,20,25,NA,NA,NA,2,3,4,NA,NA,NA,1.3,1.4,1.5,NA,NA,NA,NA,1.47,NA,NA,4.23,9.17,14.11,0.17,0.19,0.21,NA,NA,NA,NA,28.8,NA,NA,14.6,NA,NA,42,NA,0,1.5,2.9,22,30,38,3,8.5,14,0,5,13,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,12,16,20,NA,NA,NA,4,9,14,5.1,5.8,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17960877,52474324
