structgrpname,rvindicator,chkey,chstructgrpkey
weak medium subangular blocky structure parting to moderate medium granular structure,Yes,52474321,28350735
moderate medium subangular blocky structure,Yes,52474322,28350323
moderate medium subangular blocky structure,Yes,52474323,28350736
weak medium subangular blocky structure parting to moderate medium granular structure,Yes,52474324,28350324
moderate medium subangular blocky structure,Yes,52474325,28350463
weak medium subangular blocky structure,Yes,52474326,28350464
moderate fine granular structure,Yes,52474402,28350742
moderate fine subangular blocky structure,Yes,52474403,28350331
structureless massive structure,Yes,52474404,28350470
weak fine and medium granular structure,Yes,52474405,28350471
moderate medium and coarse subangular blocky structure,Yes,52474406,28350472
structureless massive structure,Yes,52474407,28350473
weak medium granular structure,Yes,52474436,28350338
weak medium subangular blocky structure,Yes,52474437,28350750
structureless massive structure,Yes,52474438,28350479
weak medium subangular blocky structure parts to weak medium granular structure,Yes,52474460,28350405
moderate medium subangular blocky structure,Yes,52474461,28350406
structureless massive structure,Yes,52474462,28350407
weak medium subangular blocky structure parts to moderate medium granular structure,Yes,52474463,28350870
moderate medium subangular blocky structure,Yes,52474464,28350569
structureless massive structure,Yes,52474465,28350404
moderate coarse prismatic structure,Yes,52474466,28350568
moderate medium granular structure,Yes,52474467,28350259
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,52474468,28350261
moderate coarse prismatic structure parts to weak coarse subangular blocky structure,Yes,52474469,28350260
structureless massive structure,Yes,52474470,28350869
moderate fine granular structure,Yes,52474558,28350665
weak medium subangular blocky structure,Yes,52474559,28350666
structureless massive structure,Yes,52474560,28350667
moderate fine granular structure,Yes,52474561,28350780
weak medium subangular blocky structure,Yes,52474562,28350368
structureless massive structure,Yes,52474563,28350502
moderate medium granular structure,Yes,52474564,28350668
moderate medium subangular blocky structure,Yes,52474565,28350367
structureless massive structure,Yes,52474566,28350779
weak medium subangular blocky structure parts to moderate medium granular structure,Yes,52474836,28350718
moderate coarse subangular blocky structure,Yes,52474837,28350698
weak medium prismatic structure parts to moderate medium subangular blocky structure,Yes,52474838,28350914
structureless massive structure,Yes,52474839,28350697
weak medium subangular blocky structure parts to moderate medium granular structure,Yes,52474840,28350699
moderate medium subangular blocky structure,Yes,52474841,28350700
structureless massive structure,Yes,52474842,28350915
structureless massive structure,Yes,52474843,28350306
weak medium subangular blocky structure parts to weak medium granular structure,Yes,52474844,28350912
moderate medium subangular blocky structure,Yes,52474845,28350307
weak medium prismatic structure parts to moderate medium subangular blocky structure,Yes,52474846,28350305
weak coarse subangular blocky structure parts to weak medium granular structure,Yes,52474847,28350308
weak medium prismatic structure parts to moderate medium and coarse subangular blocky structure,Yes,52474848,28350828
structureless massive structure,Yes,52474849,28350913
weak medium prismatic structure,Yes,52474850,28350717
structureless massive structure,Yes,52474854,28350408
weak medium subangular blocky structure parts to moderate medium granular structure,Yes,52474855,28350871
weak medium prismatic structure parts to moderate medium subangular blocky structure,Yes,52474856,28350570
moderate coarse subangular blocky structure,Yes,52474857,28350412
weak fine granular structure,Yes,52474858,28350872
weak medium prismatic structure parts to strong medium subangular blocky structure,Yes,52474859,28350571
strong medium subangular blocky structure,Yes,52474860,28350572
structureless massive structure,Yes,52474861,28350873
weak medium subangular blocky structure parts to weak medium granular structure,Yes,52474862,28350409
moderate medium subangular blocky structure,Yes,52474863,28350410
structureless massive structure,Yes,52474864,28350411
moderate medium granular structure,Yes,52474865,28350262
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,52474866,28350264
moderate coarse prismatic structure parts to weak coarse subangular blocky structure,Yes,52474867,28350263
moderate coarse prismatic structure,Yes,52474868,28350573
structureless massive structure,Yes,52474869,28350265
structureless massive structure,Yes,52474870,28350269
moderate coarse prismatic structure,Yes,52474871,28350270
moderate medium granular structure,Yes,52474872,28350266
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,52474873,28350268
moderate coarse prismatic structure parts to weak coarse subangular blocky structure,Yes,52474874,28350267
weak medium subangular blocky structure parts to moderate medium granular structure,Yes,52474875,28350874
weak medium prismatic structure parts to moderate medium subangular blocky structure,Yes,52474876,28350574
moderate coarse subangular blocky structure,Yes,52474877,28350413
structureless massive structure,Yes,52474878,28350875
moderate medium subangular blocky structure,Yes,52474879,28350576
structureless massive structure,Yes,52474880,28350877
weak fine granular structure,Yes,52474881,28350876
weak medium prismatic structure parts to strong medium subangular blocky structure,Yes,52474882,28350575
structureless massive structure,Yes,52474892,28350416
weak medium subangular blocky structure parts to weak medium granular structure,Yes,52474893,28350414
moderate medium subangular blocky structure,Yes,52474894,28350415
weak medium subangular blocky structure parts to weak medium granular structure,Yes,52474907,28350494
structureless massive structure,Yes,52474908,28350496
moderate medium subangular blocky structure,Yes,52474909,28350495
structureless massive structure,Yes,52474910,28350653
moderate coarse prismatic structure,Yes,52474911,28350654
moderate medium granular structure,Yes,52474912,28350774
moderate coarse prismatic structure parts to weak coarse subangular blocky structure,Yes,52474913,28350651
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,52474914,28350652
moderate medium subangular blocky structure,Yes,52474915,28350360
weak fine granular structure,Yes,52474916,28350497
weak medium prismatic structure parts to strong medium subangular blocky structure,Yes,52474917,28350359
structureless massive structure,Yes,52474918,28350773
weak medium prismatic structure parts to moderate medium subangular blocky structure,Yes,52474919,28350357
structureless massive structure,Yes,52474920,28350772
moderate coarse subangular blocky structure,Yes,52474921,28350358
weak medium subangular blocky structure parts to moderate medium granular structure,Yes,52474922,28350771
