texcl,lieutex,chtgkey,chtkey
Clay loam,,105018512,106814000
Loam,,105018513,106814001
Silty clay loam,,105018514,106814002
Silty clay loam,,105018516,106813851
Silty clay,,105018517,106814313
Clay loam,,105018518,106813852
Clay loam,,105018692,106813865
Loam,,105018693,106814328
Silty clay loam,,105018694,106813866
Silty clay,,105018796,106814255
Silty clay loam,,105018797,106814406
Clay loam,,105018798,106814254
Clay loam,,105018802,106814106
Silty clay loam,,105018803,106813950
Silt loam,,105019046,106814724
Silty clay loam,,105019047,106814725
Loam,,105019048,106814592
Silt loam,,105019056,106814872
Sandy loam,,105019060,106814726
Silty clay loam,,105019061,106814595
Loam,,105019061,106814596
Clay loam,,105018519,106814314
Loam,,105018520,106814154
Silty clay loam,,105018521,106814155
Silt loam,,105018785,106813952
Silty clay loam,,105018786,106814407
Silty clay loam,,105018787,106813953
Clay loam,,105018788,106814408
Silty clay,,105018789,106814107
Clay,,105018790,106814108
Silty clay loam,,105018791,106814109
Clay loam,,105018792,106814110
Loam,,105018793,106814409
Silt loam,,105018794,106813954
Silt loam,,105018795,106813951
Silt loam,,105019049,106814593
Sandy loam,,105019049,106814594
Silty clay loam,,105019050,106814450
Clay loam,,105019051,106814727
Silty clay loam,,105019052,106814449
Silt loam,,105019053,106814597
Loam,,105019054,106814453
Sandy loam,,105019055,106814451
Silty clay loam,,105019055,106814452
Silty clay loam,,105018509,106813849
Silty clay,,105018510,106814312
Clay loam,,105018511,106813850
Silt loam,,105018515,106814003
Silty clay loam,,105018689,106814170
Clay loam,,105018690,106814171
Loam,,105018691,106814327
Clay loam,,105018799,106814256
Silty clay loam,,105018800,106814257
Silt loam,,105018801,106814258
Silty clay loam,,105018804,106814252
Silt loam,,105019045,106814591
Silt loam,,105019057,106814873
Loam,,105019058,106814874
Clay loam,,105019059,106814875
Silt loam,,105018508,106814311
Silt loam,,105018681,106814015
Loam,,105018682,106814325
Clay loam,,105018683,106813863
Silt loam,,105018684,106814326
Loam,,105018685,106813864
Clay loam,,105018686,106814167
Silt loam,,105018687,106814168
Silt loam,,105018688,106814169
Silt loam,,105018743,106814338
Loam,,105018744,106813877
Silt loam,,105018745,106814030
Sandy loam,,105018746,106814031
Silt loam,,105018746,106814032
Silty clay loam,,105018805,106814405
Clay,,105018806,106813949
Silty clay,,105018807,106814103
Silty clay loam,,105018808,106814253
Clay loam,,105018809,106814404
Clay,,105018810,106813948
Silty clay loam,,105018811,106814105
Clay loam,,105018812,106814104
Silt loam,,105019720,106815397
Silty clay loam,,105019721,106815290
Clay loam,,105019722,106815291
Silty clay,,105019723,106815292
Clay loam,,105019724,106815052
Silty clay,,105019725,106815178
Silty clay loam,,105019726,106815398
Silt loam,,105019727,106815293
Silty clay loam,,105019728,106815054
Clay,,105019729,106815055
Silty clay,,105019730,106815181
Clay loam,,105019731,106815180
Clay loam,,105019764,106814117
Silty clay loam,,105019765,106814118
Silt loam,,105019766,106814417
Silt loam,,105019767,106814112
Silty clay loam,,105019768,106814113
Clay,,105019769,106813958
Clay loam,,105019770,106813957
Silty clay,,105019771,106814412
Silty clay loam,,105019772,106814114
Loam,,105019773,106814262
Silt loam,,105019774,106814263
Silty clay loam,,105019775,106814413
Clay loam,,105019776,106814261
Clay loam,,105019807,106814423
Loam,,105019808,106814271
Silt loam,,105019809,106814270
Silty clay loam,,105019707,106815407
Silt loam,,105019708,106815406
Loam,,105019713,106815300
Silt loam,,105019714,106815301
Silty clay loam,,105019715,106815298
Clay loam,,105019716,106815299
Loam,,105019732,106815182
Silty clay loam,,105019733,106815056
Silt loam,,105019734,106815183
Clay loam,,105019735,106815402
Silt loam,,105019757,106813960
Clay loam,,105019761,106814418
Silty clay,,105019762,106813962
Silty clay loam,,105019763,106813961
Silty clay loam,,105019777,106814266
Silty clay loam,,105019781,106814267
Clay loam,,105019782,106814268
Clay,,105019783,106813963
Silty clay loam,,105019796,106815344
Clay loam,,105019797,106815005
Clay,,105019798,106815124
Silty clay loam,,105019800,106813965
Clay loam,,105019801,106814422
Silty clay,,105019802,106815117
Loam,,105019841,106815002
Silt loam,,105019842,106815238
Silty clay loam,,105019843,106815001
Clay loam,,105019844,106815121
Clay loam,,105019847,106815339
Silty clay,,105019848,106815340
Clay,,105019849,106815120
Silty clay loam,,105019850,106815338
Silty clay,,105019709,106815061
Clay,,105019710,106815187
Silty clay loam,,105019711,106815060
Clay loam,,105019712,106815186
Clay loam,,105019717,106815053
Silty clay loam,,105019718,106815179
Silt loam,,105019719,106815289
Loam,,105019736,106815401
Clay loam,,105019737,106815399
Silty clay loam,,105019738,106815400
Silty clay loam,,105019753,106814264
Clay loam,,105019754,106814414
